OBJECTID,Type,STYLE,MeterNumber,RatePerHour,MaxTime,MapSymbol,Description,InfrastructureID,LifecycleStatus,Condition,HoursInEffect,Length_m,Width_m,AccessAisle,AccessAisleWidth_m,LoadingSide,DistanceToNearestLetdown_m,CrossSlope_percent,MeetsSDC16,NewSignageInstalled,CurbPainted,Location,CivicAddress,Comments,Owner,OwnerNotes,Custodian,CustodianNotes,geometry,Latitude,Longitude
2082,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002231,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33489329955235 48.447471415169055),48.45019375607459,-123.3334030180048
2201,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002222,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33509406229457 48.44693882708769),48.451120623324066,-123.33181281849741
2213,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002227,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33475053174266 48.447470401886896),48.44924551699056,-123.3353538571228
2330,metered,ELECTRIC VEHICLE,2915.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000337,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36599714521391 48.42748423601881),48.42301701095011,-123.36130485717635
19,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-272 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002216,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.3638054044696 48.42511956618813),48.428840286693166,-123.36484124005354
197,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002223,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33506163541432 48.44690464482426),48.44243946083141,-123.3390709353894
430,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002225,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33499999346992 48.44683484227543),48.44448767520175,-123.33233669745266
529,metered,ELECTRIC VEHICLE,2518.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000511,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36636785301413 48.425932381530174),48.425735979925676,-123.36434804793798
778,metered,ELECTRIC VEHICLE,4001.0,$3.00,40 MIN,ELECTRIC VEHICLE,"$3.00/HR 40 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000629,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36964991148943 48.42796548598136),48.424724701823955,-123.36752615337271
897,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002221,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33512756626244 48.44697372052767),48.447140903815225,-123.33561396635353
911,metered,ELECTRIC VEHICLE,2760.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR 90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000594,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36616827797128 48.426593037050914),48.428968715550596,-123.36454613505907
964,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-314 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002217,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36383062854003 48.425124276197295),48.42470847302894,-123.36527416240214
1160,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-266 Broughton Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002219,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36423665391007 48.42352540742386),48.423294239474195,-123.36386805976254
1241,metered,ELECTRIC VEHICLE,2517.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000512,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36637550222666 48.42590056610452),48.429070496437966,-123.37031475938686
1295,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-311 Centennial Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002213,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36523880035865 48.42928492068114),48.428080650814415,-123.36135177319598
1347,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002224,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33503134187147 48.44686831337391),48.44566572555916,-123.33887525232907
1352,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-282 Johnson Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002215,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36311291185856 48.42718754138419),48.426622393483456,-123.35946556345358
1366,metered,ELECTRIC VEHICLE,4002.0,$3.00,40 MIN,ELECTRIC VEHICLE,"$3.00/HR 40 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000628,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36965113732748 48.42798782134413),48.430362335770916,-123.36765945895081
1472,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002230,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33485679963307 48.44747080705489),48.446882401598515,-123.33212869346882
1512,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-275 Broughton Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002218,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36421862669972 48.42352067382447),48.421631445325254,-123.36879222811955
1654,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002229,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33482030106688 48.44747019892521),48.44966252606918,-123.33319737755284
1674,metered,ELECTRIC VEHICLE,2916.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000336,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.365989449514 48.42751623148886),48.42799224401886,-123.36600636399588
1767,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-332 Bastion Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002214,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36887795320854 48.426628480316126),48.42831514417942,-123.36855964800269
1771,metered,ELECTRIC VEHICLE,2761.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000595,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36615993680712 48.42662772725535),48.425829322708886,-123.37044498951916
1843,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002228,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33478487955135 48.44747030197307),48.44339513290023,-123.33889888714057
1896,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002226,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33471403182557 48.447469793727436),48.452040746563355,-123.33428366719008
1944,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-332 Bastion Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002214,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.3690247088614 48.426456369317435),48.431405598848606,-123.36605616289128
1998,metered,ELECTRIC VEHICLE,9292.0,M-SAT $2.50 SUN Free,$15 Daily Max Rate,ACCESSIBLE,Hourly Rate M-SAT $2.50 SUN Free; Max Time $15 Daily Max Rate,PSP002375,ACT,2.0,M-SAT 8AM-8PM,5.0,3.0,Yes,2.5,Right Side,5.0 to elevator,0.8,No,No,No,View St Parkade - 5th Floor,743 View St,EV charging station,VC,,VC,,POINT (-123.36363854537153 48.425023679468126),48.42827878241985,-123.3665370460811
2042,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002220,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33515891953378 48.44700790589886),48.446374724542764,-123.33506303399612
2082,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002231,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33489329955235 48.447471415169055),48.44603377334114,-123.33040029076174
2201,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002222,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33509406229457 48.44693882708769),48.450032797439114,-123.33742670630775
2213,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002227,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33475053174266 48.447470401886896),48.44943466415555,-123.33304723649242
2330,metered,ELECTRIC VEHICLE,2915.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000337,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36599714521391 48.42748423601881),48.426434445261584,-123.36453327518039
19,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-272 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002216,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.3638054044696 48.42511956618813),48.422546679412946,-123.36179406423375
197,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002223,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33506163541432 48.44690464482426),48.44325568739553,-123.33039626536691
430,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002225,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33499999346992 48.44683484227543),48.44860586840107,-123.33452876837254
529,metered,ELECTRIC VEHICLE,2518.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000511,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36636785301413 48.425932381530174),48.42214270373907,-123.36452754503703
778,metered,ELECTRIC VEHICLE,4001.0,$3.00,40 MIN,ELECTRIC VEHICLE,"$3.00/HR 40 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000629,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36964991148943 48.42796548598136),48.42602495688511,-123.36957507846319
897,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002221,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33512756626244 48.44697372052767),48.442367696049175,-123.33961628782095
911,metered,ELECTRIC VEHICLE,2760.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR 90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000594,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36616827797128 48.426593037050914),48.42324377707674,-123.37059361176958
964,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-314 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002217,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36383062854003 48.425124276197295),48.42133735113833,-123.36388933203843
1160,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-266 Broughton Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002219,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36423665391007 48.42352540742386),48.418846937124314,-123.36126162667396
1241,metered,ELECTRIC VEHICLE,2517.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000512,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36637550222666 48.42590056610452),48.42516605955605,-123.3640076771169
1295,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-311 Centennial Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002213,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36523880035865 48.42928492068114),48.42958750279374,-123.36648990515292
1347,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002224,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33503134187147 48.44686831337391),48.44788592849921,-123.335940987532
1352,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-282 Johnson Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002215,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36311291185856 48.42718754138419),48.43077155535416,-123.3666852861488
1366,metered,ELECTRIC VEHICLE,4002.0,$3.00,40 MIN,ELECTRIC VEHICLE,"$3.00/HR 40 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000628,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36965113732748 48.42798782134413),48.42414435451687,-123.37042325906422
1472,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002230,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33485679963307 48.44747080705489),48.444035535156495,-123.336813684477
1512,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-275 Broughton Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002218,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36421862669972 48.42352067382447),48.41983749576521,-123.36648784793735
1654,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002229,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33482030106688 48.44747019892521),48.445665582179345,-123.33910424665854
1674,metered,ELECTRIC VEHICLE,2916.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000336,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.365989449514 48.42751623148886),48.42884436859409,-123.3624352975554
1767,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-332 Bastion Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002214,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36887795320854 48.426628480316126),48.42239205031137,-123.36506412860568
1771,metered,ELECTRIC VEHICLE,2761.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000595,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36615993680712 48.42662772725535),48.430310523732764,-123.36398197526378
1843,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002228,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33478487955135 48.44747030197307),48.450602036228354,-123.32981721539667
1896,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002226,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33471403182557 48.447469793727436),48.447993429614634,-123.33725959218609
1944,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-332 Bastion Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002214,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.3690247088614 48.426456369317435),48.43100161929028,-123.37225718131414
1998,metered,ELECTRIC VEHICLE,9292.0,M-SAT $2.50 SUN Free,$15 Daily Max Rate,ACCESSIBLE,Hourly Rate M-SAT $2.50 SUN Free; Max Time $15 Daily Max Rate,PSP002375,ACT,2.0,M-SAT 8AM-8PM,5.0,3.0,Yes,2.5,Right Side,5.0 to elevator,0.8,No,No,No,View St Parkade - 5th Floor,743 View St,EV charging station,VC,,VC,,POINT (-123.36363854537153 48.425023679468126),48.42835041134912,-123.36820031641344
2042,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002220,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33515891953378 48.44700790589886),48.449554163506775,-123.33770897456661
2082,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002231,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33489329955235 48.447471415169055),48.45039996848304,-123.3365882260207
2201,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002222,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33509406229457 48.44693882708769),48.45055076422929,-123.33826993129121
2213,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002227,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33475053174266 48.447470401886896),48.45103720114125,-123.33785807377478
2330,metered,ELECTRIC VEHICLE,2915.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000337,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36599714521391 48.42748423601881),48.42426534393963,-123.36405929842701
19,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-272 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002216,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.3638054044696 48.42511956618813),48.423497755346276,-123.36102783214443
197,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002223,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33506163541432 48.44690464482426),48.44303408770907,-123.33433561297711
430,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002225,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33499999346992 48.44683484227543),48.44868441441828,-123.33316618213136
529,metered,ELECTRIC VEHICLE,2518.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000511,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36636785301413 48.425932381530174),48.42521004594959,-123.37098637267853
778,metered,ELECTRIC VEHICLE,4001.0,$3.00,40 MIN,ELECTRIC VEHICLE,"$3.00/HR 40 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000629,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36964991148943 48.42796548598136),48.42510655617677,-123.37311391682516
897,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002221,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33512756626244 48.44697372052767),48.44454846943709,-123.33163489470593
911,metered,ELECTRIC VEHICLE,2760.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR 90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000594,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36616827797128 48.426593037050914),48.423889350953715,-123.36399841415502
964,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-314 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002217,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36383062854003 48.425124276197295),48.42519922640886,-123.36524295576397
1160,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-266 Broughton Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002219,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36423665391007 48.42352540742386),48.42041688184351,-123.36305923308252
1241,metered,ELECTRIC VEHICLE,2517.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000512,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36637550222666 48.42590056610452),48.42400506905759,-123.36324290266236
1295,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-311 Centennial Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002213,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36523880035865 48.42928492068114),48.43321322405035,-123.36703539919996
1347,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002224,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33503134187147 48.44686831337391),48.44416758305973,-123.33502513412952
