sessionId,kwhTotal,dollars,created,ended,startTime,endTime,chargeTimeHrs,weekday,platform,distance,userId,stationId,locationId,managerVehicle,facilityType,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,reportedZip,isOutlier,hour,isWeekend,dayOfWeek,timestamp_missing
8689860,4.37,0.0,,,17,21,3.788888889,Wed,android,21.0238262,35897499,944515,976902,0,3,0,0,1,0,0,0,0,0,False,,False,,True
5481838,6.78,0.0,,,13,15,2.585,Thu,android,21.0238262,35897499,612116,461655,0,3,0,0,0,1,0,0,0,0,False,,False,,True
5187868,6.21,0.0,,,16,18,2.127777778,Fri,android,21.0238262,35897499,207262,928191,0,3,0,0,0,0,1,0,0,0,False,,False,,True
7546366,4.45,0.0,,,15,17,2.473611111,Mon,android,21.0238262,35897499,801274,976902,0,3,1,0,0,0,0,0,0,0,False,,False,,True
5407577,4.59,0.0,,,17,20,3.652777778,Tue,android,21.0238262,35897499,280221,976902,0,3,0,1,0,0,0,0,0,0,False,,False,,True
1634517,7.39,0.0,,,17,20,2.544444444,Wed,android,21.0238262,35897499,405157,976902,0,3,0,0,1,0,0,0,0,0,False,,False,,True
7511668,3.84,0.0,,,11,15,3.805277778,Thu,android,21.0238262,35897499,280221,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
2225529,3.48,0.0,,,18,19,1.244722222,Mon,android,21.0238262,35897499,944575,928191,0,3,1,0,0,0,0,0,0,0,False,,False,,True
2719439,4.38,0.0,,,13,16,2.551944444,Tue,android,21.0238262,35897499,728918,928191,0,3,0,1,0,0,0,0,0,0,False,,False,,True
6475803,4.92,0.0,,,16,18,2.144722222,Wed,android,21.0238262,35897499,738900,976902,0,3,0,0,1,0,0,0,0,0,False,,False,,True
7314718,4.72,0.0,,,16,20,3.881388889,Thu,android,21.0238262,35897499,738900,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
8726154,6.5,0.0,,,17,19,2.665833333,Fri,android,21.0238262,35897499,405157,976902,0,3,0,0,0,0,1,0,0,0,False,,False,,True
9884932,4.08,0.0,,,14,16,1.468333333,Mon,android,21.0238262,35897499,355208,976902,0,3,1,0,0,0,0,0,0,0,False,,False,,True
2725835,0.76,0.0,,,16,16,0.263611111,Tue,android,21.0238262,35897499,405157,976902,0,3,0,1,0,0,0,0,0,0,False,,False,,True
9251926,4.6,0.0,,,16,20,3.771666667,Tue,android,21.0238262,35897499,405157,976902,0,3,0,1,0,0,0,0,0,0,False,,False,,True
7848461,4.35,0.0,,,16,20,3.986944444,Wed,android,21.0238262,35897499,801274,976902,0,3,0,0,1,0,0,0,0,0,False,,False,,True
