Town,Population
Seaford,18072
Seddon - Kingsville,9782
Skye - Sandhurst,13607
Somerville,18972
Southbank (East),19428
Southbank (West) - South Wharf,7866
South Melbourne,12916
South Morang (North),13070
South Morang (South),12889
South Yarra (North),13633
South Yarra (South),10558
South Yarra (West),6946
Springvale,24111
Springvale South,13139
St Albans (North),21002
St Albans (South),17764
St Kilda (Central),13725
St Kilda East,17332
St Kilda (West),16059
Strathmore,10457
Sunbury,14810
Sunbury (South),16819
Sunbury (West),11404
Sunshine,10104
Sunshine North,12503
Sunshine West,18790
Surrey Hills (East) - Mont Albert,10765
Surrey Hills (West) - Canterbury,16231
Sydenham,11972
Tarneit (Central),29462
Tarneit (North),13485
Tarneit (South),11708
Tarneit (West) - Mount Cottrell,17173
Taylors Hill,19856
Taylors Lakes,16999
Templestowe,17467
Templestowe Lower,14612
The Basin,4345
Thomastown,20538
Thornbury,19982
Toorak,13504
Truganina (North),14287
Truganina (South East),10689
Truganina (South West),20356
Tullamarine,6710
Upwey - Tecoma,9862
Vermont,11353
Vermont South,12275
Viewbank - Yallambie,19009
Wallan,28415
Wandin - Seville,7999
Wantirna,14631
Wantirna South,18388
Warrandyte - Wonga Park,10238
Watsonia,9518
Wattle Glen - Diamond Creek,14803
Werribee (East),19124
Werribee (South),17937
Werribee (West),30552
West Footscray - Tottenham,12953
West Melbourne (Industrial),0
West Melbourne (Residential),9301
Wheelers Hill,21285
Whittlesea,15811
Williamstown,16920
Wollert,33578
Wyndham Vale (North),13138
Wyndham Vale (South),14163
Yarra Valley,17059
Yarraville,16243
