OBJECTID,Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,Area in square kilometres,Uniform Resource Identifier,The base year for projected persons (2022),Projected persons (2023),Projected persons (2024),Projected persons (2025),Projected persons (2026),Projected persons (2027),Projected persons (2028),Projected persons (2029),Projected persons (2030),Projected persons (2031),Projected persons (2032),The base year for annual population change (2022),Annual population change (2023),Annual population change (2024),Annual population change (2025),Annual population change (2026),Annual population change (2027),Annual population change (2028),Annual population change (2029),Annual population change (2030),Annual population change (2031),Annual population change (2032),The base year for population change (2022),Relative population change (2023),Relative population change (2024),Relative population change (2025),Relative population change (2026),Relative population change (2027),Relative population change (2028),Relative population change (2029),Relative population change (2030),Relative population change (2031),Relative population change (2032),The base year for percentage annual population change (2022),Percentage annual population change (2023),Percentage annual population change (2024),Percentage annual population change (2025),Percentage annual population change (2026),Percentage annual population change (2027),Percentage annual population change (2028),Percentage annual population change (2029),Percentage annual population change (2030),Percentage annual population change (2031),Percentage annual population change (2032),The base year for percentage relative population change (2022),Percentage relative population change (2023),Percentage relative population change (2024),Percentage relative population change (2025),Percentage relative population change (2026),Percentage relative population change (2027),Percentage relative population change (2028),Percentage relative population change (2029),Percentage relative population change (2030),Percentage relative population change (2031),Percentage relative population change (2032),globalid,Shape__Area,Shape__Length
767,206031113,Ascot Vale,3.8361,https://linked.data.gov.au/dataset/asgsed3/SA2/206031113,15179,15386,15517,15650,15790,15933,16065,16182,16287,16374,16446,0,207,131,133,140,143,132,117,105,87,72,0,207,338,471,611,754,886,1003,1108,1195,1267,0,1.363726,0.851423,0.857124,0.894569,0.905636,0.828469,0.728291,0.648869,0.534168,0.439722,0,1.363726,2.226761,3.102971,4.025298,4.967389,5.837012,6.607813,7.299559,7.872719,8.347058,b7fc5647-e6fa-425d-8947-e689e21429f4,0.000392305287732597,0.122369495406716
768,206031115,Flemington,1.5808,https://linked.data.gov.au/dataset/asgsed3/SA2/206031115,9188,9417,9543,9667,9802,9936,10059,10161,10247,10312,10357,0,229,126,124,135,134,123,102,86,65,45,0,229,355,479,614,748,871,973,1059,1124,1169,0,2.492381,1.338006,1.299382,1.396504,1.367068,1.237923,1.014017,0.846373,0.634332,0.436385,0,2.492381,3.863735,5.213322,6.68263,8.141054,9.479756,10.5899,11.525903,12.233348,12.723117,c92ed86c-5e49-4461-b7b3-097be1e5649d,0.000161687893069029,0.0689056530379957
769,206031116,Moonee Ponds,4.3551,https://linked.data.gov.au/dataset/asgsed3/SA2/206031116,16579,17117,17555,17985,18401,18804,19192,19557,19904,20230,20537,0,538,438,430,416,403,388,365,347,326,307,0,538,976,1406,1822,2225,2613,2978,3325,3651,3958,0,3.245069,2.55886,2.449445,2.313039,2.190098,2.063391,1.901834,1.774301,1.637862,1.517548,0,3.245069,5.886965,8.480608,10.989806,13.420592,15.760902,17.962483,20.055492,22.021835,23.873575,17bd9a49-c5e5-468f-b811-381269ab846e,0.000445357170519856,0.114523488147993
770,206031501,Essendon (West) - Aberfeldie,4.8886,https://linked.data.gov.au/dataset/asgsed3/SA2/206031501,16176,16370,16499,16619,16736,16850,16957,17050,17132,17203,17259,0,194,129,120,117,114,107,93,82,71,56,0,194,323,443,560,674,781,874,956,1027,1083,0,1.199308,0.788027,0.727317,0.704013,0.681166,0.635015,0.548446,0.480938,0.414429,0.325525,0,1.199308,1.996785,2.738625,3.461919,4.166667,4.82814,5.403066,5.90999,6.348912,6.695104,5492d3cb-8d98-435a-b1cc-a520b37ca7ee,0.000499785122428875,0.0967891059390562
771,206031502,Essendon - East,3.5543,https://linked.data.gov.au/dataset/asgsed3/SA2/206031502,12288,12385,12404,12414,12426,12438,12437,12419,12387,12345,12288,0,97,19,10,12,12,-1,-18,-32,-42,-57,0,97,116,126,138,150,149,131,99,57,0,0,0.789388,0.153411,0.080619,0.096665,0.096572,-0.00804,-0.144729,-0.25767,-0.339065,-0.461725,0,0.789388,0.94401,1.025391,1.123047,1.220703,1.212565,1.066081,0.805664,0.463867,0,f247fd2c-ae45-46f4-88cd-2003a24e6414,0.000363378012480098,0.115829381253979
772,206041117,Carlton,1.8187,https://linked.data.gov.au/dataset/asgsed3/SA2/206041117,18004,19266,20345,21229,21917,22487,22946,23311,23613,23850,24036,0,1262,1079,884,688,570,459,365,302,237,186,0,1262,2341,3225,3913,4483,4942,5307,5609,5846,6032,0,7.009553,5.60054,4.345048,3.24085,2.600721,2.041179,1.590691,1.295526,1.003684,0.779874,0,7.009553,13.002666,17.912686,21.734059,24.900022,27.449456,29.476783,31.154188,32.470562,33.503666,76e26443-9de6-4db4-826f-30dc900c8b0e,0.000186005712293991,0.0625710195584707
773,206041118,Docklands,2.444,https://linked.data.gov.au/dataset/asgsed3/SA2/206041118,16456,17803,18756,19656,20509,21300,22033,22705,23316,23874,24376,0,1347,953,900,853,791,733,672,611,558,502,0,1347,2300,3200,4053,4844,5577,6249,6860,7418,7920,0,8.185464,5.35303,4.798464,4.339642,3.856843,3.441315,3.04997,2.691037,2.393206,2.102706,0,8.185464,13.976665,19.445795,24.629315,29.436072,33.890374,37.973991,41.686923,45.077783,48.128342,ef151306-2220-4a10-b7e3-40530928ec16,0.000250047873578296,0.0694885521779926
774,206041119,East Melbourne,2.8998,https://linked.data.gov.au/dataset/asgsed3/SA2/206041119,4884,4912,4911,4911,4920,4928,4932,4936,4935,4928,4918,0,28,-1,0,9,8,4,4,-1,-7,-10,0,28,27,27,36,44,48,52,51,44,34,0,0.573301,-0.020358,0,0.183262,0.162602,0.081169,0.081103,-0.020259,-0.141844,-0.202922,0,0.573301,0.552826,0.552826,0.737101,0.900901,0.982801,1.064701,1.044226,0.900901,0.696151,138fe60b-8aee-486e-a746-fed4cded3fbe,0.000296709259146155,0.0819542294884786
775,206041120,Flemington Racecourse,1.7093,https://linked.data.gov.au/dataset/asgsed3/SA2/206041120,78,78,78,78,78,78,78,78,78,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800f0250-6711-4f1a-8873-22a4e2e34bdd,0.00017482844668848,0.0539188908132967
776,206041121,Kensington (Vic.),2.147,https://linked.data.gov.au/dataset/asgsed3/SA2/206041121,11000,11114,11171,11243,11322,11402,11476,11540,11596,11645,11682,0,114,57,72,79,80,74,64,56,49,37,0,114,171,243,322,402,476,540,596,645,682,0,1.036364,0.512867,0.644526,0.702659,0.706589,0.649009,0.557686,0.485269,0.42256,0.317733,0,1.036364,1.554545,2.209091,2.927273,3.654545,4.327273,4.909091,5.418182,5.863636,6.2,5c1549f9-aae6-487c-9253-09e87236b432,0.000219614943489432,0.0701927354820379
777,206041124,Parkville,4.0491,https://linked.data.gov.au/dataset/asgsed3/SA2/206041124,7462,7710,7834,7965,8079,8192,8298,8389,8464,8532,8587,0,248,124,131,114,113,106,91,75,68,55,0,248,372,503,617,730,836,927,1002,1070,1125,0,3.323506,1.608301,1.672198,1.431262,1.398688,1.293945,1.09665,0.894028,0.803403,0.644632,0,3.323506,4.985259,6.74082,8.268561,9.7829,11.203431,12.422943,13.428035,14.339319,15.076387,9fd40d50-8899-433b-892e-99a7672fc468,0.000414110773817811,0.0928127901503406
778,206041125,South Yarra - West,1.5027,https://linked.data.gov.au/dataset/asgsed3/SA2/206041125,6565,6661,6694,6738,6778,6812,6847,6872,6894,6911,6921,0,96,33,44,40,34,35,25,22,17,10,0,96,129,173,213,247,282,307,329,346,356,0,1.4623,0.495421,0.657305,0.593648,0.501623,0.513799,0.365123,0.32014,0.246591,0.144697,0,1.4623,1.964966,2.635187,3.244478,3.762376,4.295506,4.676314,5.011424,5.270373,5.422696,4c549479-4738-4f02-adf7-96f46b162693,0.000153761764977389,0.0651016957684906
779,206041127,West Melbourne - Industrial,6.1992,https://linked.data.gov.au/dataset/asgsed3/SA2/206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f183493d-07f1-4fda-b21b-36088ad9f6b1,0.000634263302799809,0.116791983988393
780,206041503,Melbourne CBD - East,0.802,https://linked.data.gov.au/dataset/asgsed3/SA2/206041503,10655,11446,11840,12186,12495,12765,12982,13160,13300,13414,13498,0,791,394,346,309,270,217,178,140,114,84,0,791,1185,1531,1840,2110,2327,2505,2645,2759,2843,0,7.423745,3.442251,2.922297,2.535697,2.160864,1.699961,1.371129,1.06383,0.857143,0.626211,0,7.423745,11.121539,14.368841,17.268888,19.802909,21.839512,23.510089,24.824026,25.893947,26.682309,7c6de656-518e-4eea-8e09-afba7e012d78,8.20375025796238E-05,0.0401346545819576
781,206041504,Melbourne CBD - North,0.5616,https://linked.data.gov.au/dataset/asgsed3/SA2/206041504,18826,20929,22750,24287,25576,26651,27550,28301,28939,29476,29929,0,2103,1821,1537,1289,1075,899,751,638,537,453,0,2103,3924,5461,6750,7825,8724,9475,10113,10650,11103,0,11.170721,8.700846,6.756044,5.307366,4.203159,3.373232,2.725953,2.254337,1.855627,1.536844,0,11.170721,20.843514,29.007755,35.854669,41.564857,46.340168,50.329332,53.718262,56.5707,58.976947,86bfef8b-89cf-4588-9dc7-b266b7c9a848,5.74482342017291E-05,0.0327212839946835
782,206041505,Melbourne CBD - West,1.0051,https://linked.data.gov.au/dataset/asgsed3/SA2/206041505,17299,19024,20162,21126,21955,22657,23255,23764,24192,24552,24865,0,1725,1138,964,829,702,598,509,428,360,313,0,1725,2863,3827,4656,5358,5956,6465,6893,7253,7566,0,9.971675,5.981918,4.781272,3.924075,3.197449,2.639361,2.188777,1.801044,1.488095,1.274845,0,9.971675,16.55009,22.122666,26.914851,30.972889,34.429736,37.372102,39.846234,41.927279,43.736632,f9f933e2-cab7-46f4-8b62-0d31967c4863,0.000102868953490542,0.0473500350798068
783,206041506,North Melbourne,2.4248,https://linked.data.gov.au/dataset/asgsed3/SA2/206041506,16582,17352,17805,18239,18684,19114,19495,19825,20111,20360,20565,0,770,453,434,445,430,381,330,286,249,205,0,770,1223,1657,2102,2532,2913,3243,3529,3778,3983,0,4.643589,2.61065,2.437518,2.439827,2.301434,1.993303,1.692742,1.442623,1.238128,1.006876,0,4.643589,7.375467,9.992763,12.676396,15.269569,17.567242,19.557351,21.282113,22.783741,24.020022,2c0abf3c-7499-4e91-9dbf-ddedccf97ee4,0.000248097210260312,0.0726767712426007
784,206041507,Royal Botanic Gardens Victoria,1.3511,https://linked.data.gov.au/dataset/asgsed3/SA2/206041507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23637c02-6a02-4058-a781-cd8a45a92873,0.000138269748731545,0.0595858259162561
785,206041508,Southbank (West) - South Wharf,0.8496,https://linked.data.gov.au/dataset/asgsed3/SA2/206041508,6814,7670,8347,8961,9533,10072,10561,11006,11416,11792,12153,0,856,677,614,572,539,489,445,410,376,361,0,856,1533,2147,2719,3258,3747,4192,4602,4978,5339,0,12.562372,8.826597,7.355936,6.383216,5.654044,4.855044,4.213616,3.725241,3.293623,3.061398,0,12.562372,22.497799,31.508659,39.903141,47.813326,54.989727,61.520399,67.537423,73.055474,78.35339,08b2d7a8-526d-456b-9183-c241a39a684d,8.69664468154951E-05,0.0627236331994029
786,206041509,Southbank - East,0.804,https://linked.data.gov.au/dataset/asgsed3/SA2/206041509,17340,18815,19898,20896,21837,22695,23477,24202,24854,25450,25984,0,1475,1083,998,941,858,782,725,652,596,534,0,1475,2558,3556,4497,5355,6137,6862,7514,8110,8644,0,8.506344,5.756046,5.015579,4.503254,3.929111,3.445693,3.088129,2.693992,2.398004,2.098232,0,8.506344,14.752018,20.507497,25.934256,30.882353,35.392157,39.573241,43.333333,46.770473,49.850058,2e3cf369-f70e-43b1-a934-500cedfb033e,8.22627280285815E-05,0.0397575733952346
787,206041510,West Melbourne - Residential,0.8247,https://linked.data.gov.au/dataset/asgsed3/SA2/206041510,8014,8613,9087,9533,9949,10338,10704,11036,11341,11616,11867,0,599,474,446,416,389,366,332,305,275,251,0,599,1073,1519,1935,2324,2690,3022,3327,3602,3853,0,7.47442,5.503309,4.90811,4.363789,3.909941,3.540337,3.101644,2.763682,2.42483,2.160813,0,7.47442,13.389069,18.95433,24.145246,28.999251,33.566259,37.709009,41.514849,44.946344,48.078363,17db937d-c1f9-472e-bea3-edc15d80c833,8.43641810206464E-05,0.0392675276126891
788,206051128,Albert Park,4.6747,https://linked.data.gov.au/dataset/asgsed3/SA2/206051128,16161,16518,16763,16999,17222,17436,17629,17798,17947,18075,18175,0,357,245,236,223,214,193,169,149,128,100,0,357,602,838,1061,1275,1468,1637,1786,1914,2014,0,2.209022,1.48323,1.407863,1.311842,1.242597,1.106905,0.958648,0.837173,0.713211,0.55325,0,2.209022,3.725017,5.185323,6.565188,7.889363,9.083596,10.129324,11.051296,11.843327,12.4621,e02e98b7-ccff-490d-84f9-2b1ef567e5c6,0.000478593605748756,0.108271972779737
789,206051129,Elwood,2.553,https://linked.data.gov.au/dataset/asgsed3/SA2/206051129,14873,14971,15008,15055,15111,15164,15205,15231,15240,15238,15222,0,98,37,47,56,53,41,26,9,-2,-16,0,98,135,182,238,291,332,358,367,365,349,0,0.658912,0.247144,0.313166,0.371969,0.350738,0.270377,0.170996,0.05909,-0.013123,-0.105001,0,0.658912,0.907685,1.223694,1.600215,1.956566,2.232233,2.407046,2.467559,2.454111,2.346534,091e98fe-db60-453a-8c82-e155f0742b9b,0.00026151244810535,0.0726032462727044
790,206051130,Port Melbourne,2.7894,https://linked.data.gov.au/dataset/asgsed3/SA2/206051130,16376,16658,16847,17028,17201,17363,17510,17639,17755,17853,17933,0,282,189,181,173,162,147,129,116,98,80,0,282,471,652,825,987,1134,1263,1379,1477,1557,0,1.722032,1.13459,1.074375,1.015974,0.941806,0.846628,0.736722,0.657634,0.551957,0.448104,0,1.722032,2.87616,3.981436,5.03786,6.027113,6.924768,7.712506,8.42086,9.019297,9.507816,3ffd6852-8792-47f8-b46b-3e6e6e1eba68,0.000285462735519104,0.111623343985481
791,206051134,St Kilda East,2.4135,https://linked.data.gov.au/dataset/asgsed3/SA2/206051134,15989,16112,16140,16182,16245,16324,16389,16435,16466,16483,16482,0,123,28,42,63,79,65,46,31,17,-1,0,123,151,193,256,335,400,446,477,494,493,0,0.769279,0.173784,0.260223,0.389321,0.486303,0.398187,0.280676,0.188622,0.103243,-0.006067,0,0.769279,0.944399,1.20708,1.601101,2.09519,2.50172,2.789418,2.983301,3.089624,3.08337,9a93d0ae-46a4-41b9-b4d2-b3d2cb723c9d,0.000247094350015686,0.0815497180883327
792,206051511,Port Melbourne Industrial,7.6426,https://linked.data.gov.au/dataset/asgsed3/SA2/206051511,2228,4611,6700,8712,10726,12706,14636,16522,18360,20206,22039,0,2383,2089,2012,2014,1980,1930,1886,1838,1846,1833,0,2383,4472,6484,8498,10478,12408,14294,16132,17978,19811,0,106.956912,45.304706,30.029851,23.117539,18.459817,15.189674,12.886034,11.124561,10.054466,9.071563,0,106.956912,200.718133,291.023339,381.418312,470.287253,556.912029,641.561939,724.057451,806.912029,889.183124,21e1eef9-c6a4-4c9b-a1f5-0f8c8bb76f29,0.000782150733357412,0.189169195122066
793,206051512,South Melbourne,1.8897,https://linked.data.gov.au/dataset/asgsed3/SA2/206051512,11873,12121,12278,12431,12575,12716,12849,12967,13066,13152,13222,0,248,157,153,144,141,133,118,99,86,70,0,248,405,558,702,843,976,1094,1193,1279,1349,0,2.088773,1.295273,1.246131,1.158394,1.121272,1.045926,0.918359,0.763477,0.658197,0.532238,0,2.088773,3.411101,4.699739,5.912575,7.100143,8.220332,9.214183,10.048008,10.772341,11.361914,c5f7c514-ddbb-4a8a-8294-f65e78452710,0.000193399389445403,0.0701521035585196
794,206051513,St Kilda - Central,1.5375,https://linked.data.gov.au/dataset/asgsed3/SA2/206051513,12241,12560,12778,12999,13228,13451,13658,13848,14014,14166,14298,0,319,218,221,229,223,207,190,166,152,132,0,319,537,758,987,1210,1417,1607,1773,1925,2057,0,2.605996,1.735669,1.729535,1.761674,1.685818,1.538919,1.391126,1.198729,1.08463,0.931809,0,2.605996,4.386896,6.192305,8.063067,9.884813,11.575852,13.128012,14.484111,15.725839,16.804183,b70fa6e5-532d-4624-800a-c3b6f0383228,0.000157436253175547,0.0568964080780216
795,206051514,St Kilda - West,2.3637,https://linked.data.gov.au/dataset/asgsed3/SA2/206051514,14264,14732,15041,15346,15645,15934,16198,16436,16646,16835,16993,0,468,309,305,299,289,264,238,210,189,158,0,468,777,1082,1381,1670,1934,2172,2382,2571,2729,0,3.280987,2.097475,2.027791,1.94839,1.847236,1.656834,1.469317,1.277683,1.135408,0.938521,0,3.280987,5.44728,7.58553,9.681716,11.707796,13.558609,15.227145,16.699383,18.024397,19.132081,1908110e-02f0-42b4-96a4-601587e9cfdd,0.00024201244877986,0.086601096547313
796,206061135,Armadale,2.1835,https://linked.data.gov.au/dataset/asgsed3/SA2/206061135,9369,9378,9351,9327,9307,9289,9263,9230,9184,9130,9071,0,9,-27,-24,-20,-18,-26,-33,-46,-54,-59,0,9,-18,-42,-62,-80,-106,-139,-185,-239,-298,0,0.096061,-0.287908,-0.256657,-0.214431,-0.193403,-0.279901,-0.356256,-0.498375,-0.587979,-0.646221,0,0.096061,-0.192123,-0.448287,-0.661757,-0.85388,-1.131391,-1.483616,-1.974597,-2.550966,-3.180702,e8ecda3a-a2e7-4b72-b2c2-48b169ac3509,0.000223480109525553,0.0622089675074328
797,206061136,Prahran - Windsor,2.9053,https://linked.data.gov.au/dataset/asgsed3/SA2/206061136,19269,19692,19973,20254,20544,20827,21089,21327,21540,21735,21898,0,423,281,281,290,283,262,238,213,195,163,0,423,704,985,1275,1558,1820,2058,2271,2466,2629,0,2.195236,1.426975,1.406899,1.431816,1.377531,1.257982,1.12855,0.998734,0.905292,0.749942,0,2.195236,3.653537,5.111838,6.616846,8.085526,9.445223,10.680367,11.78577,12.797758,13.643676,46b46f08-9d6f-453f-95bd-7754343970dd,0.000297348902677186,0.076439774995802
798,206061138,Toorak,4.3233,https://linked.data.gov.au/dataset/asgsed3/SA2/206061138,13118,13170,13169,13180,13189,13198,13203,13195,13177,13150,13115,0,52,-1,11,9,9,5,-8,-18,-27,-35,0,52,51,62,71,80,85,77,59,32,-3,0,0.396402,-0.007593,0.08353,0.068285,0.068239,0.037885,-0.060592,-0.136415,-0.204902,-0.26616,0,0.396402,0.388779,0.472633,0.541241,0.609849,0.647965,0.58698,0.449764,0.24394,-0.022869,a34c3ed3-159e-477c-8a07-e21cde0a70dc,0.00044254486419959,0.091183600075962
799,206061515,South Yarra - North,1.1696,https://linked.data.gov.au/dataset/asgsed3/SA2/206061515,11779,12608,13229,13797,14330,14816,15249,15648,16006,16331,16626,0,829,621,568,533,486,433,399,358,325,295,0,829,1450,2018,2551,3037,3470,3869,4227,4552,4847,0,7.037949,4.925444,4.293597,3.863159,3.391486,2.922516,2.616565,2.287832,2.030489,1.806381,0,7.037949,12.310043,17.132184,21.657187,25.783173,29.459207,32.846591,35.885899,38.645046,41.149503,4296568f-8333-4919-8dc8-da7666f5758f,0.000119710519356886,0.0602527006002366
800,206061516,South Yarra - South,1.3475,https://linked.data.gov.au/dataset/asgsed3/SA2/206061516,9946,10169,10296,10421,10555,10680,10794,10894,10976,11052,11108,0,223,127,125,134,125,114,100,82,76,56,0,223,350,475,609,734,848,948,1030,1106,1162,0,2.242107,1.248894,1.214064,1.285865,1.184273,1.067416,0.926441,0.752708,0.69242,0.506696,0,2.242107,3.519003,4.775789,6.123065,7.379851,8.526041,9.53147,10.355922,11.120048,11.683089,bd775ee0-8fe3-4ec8-8426-8f141aaa996a,0.000137964446366823,0.0518185554796854
801,206071139,Abbotsford,1.7405,https://linked.data.gov.au/dataset/asgsed3/SA2/206071139,9502,9910,10246,10569,10884,11178,11463,11728,11976,12204,12419,0,408,336,323,315,294,285,265,248,228,215,0,408,744,1067,1382,1676,1961,2226,2474,2702,2917,0,4.293833,3.390515,3.15245,2.980414,2.701213,2.549651,2.311786,2.114598,1.903808,1.761717,0,4.293833,7.829931,11.229215,14.544306,17.638392,20.63776,23.426647,26.036624,28.436119,30.6988,f7b8205a-ec4d-4595-9a16-5073266bb363,0.000178083557329956,0.0929901348322069
802,206071140,Carlton North - Princes Hill,2.3042,https://linked.data.gov.au/dataset/asgsed3/SA2/206071140,8150,8230,8257,8294,8328,8362,8391,8412,8431,8439,8444,0,80,27,37,34,34,29,21,19,8,5,0,80,107,144,178,212,241,262,281,289,294,0,0.981595,0.328068,0.448105,0.409935,0.408261,0.346807,0.250268,0.225868,0.094888,0.059249,0,0.981595,1.312883,1.766871,2.184049,2.601227,2.957055,3.214724,3.447853,3.546012,3.607362,a3f60e8f-6637-4ab2-98dd-63f63d34bc13,0.000235665958371101,0.0617979117532516
803,206071141,Collingwood,1.2669,https://linked.data.gov.au/dataset/asgsed3/SA2/206071141,9668,10144,10510,10868,11222,11567,11896,12203,12492,12762,13009,0,476,366,358,354,345,329,307,289,270,247,0,476,842,1200,1554,1899,2228,2535,2824,3094,3341,0,4.923459,3.608044,3.40628,3.257269,3.074318,2.844298,2.580699,2.36827,2.161383,1.935433,0,4.923459,8.709144,12.412081,16.073645,19.642118,23.045097,26.220521,29.209764,32.002482,34.557302,7ef329d2-c161-4b89-9117-39223ef918f4,0.000129622208532965,0.0466127985899184
804,206071142,Fitzroy,1.3779,https://linked.data.gov.au/dataset/asgsed3/SA2/206071142,10800,11204,11501,11791,12075,12348,12604,12842,13065,13273,13463,0,404,297,290,284,273,256,238,223,208,190,0,404,701,991,1275,1548,1804,2042,2265,2473,2663,0,3.740741,2.650839,2.52152,2.408617,2.26087,2.07321,1.888289,1.73649,1.59204,1.431477,0,3.740741,6.490741,9.175926,11.805556,14.333333,16.703704,18.907407,20.972222,22.898148,24.657407,1d84ab4a-62d8-48ad-ac99-31166878ee3c,0.00014091878756517,0.0489736378934249
805,206071143,Fitzroy North,2.5051,https://linked.data.gov.au/dataset/asgsed3/SA2/206071143,12962,13220,13413,13603,13779,13946,14102,14253,14387,14509,14611,0,258,193,190,176,167,156,151,134,122,102,0,258,451,641,817,984,1140,1291,1425,1547,1649,0,1.990434,1.459909,1.416536,1.293832,1.211989,1.1186,1.07077,0.940153,0.847988,0.703012,0,1.990434,3.479401,4.945225,6.30304,7.591421,8.794939,9.959883,10.993674,11.934887,12.721802,e8b35a65-2c41-44f9-88c5-0f441b0fb946,0.000256209690633113,0.0696763635285429
806,206071145,Clifton Hill - Alphington,5.2089,https://linked.data.gov.au/dataset/asgsed3/SA2/206071145,10272,10850,11392,11929,12465,12995,13509,14011,14497,14966,15421,0,578,542,537,536,530,514,502,486,469,455,0,578,1120,1657,2193,2723,3237,3739,4225,4694,5149,0,5.626947,4.995392,4.713834,4.493252,4.251905,3.955367,3.716041,3.468703,3.235152,3.040225,0,5.626947,10.903427,16.131231,21.349299,26.508956,31.51285,36.399922,41.131231,45.69704,50.126558,f9b03745-d030-4cf6-8b5c-d6969d952f79,0.000532765389834822,0.204316894547006
807,206071517,Richmond (South) - Cremorne,4.2891,https://linked.data.gov.au/dataset/asgsed3/SA2/206071517,17840,18216,18502,18780,19058,19325,19573,19800,20012,20204,20379,0,376,286,278,278,267,248,227,212,192,175,0,376,662,940,1218,1485,1733,1960,2172,2364,2539,0,2.107623,1.570048,1.50254,1.480298,1.400986,1.283312,1.159761,1.070707,0.959424,0.866165,0,2.107623,3.710762,5.269058,6.827354,8.323991,9.714126,10.986547,12.174888,13.251121,14.232063,48573508-412b-4510-8d22-5e8cf629b4a2,0.000438913600191881,0.109239173037732
808,206071518,Richmond - North,1.9233,https://linked.data.gov.au/dataset/asgsed3/SA2/206071518,14060,14629,15063,15491,15910,16321,16715,17087,17440,17770,18078,0,569,434,428,419,411,394,372,353,330,308,0,569,1003,1431,1850,2261,2655,3027,3380,3710,4018,0,4.046942,2.96671,2.841399,2.704796,2.583281,2.414068,2.225546,2.065898,1.892202,1.733258,0,4.046942,7.133713,10.177809,13.157895,16.081081,18.883357,21.529161,24.039829,26.386913,28.577525,32429a14-85f2-4f8b-8ec0-34ae6efe4e4a,0.00019683026630446,0.0658027116809798
809,207011146,Ashburton (Vic.),2.8366,https://linked.data.gov.au/dataset/asgsed3/SA2/207011146,7947,8008,8034,8058,8080,8105,8124,8139,8145,8145,8144,0,61,26,24,22,25,19,15,6,0,-1,0,61,87,111,133,158,177,192,198,198,197,0,0.767585,0.324675,0.29873,0.273021,0.309406,0.234423,0.184638,0.073719,0,-0.012277,0,0.767585,1.094753,1.396753,1.673588,1.988172,2.227256,2.416006,2.491506,2.491506,2.478923,667ecd32-2dc4-471a-ac61-1b8ae372fcdf,0.000290437021703838,0.0866234102747534
810,207011147,Balwyn,5.5851,https://linked.data.gov.au/dataset/asgsed3/SA2/207011147,16306,16561,16701,16841,16978,17114,17236,17339,17429,17501,17552,0,255,140,140,137,136,122,103,90,72,51,0,255,395,535,672,808,930,1033,1123,1195,1246,0,1.563842,0.84536,0.838273,0.813491,0.801037,0.712867,0.597586,0.519061,0.413105,0.291412,0,1.563842,2.422421,3.281001,4.121182,4.955231,5.703422,6.335091,6.887035,7.328591,7.641359,5d24bd09-42a3-4fdf-ac09-18d6a8fdc707,0.000571471859075245,0.12259579287458
811,207011148,Balwyn North,8.8492,https://linked.data.gov.au/dataset/asgsed3/SA2/207011148,21306,21617,21813,22015,22218,22416,22599,22762,22907,23033,23141,0,311,196,202,203,198,183,163,145,126,108,0,311,507,709,912,1110,1293,1456,1601,1727,1835,0,1.459683,0.906694,0.926053,0.922099,0.891169,0.816381,0.721271,0.637027,0.55005,0.468892,0,1.459683,2.379611,3.327701,4.280484,5.2098,6.068713,6.833756,7.514315,8.105698,8.612597,e05ff668-0792-4813-a788-1063a1144edc,0.00090515778038025,0.141002831865556
812,207011149,Camberwell,7.2919,https://linked.data.gov.au/dataset/asgsed3/SA2/207011149,21270,21427,21477,21523,21567,21609,21634,21644,21637,21617,21572,0,157,50,46,44,42,25,10,-7,-20,-45,0,157,207,253,297,339,364,374,367,347,302,0,0.738129,0.23335,0.214183,0.204432,0.194742,0.115693,0.046224,-0.032342,-0.092434,-0.208169,0,0.738129,0.973202,1.189469,1.396333,1.593794,1.711331,1.758345,1.725435,1.631406,1.41984,f48a29db-b776-4c1c-a827-fbd623d0c89d,0.000746310433441977,0.13662523195631
813,207011150,Glen Iris - East,5.7049,https://linked.data.gov.au/dataset/asgsed3/SA2/207011150,16880,16894,16858,16834,16805,16783,16751,16712,16663,16605,16536,0,14,-36,-24,-29,-22,-32,-39,-49,-58,-69,0,14,-22,-46,-75,-97,-129,-168,-217,-275,-344,0,0.082938,-0.213093,-0.142366,-0.17227,-0.130913,-0.190669,-0.232822,-0.293202,-0.348077,-0.415537,0,0.082938,-0.130332,-0.272512,-0.444313,-0.574645,-0.764218,-0.995261,-1.285545,-1.629147,-2.037915,38a9ccf0-94c8-4baf-a8db-d3d86a9c78a9,0.000584087618335616,0.144583153390533
