OBJECTID,Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,Area in square kilometres,Uniform Resource Identifier,The base year for projected persons (2022),Projected persons (2023),Projected persons (2024),Projected persons (2025),Projected persons (2026),Projected persons (2027),Projected persons (2028),Projected persons (2029),Projected persons (2030),Projected persons (2031),Projected persons (2032),The base year for annual population change (2022),Annual population change (2023),Annual population change (2024),Annual population change (2025),Annual population change (2026),Annual population change (2027),Annual population change (2028),Annual population change (2029),Annual population change (2030),Annual population change (2031),Annual population change (2032),The base year for population change (2022),Relative population change (2023),Relative population change (2024),Relative population change (2025),Relative population change (2026),Relative population change (2027),Relative population change (2028),Relative population change (2029),Relative population change (2030),Relative population change (2031),Relative population change (2032),The base year for percentage annual population change (2022),Percentage annual population change (2023),Percentage annual population change (2024),Percentage annual population change (2025),Percentage annual population change (2026),Percentage annual population change (2027),Percentage annual population change (2028),Percentage annual population change (2029),Percentage annual population change (2030),Percentage annual population change (2031),Percentage annual population change (2032),The base year for percentage relative population change (2022),Percentage relative population change (2023),Percentage relative population change (2024),Percentage relative population change (2025),Percentage relative population change (2026),Percentage relative population change (2027),Percentage relative population change (2028),Percentage relative population change (2029),Percentage relative population change (2030),Percentage relative population change (2031),Percentage relative population change (2032),globalid,Shape__Area,Shape__Length
2142,511021277,Exmouth,134986.3501,https://linked.data.gov.au/dataset/asgsed3/SA2/511021277,4953,5026,5088,5154,5227,5303,5378,5457,5537,5620,5705,0,73,62,66,73,76,75,79,80,83,85,0,73,135,201,274,350,425,504,584,667,752,0,1.473854,1.233585,1.29717,1.416376,1.453989,1.414294,1.468948,1.466007,1.499007,1.512456,0,1.473854,2.725621,4.058147,5.532001,7.066424,8.580658,10.175651,11.790834,13.466586,15.182718,0290dbd0-d6ff-4042-8954-d231ad899b2a,12.0565687911421,40.3042728595288
2143,511031278,Boulder,13.0881,https://linked.data.gov.au/dataset/asgsed3/SA2/511031278,7523,7516,7498,7491,7493,7501,7515,7532,7553,7579,7605,0,-7,-18,-7,2,8,14,17,21,26,26,0,-7,-25,-32,-30,-22,-8,9,30,56,82,0,-0.093048,-0.239489,-0.093358,0.026699,0.106766,0.186642,0.226214,0.27881,0.344234,0.343053,0,-0.093048,-0.332314,-0.425362,-0.398777,-0.292437,-0.106341,0.119633,0.398777,0.744384,1.089991,a3818ac3-482d-4c1d-874b-9192f6423924,0.00123337022955639,0.218938642015317
2144,511031279,Kalgoorlie,23.4948,https://linked.data.gov.au/dataset/asgsed3/SA2/511031279,13732,13775,13788,13825,13880,13938,14009,14087,14172,14262,14352,0,43,13,37,55,58,71,78,85,90,90,0,43,56,93,148,206,277,355,440,530,620,0,0.313137,0.094374,0.268349,0.39783,0.417867,0.509399,0.556785,0.603393,0.635055,0.631048,0,0.313137,0.407807,0.67725,1.077775,1.500146,2.017186,2.585202,3.204195,3.859598,4.515001,7cfbaa85-4c01-4bf1-ac55-d8ec5750a158,0.00221336392337435,0.295250314834554
2145,511031280,Kalgoorlie - North,31.0652,https://linked.data.gov.au/dataset/asgsed3/SA2/511031280,9204,9207,9192,9196,9206,9219,9244,9274,9313,9353,9397,0,3,-15,4,10,13,25,30,39,40,44,0,3,-12,-8,2,15,40,70,109,149,193,0,0.032595,-0.16292,0.043516,0.108743,0.141212,0.271179,0.324535,0.420531,0.429507,0.470437,0,0.032595,-0.130378,-0.086919,0.02173,0.162973,0.434594,0.760539,1.184268,1.618861,2.096914,2ce909b6-6754-4b6c-a7bf-d191b70f8533,0.0029259568816542,0.257187865758267
2146,511031281,Kalgoorlie Airport,7.4496,https://linked.data.gov.au/dataset/asgsed3/SA2/511031281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88c22d1a-cff4-4523-9c6c-a634dfe7da80,0.000702078863241695,0.146713442929202
2147,511031282,Kambalda - Coolgardie - Norseman,218581.6465,https://linked.data.gov.au/dataset/asgsed3/SA2/511031282,4597,4667,4729,4791,4857,4929,5005,5085,5168,5250,5340,0,70,62,62,66,72,76,80,83,82,90,0,70,132,194,260,332,408,488,571,653,743,0,1.522732,1.328477,1.311059,1.377583,1.482397,1.541895,1.598402,1.632252,1.586687,1.714286,0,1.522732,2.871438,4.220144,5.655863,7.222101,8.875353,10.615619,12.421144,14.204916,16.162715,423b728a-6047-47f0-8d73-32ce43545e5b,20.723180753836,23.7431309043298
2148,511031283,Leinster - Leonora,495840.4144,https://linked.data.gov.au/dataset/asgsed3/SA2/511031283,5203,5267,5322,5388,5461,5536,5613,5694,5778,5862,5946,0,64,55,66,73,75,77,81,84,84,84,0,64,119,185,258,333,410,491,575,659,743,0,1.23006,1.044238,1.240135,1.354863,1.373375,1.390896,1.443079,1.475237,1.45379,1.432958,0,1.23006,2.287142,3.555641,4.958678,6.400154,7.880069,9.436863,11.051317,12.66577,14.280223,0c01b020-42ee-4a07-93d1-6bead582b047,45.2921910160603,35.0762266703069
2149,511031284,Trafalgar (WA),27.6123,https://linked.data.gov.au/dataset/asgsed3/SA2/511031284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5ce80fb7-a454-4b7d-9a2b-f1dd0e937233,0.00260170722231123,0.243191514841023
2150,511041285,Geraldton,21.8752,https://linked.data.gov.au/dataset/asgsed3/SA2/511041285,12395,12420,12438,12474,12526,12594,12677,12774,12886,13010,13140,0,25,18,36,52,68,83,97,112,124,130,0,25,43,79,131,199,282,379,491,615,745,0,0.201694,0.144928,0.289436,0.416867,0.542871,0.659044,0.765165,0.876781,0.962285,0.999231,0,0.201694,0.346914,0.637354,1.056878,1.605486,2.275111,3.057685,3.961275,4.961678,6.010488,a1bf908f-9b05-4365-9c98-e4670e8ddcf3,0.00202100876708755,0.375008705515956
2151,511041286,Geraldton - East,80.9732,https://linked.data.gov.au/dataset/asgsed3/SA2/511041286,8227,8241,8249,8269,8292,8323,8360,8402,8451,8505,8560,0,14,8,20,23,31,37,42,49,54,55,0,14,22,42,65,96,133,175,224,278,333,0,0.170171,0.097076,0.242454,0.278147,0.373854,0.444551,0.502392,0.583194,0.638978,0.646678,0,0.170171,0.267412,0.510514,0.790081,1.16689,1.616628,2.127142,2.722742,3.379118,4.047648,9448fe78-5e2a-4ca4-9a8e-3e9db035677b,0.00748433716466934,0.539598017630999
