"ModelReleaseYear","Make","ModelReleaseVersion","Model","Variant","EngineDisplacement","EngineConfiguration","EngineInduction","FwdGearsNo","TransmissionTypeDescription","SideDoorNo","SeatingCapacity","BodyStyle","DrivingWheelsNo","FuelType","CO2EmissionsCombined","CO2EmissionsUrban","CO2EmissionsExtraUrban","FuelConsumptionCombined","FuelConsumptionUrban","FuelConsumptionExtraUrban","EnergyConsumptionWhkm","ElectricRangeKm","AirPollutionStandard","StationaryNoiseData","TestSpeed","IsCurrentModel","ModelEndYear","FuelLifeCycleCO2","AnnualTailpipeCO2","AnnualFuelCost"
"2024","Mazda","","CX-70","","3.3","6cyl","Turbo","8","Auto","4","5","SUV","4","Diesel","143","152","140","5.4","5.8","5.3","","","Euro 5","73","2813","Yes","0","156","2","1210"
"2017","Audi","","Q5","2.0 TDI quattro S-Tronic 20 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","143","153","137","5.5","5.8","5.2","","","Euro 6","72","2375","Yes","0","159","2","1232"
"2020","Audi","","Q5","40 TDI quattro S-Tronic 20 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","143","160","131","5.4","6.1","5","","","Euro 6","73","3150","Yes","0","156","2","1210"
"2020","Audi","","Q5","40 TDI quattro S-Tronic 19 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","143","160","132","5.4","6.1","5","","","Euro 6","73","3150","Yes","0","156","2","1210"
"2020","Audi","","Q5","40 TDI quattro S-Tronic 20 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","143","160","133","5.4","6.1","5","","","Euro 6","73","3150","Yes","0","156","2","1210"
"2021","Audi","","Q5 Sportback","40 TDI quattro S-Tronic 21 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","144","160","133","5.5","6.1","5.1","","","Euro 6","73","3150","Yes","0","159","2.02","1232"
"2016","Ford","ZG","Escape","Trend","2","4cyl","Turbo","6","Auto","4","5","SUV","4","Diesel","144","164","133","5.5","6.3","5.1","","","Euro 5","72","2625","Yes","0","159","2.02","1232"
"2017","Audi","","Q5","2.0 TDI quattro S-Tronic 21 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","145","155","139","5.6","5.9","5.3","","","Euro 6","72","2375","Yes","0","162","2.03","1254"
"2017","BMW","G32","6 Series","630d GT","3","6cyl","Turbo","8","Auto","4","5","Sedan","2","Diesel","145","163","135","5.5","6.2","5.1","","","Euro 5","74","3000","Yes","0","159","2.03","1232"
"2020","BMW","G30","5 Series","530d","3","6cyl","Turbo","8","Auto","4","5","Sedan","2","Diesel","145","176","127","5.5","6.7","4.8","","","Euro 5","74","3000","Yes","0","159","2.03","1232"
