"ModelReleaseYear","Make","ModelReleaseVersion","Model","Variant","EngineDisplacement","EngineConfiguration","EngineInduction","FwdGearsNo","TransmissionTypeDescription","SideDoorNo","SeatingCapacity","BodyStyle","DrivingWheelsNo","FuelType","CO2EmissionsCombined","CO2EmissionsUrban","CO2EmissionsExtraUrban","FuelConsumptionCombined","FuelConsumptionUrban","FuelConsumptionExtraUrban","EnergyConsumptionWhkm","ElectricRangeKm","AirPollutionStandard","StationaryNoiseData","TestSpeed","IsCurrentModel","ModelEndYear","FuelLifeCycleCO2","AnnualTailpipeCO2","AnnualFuelCost"
"2022","BMW","G15","8 Series","840i","3","6cyl","Turbo","8","Auto","2","4","Coupe","2","Petrol 98RON","179","230","150","7.8","10.1","6.5","","","Euro 6","83","3750","Yes","0","191","2.51","2053"
"2023","BMW","G29","Z4","M40i","3","6cyl","Turbo","8","Auto","2","2","Convertible","2","Petrol 98RON","179","235","147","7.8","10.3","6.4","","","Euro 6","93","3750","Yes","0","191","2.51","2053"
"2023","Mercedes-Benz","V177","A Class","A 35 4MATIC Sedan","2","4cyl","Turbo","8","Auto","4","5","Sedan","4","Petrol 98RON","179","251","139","7.9","11.1","6.1","","","Euro 5","76","3750","Yes","0","193","2.51","2079"
"2021","BMW","X3 Series - G01","X3","xDrive30i","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Petrol 98RON","180","206","165","7.9","9","7.2","","","Euro 6","84","3750","Yes","0","193","2.52","2079"
"2021","BMW","X4 Series - G02","X4","xDrive30i","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Petrol 98RON","180","206","165","7.9","9","7.2","","","Euro 6","85","3750","Yes","0","193","2.52","2079"
"2017","MINI","F60","John Cooper Works ALL4","Countryman","2","4cyl","Turbo","8","Auto","4","5","Wagon","4","Petrol 98RON","180","224","155","7.9","9.8","6.8","","","Euro 6","90","3750","No","2025","193","2.52","2079"
"2019","BMW","G16","8 Series","840i Gran Coupe","3","6cyl","Turbo","8","Auto","4","4","Sedan","2","Petrol 98RON","180","226","154","7.9","9.9","6.7","","","Euro 6","83","3750","Yes","0","193","2.52","2079"
"2019","Audi","","TTRS Coupe","19 Inch Wheel","2.5","5cyl","Turbo","7","Other","2","4","Coupe","4","Petrol 98RON","181","240","146","7.9","10.5","6.4","","","Euro 6","94","3750","Yes","0","193","2.53","2079"
"2019","Audi","","TTRS Coupe","20 Inch Wheel","2.5","5cyl","Turbo","7","Other","2","4","Coupe","4","Petrol 98RON","181","240","147","8","10.6","6.5","","","Euro 6","94","3750","Yes","0","195","2.53","2106"
"2019","Subaru","","BRZ","BRZ-ts","2","4cyl","Normal","6","Auto","2","4","Coupe","2","Petrol 98RON","181","260","135","7.8","11.2","5.9","","","Euro 5","79","3750","No","2025","191","2.53","2053"
"2023","Skoda","MY23","Superb","SportLine 206TSI 4x4 DSG","2","4cyl","Turbo","6","Auto","4","5","Sedan","4","Petrol 98RON","182","222","158","8","9.8","6.9","","","Euro 6","72","3750","No","2025","195","2.55","2106"
"2019","BMW","G14","8 Series","840i","3","6cyl","Turbo","8","Auto","2","4","Convertible","2","Petrol 98RON","182","226","156","8","9.9","6.8","","","Euro 6","83","3750","Yes","0","195","2.55","2106"
"2022","BMW","G20","3 Series","M340i xDrive","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Petrol 98RON","182","233","153","8","10.3","6.7","","","Euro 6","92","3750","Yes","0","195","2.55","2106"
"2022","BMW","G20","3 Series","M340i xDrive","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Petrol 98RON","182","233","153","8","10.3","6.7","","","Euro 6","92","3750","Yes","0","195","2.55","2106"
"2021","BMW","G42","2 Series","M240i xDrive","3","6cyl","Turbo","8","Auto","2","4","Coupe","4","Petrol 98RON","185","239","154","8","10.3","6.6","","","Euro 6","95","3750","Yes","0","195","2.59","2106"
"2022","BMW","G16","8 Series","840i Gran Coupe","3","6cyl","Turbo","8","Auto","4","4","Sedan","2","Petrol 98RON","185","239","155","8.1","10.4","6.7","","","Euro 6","83","3750","Yes","0","198","2.59","2132"
"2017","BMW","F22","2 Series","M2 ","3","6cyl","Turbo","7","Auto","2","4","Coupe","2","Petrol 98RON","185","244","150","7.9","10.5","6.4","","","Euro 6","93","3750","Yes","0","193","2.59","2079"
"2023","Mercedes-Benz","W177","A Class","A 35 4MATIC Hatch","2","4cyl","Turbo","8","Auto","4","5","Hatch","4","Petrol 98RON","185","253","146","8.2","11.1","6.4","","","Euro 5","76","3750","Yes","0","200","2.59","2158"
"2023","Mercedes-Benz","C118","CLA","35 AMG 4MATIC FL","2","4cyl","Turbo","8","Auto","4","5","Coupe","4","Petrol 98RON","185","260","144","8.2","11.4","6.3","","","Euro 6","80","3750","Yes","0","200","2.59","2158"
"2024","Toyota","","GR Yaris","","1.6","3cyl","Turbo","6","Manual","2","4","Hatch","4","Petrol 98RON","186","243","152","8.2","10.8","6.7","","","Euro 6","77","3750","Yes","0","200","2.6","2158"
"2023","Skoda","MY23","Superb","SportLine 206TSI 4x4 DSG","2","4cyl","Turbo","6","Auto","4","5","Wagon","4","Petrol 98RON","187","227","165","8.2","9.9","7.2","","","Euro 6","72","3750","No","2025","200","2.62","2158"
"2021","BMW","G26","4 Series","M440i Gran Coupe","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Petrol 98RON","187","238","158","8.2","10.4","6.9","","","Euro 6","92","3750","Yes","0","200","2.62","2158"
"2022","BMW","G14","8 Series","840i","3","6cyl","Turbo","8","Auto","2","4","Convertible","2","Petrol 98RON","187","241","156","8.2","10.5","6.8","","","Euro 6","83","3750","Yes","0","200","2.62","2158"
"2017","Audi","","TTRS Coupe","19 Inch Wheel","2.5","5cyl","Turbo","7","Other","2","4","Coupe","4","Petrol 98RON","187","258","146","8.2","11.3","6.4","","","Euro 6","96","3750","Yes","0","200","2.62","2158"
"2020","BMW","G23","4 Series","M440i xDrive","3","6cyl","Turbo","8","Auto","2","4","Convertible","4","Petrol 98RON","188","242","157","8.2","10.6","6.8","","","Euro 6","92","3750","Yes","0","200","2.63","2158"
"2025","Audi","","RS3 Sedan","quattro S-tronic","2.5","5cyl","Turbo","7","Auto","4","5","Sedan","4","Petrol 98RON","188","254","149","8.2","11.1","6.5","","","Euro 6","81","3750","Yes","0","200","2.63","2158"
"2017","Audi","","RS3 Sedan","2.5 TFSI quattro S-Tronic 19x8 Inch Wheel","2.5","5cyl","Turbo","7","Auto","4","5","Sedan","4","Petrol 98RON","188","258","148","8.3","11.3","6.5","","","Euro 6","98","3750","Yes","0","203","2.63","2185"
"2023","Toyota","","GR COROLLA","","1.6","3cyl","Turbo","6","Manual","4","5","Hatch","4","Petrol 98RON","191","253","155","8.4","11.1","6.8","","","Euro 6","93","3750","Yes","0","205","2.67","2211"
"2025","Audi","","RS3 Sportback","quattro S-tronic","2.5","5cyl","Turbo","7","Auto","4","5","Hatch","4","Petrol 98RON","191","255","153","8.3","11.2","6.7","","","Euro 6","81","3750","Yes","0","203","2.67","2185"
"2017","Audi","","RS3 Sportback","2.5 TFSI quattro S-Tronic 19x8 Inch Wheel","2.5","5cyl","Turbo","7","Auto","4","5","Hatch","4","Petrol 98RON","191","260","151","8.4","11.4","6.7","","","Euro 6","98","3750","Yes","0","205","2.67","2211"
"2017","Audi","","RS3 Sedan","2.5 TFSI quattro S-Tronic 19x8.5 Inch Wheel","2.5","5cyl","Turbo","7","Auto","4","5","Sedan","4","Petrol 98RON","191","260","152","8.4","11.4","6.6","","","Euro 6","98","3750","Yes","0","205","2.67","2211"
"2017","Audi","","TTRS Roadster","19 Inch Wheel","2.5","5cyl","Turbo","7","Other","2","2","Convertible","4","Petrol 98RON","191","261","150","8.4","11.4","6.6","","","Euro 6","96","3750","Yes","0","205","2.67","2211"
"2017","Audi","","TTRS Coupe","20 Inch Wheel","2.5","5cyl","Turbo","7","Other","2","4","Coupe","4","Petrol 98RON","192","260","151","8.4","11.4","6.6","","","Euro 6","96","3750","Yes","0","205","2.69","2211"
"2018","Mercedes-Benz","217","S Class","S560","4","8cyl","Turbo","9","Auto","2","4","Coupe","2","Petrol 98RON","193","263","155","8.5","11.6","6.8","","","Euro 6","80","3750","Yes","0","208","2.7","2237"
"2019","Audi","","RS3 Sedan","2.5 TFSI quattro S-Tronic 19x8 Inch Wheel","2.5","5cyl","Turbo","7","Auto","4","5","Sedan","4","Petrol 98RON","194","258","157","8.5","11.3","6.9","","","Euro 6","90","3750","Yes","0","208","2.72","2237"
"2019","Audi","","RS3 Sedan","2.5 TFSI quattro S-Tronic 19x8.5 Inch Wheel","2.5","5cyl","Turbo","7","Auto","4","5","Sedan","4","Petrol 98RON","194","258","157","8.5","11.3","6.9","","","Euro 6","90","3750","Yes","0","208","2.72","2237"
"2019","Audi","","RS3 Sportback","2.5 TFSI quattro S-Tronic 19x8 Inch Wheel","2.5","5cyl","Turbo","7","Auto","4","5","Hatch","4","Petrol 98RON","194","258","157","8.5","11.3","6.9","","","Euro 6","90","3750","Yes","0","208","2.72","2237"
"2017","Audi","","RS3 Sportback","2.5 TFSI quattro S-Tronic 19x8.5 Inch Wheel","2.5","5cyl","Turbo","7","Auto","4","5","Hatch","4","Petrol 98RON","194","262","155","8.5","11.5","6.8","","","Euro 6","98","3750","Yes","0","208","2.72","2237"
"2016","Toyota","","86","","2","4cyl","Normal","6","Manual","2","4","Coupe","2","Petrol 98RON","194","263","154","8.4","11.5","6.7","","","Euro 5","79","3750","Yes","0","205","2.72","2211"
"2016","Toyota","","86","","2","4cyl","Normal","6","Manual","2","4","Coupe","2","Petrol 98RON","194","263","154","8.4","11.5","6.7","","","Euro 5","79","3750","Yes","0","205","2.72","2211"
"2019","Subaru","","BRZ","BRZ Coupe","2","4cyl","Normal","6","Manual","2","4","Coupe","2","Petrol 98RON","194","263","154","8.4","11.5","6.7","","","Euro 5","81","3750","No","2025","205","2.72","2211"
"2019","Subaru","","BRZ","BRZ - Premimum","2","4cyl","Normal","6","Manual","2","4","Coupe","2","Petrol 98RON","194","263","154","8.4","11.5","6.7","","","Euro 5","81","3750","No","2025","205","2.72","2211"
"2019","Audi","","RS3 Sportback","2.5 TFSI quattro S-Tronic 19x8.5 Inch Wheel","2.5","5cyl","Turbo","7","Auto","4","5","Hatch","4","Petrol 98RON","195","258","158","8.5","11.3","6.9","","","Euro 6","90","3750","Yes","0","208","2.73","2237"
"2017","Audi","","TTRS Roadster","20 Inch Wheel","2.5","5cyl","Turbo","7","Other","2","2","Convertible","4","Petrol 98RON","196","264","156","8.6","11.5","6.9","","","Euro 6","96","3750","Yes","0","210","2.74","2264"
"2020","Audi","","S6","quattro","2.9","6cyl","Turbo","8","Auto","4","5","Sedan","4","Petrol 98RON","197","257","162","8.4","11","6.9","","","Euro 5","78","3750","Yes","0","205","2.76","2211"
"2021","Porsche","718","982","Boxster","2","4cyl","Turbo","7","Auto","2","2","Convertible","2","Petrol 98RON","197","268","156","8.6","11.8","6.8","","","Euro 6","89","3750","Yes","0","210","2.76","2264"
"2021","Porsche","718","982","Cayman","2","4cyl","Turbo","7","Auto","2","2","Coupe","2","Petrol 98RON","197","268","156","8.6","11.8","6.8","","","Euro 6","89","3750","Yes","0","210","2.76","2264"
"2016","BMW","G11","7 Series","750Li","4.4","8cyl","Turbo","8","Auto","4","5","Sedan","2","Petrol 98RON","197","276","151","8.5","11.9","6.5","","","Euro 6","79","3750","Yes","0","208","2.76","2237"
"2013","Audi","","TTRS Plus Coupe","2.5 TFSI 6 Spd Manual","2.5","5cyl","Turbo","7","Auto","2","4","Coupe","4","Petrol 98RON","197","285","146","8.5","12.3","6.3","","","Euro 5","87.00","3750","Yes","0","208","2.76","2237"
"2015","Audi","","RS Q3","2.5 TFSI quattro S-Tronic 19 Inch Wheel","2.5","4cyl","Turbo","7","Auto","4","5","Wagon","4","Petrol 98RON","198","272","156","8.4","11.6","6.6","","","Euro 6","80.00","3750","Yes","0","205","2.77","2211"
"2019","BMW","G02","X4","M40i","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Petrol 98RON","199","247","171","8.7","10.8","7.5","","","Euro 6","91","3750","Yes","0","213","2.79","2290"
"2019","BMW","G02","X4","M40i","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Petrol 98RON","199","247","171","8.7","10.8","7.5","","","Euro 6","91","3750","Yes","0","213","2.79","2290"
"2019","Audi","","S7","quattro","2.9","6cyl","Turbo","8","Auto","4","5","Sedan","4","Petrol 98RON","199","258","164","8.5","11.1","7","","","Euro 5","78","3750","Yes","0","208","2.79","2237"
"2017","Audi","","RS5","Coupe Quattro 2.9l V6 Biturbo","2.9","6cyl","Turbo","8","Auto","2","4","Coupe","4","Petrol 98RON","199","264","162","8.8","11.6","7.2","","","Euro 6","91","3750","Yes","0","215","2.79","2316"
"2017","BMW","F22","2 Series","M2 ","3","6cyl","Turbo","6","Manual","2","4","Coupe","2","Petrol 98RON","199","269","158","8.5","11.6","6.7","","","Euro 6","94","3750","Yes","0","208","2.79","2237"
