InfrastructureID,RatePerHour,MaxTime,Latitude,Longitude,TAVG,PRCP,TMAX,TMIN,OBJECTID,OBJECTID,Type,STYLE,MeterNumber,MapSymbol,Description,LifecycleStatus,Condition,HoursInEffect,Length_m,Width_m,AccessAisle,AccessAisleWidth_m,LoadingSide,DistanceToNearestLetdown_m,CrossSlope_percent,MeetsSDC16,NewSignageInstalled,CurbPainted,Location,CivicAddress,Comments,Owner,OwnerNotes,Custodian,CustodianNotes,geometry,geometry,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP_ATTRIBUTES,TAVG_ATTRIBUTES,TMAX_ATTRIBUTES,TMIN_ATTRIBUTES,OBJECTID,OBJECTID,Label,Direction,SHAPE_Length,Year,PDF,geometry,geometry
PSP002228,Free,,48.44910638313592,-123.3349703635329,23.6,0.0,31.7,15.1,1843,21,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33478487955135 48.44747030197307),"LINESTRING (-123.3538295914456 48.43901492475363, -123.3538496579913 48.43908564675542)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,21/01/2022,",,a","H,,S",",,a",",,a",1843,21,600(92),both,7.99999845403123,1992,,POINT (-123.33478487955135 48.44747030197307),"LINESTRING (-123.3538295914456 48.43901492475363, -123.3538496579913 48.43908564675542)"
PSP002226,Free,,48.44926905518824,-123.33818221608549,25.0,0.0,33.3,15.5,1896,22,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33471403182557 48.447469793727436),"LINESTRING (-123.35647668626197 48.43648831733981, -123.35649683245873 48.436559028769935)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,22/01/2022,",,a","H,,S",",,a",",,a",1896,22,633(92),both,7.999950279483977,1992,,POINT (-123.33471403182557 48.447469793727436),"LINESTRING (-123.35647668626197 48.43648831733981, -123.35649683245873 48.436559028769935)"
PSP002214,$1.00,,48.430302518278715,-123.36403917195943,25.9,0.0,34.1,15.8,1944,23,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,"Ver Network AAA-332 Bastion Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.3690247088614 48.426456369317435),"LINESTRING (-123.35528546925022 48.43652850816118, -123.35530569351555 48.436599210560736)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,23/01/2022,",,a","H,,S",",,a",",,a",1944,23,650(92),both,8.000041123787124,1992,,POINT (-123.3690247088614 48.426456369317435),"LINESTRING (-123.35528546925022 48.43652850816118, -123.35530569351555 48.436599210560736)"
PSP002375,M-SAT $2.50 SUN Free,$15 Daily Max Rate,48.42372723357759,-123.36170150624405,26.2,0.0,35.1,17.5,1998,24,metered,ELECTRIC VEHICLE,9292.0,ACCESSIBLE,Hourly Rate M-SAT $2.50 SUN Free; Max Time $15 Daily Max Rate,ACT,2.0,M-SAT 8AM-8PM,5.0,3.0,Yes,2.5,Right Side,5.0 to elevator,0.8,No,No,No,View St Parkade - 5th Floor,743 View St,EV charging station,VC,,VC,,POINT (-123.36363854537153 48.425023679468126),"LINESTRING (-123.34781584455975 48.432056809039366, -123.34780737794706 48.432128559447136)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,24/01/2022,",,a","H,,S",",,a",",,a",1998,24,370(81),both,7.99997890633984,1981,,POINT (-123.36363854537153 48.425023679468126),"LINESTRING (-123.34781584455975 48.432056809039366, -123.34780737794706 48.432128559447136)"
PSP002220,Free,,48.447605942543056,-123.33274879937571,25.1,0.0,34.4,17.3,2042,25,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33515891953378 48.44700790589886),"LINESTRING (-123.34699813544651 48.4316838669126, -123.34689099155565 48.43167407604379)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,25/01/2022,",,a","H,,S",",,a",",,a",2042,25,480(81),both,7.999983124750615,1981,,POINT (-123.33515891953378 48.44700790589886),"LINESTRING (-123.34699813544651 48.4316838669126, -123.34689099155565 48.43167407604379)"
PSP002231,Free,,48.4486648002955,-123.33739848370182,27.7,0.0,37.3,16.6,2082,26,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33489329955235 48.447471415169055),"LINESTRING (-123.34678904849635 48.417116220462376, -123.34668233407696 48.41710465667869)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,26/01/2022,",,a","H,,S",",,a",",,a",2082,26,510(81),both,8.000035078349107,1981,,POINT (-123.33489329955235 48.447471415169055),"LINESTRING (-123.34678904849635 48.417116220462376, -123.34668233407696 48.41710465667869)"
PSP002222,Free,,48.44724432382745,-123.33298594990812,26.8,12.2,33.3,19.6,2201,27,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33509406229457 48.44693882708769),"LINESTRING (-123.35517350105968 48.416011258894166, -123.35506690937777 48.41599921399284)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,27/01/2022,",,a","H,,S",",,a",",,a",2201,27,740(84),both,8.000019373203443,1984,,POINT (-123.33509406229457 48.44693882708769),"LINESTRING (-123.35517350105968 48.416011258894166, -123.35506690937777 48.41599921399284)"
PSP002227,Free,,48.45032594934316,-123.33458207921977,21.1,3.6,34.5,21.1,2213,28,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33475053174266 48.447470401886896),"LINESTRING (-123.35286830341725 48.41510068004829, -123.35285026480594 48.4151716426114)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,28/01/2022,",,a","H,,S",",,a",",,a",2213,28,840(81),both,7.999970860554829,1981,,POINT (-123.33475053174266 48.447470401886896),"LINESTRING (-123.35286830341725 48.41510068004829, -123.35285026480594 48.4151716426114)"
PSP000337,$3.00,90 MIN,48.425724287449064,-123.36327495989524,19.2,22.0,21.6,16.9,2330,29,metered,ELECTRIC VEHICLE,2915.0,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36599714521391 48.42748423601881),"LINESTRING (-123.38418598273587 48.41659361657502, -123.38396319158194 48.416808750836736)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,29/01/2022,",,a","H,,S",",,a",",,a",2330,29,790(89),both,29.04483742602912,1989,,POINT (-123.36599714521391 48.42748423601881),"LINESTRING (-123.38418598273587 48.41659361657502, -123.38396319158194 48.416808750836736)"
PSP002216,Regular parking fees apply.,,48.43000448323371,-123.36461793231481,23.0,0.2,28.7,17.5,19,30,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,"Ver Network AAA-272 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.3638054044696 48.42511956618813),"LINESTRING (-123.38415456037309 48.418032779870586, -123.38381892587903 48.41787133304858)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,30/01/2022,",,a","H,,S",",,a",",,a",19,30,480(89),both,30.63954753652109,1989,,POINT (-123.3638054044696 48.42511956618813),"LINESTRING (-123.38415456037309 48.418032779870586, -123.38381892587903 48.41787133304858)"
