_id,cost,charging_points,pay_at_location,membership_required,access_key_required,is_operational,latitude,longitude,operator,connection_type,current_type,charging_points_flag,power_output
66d7e0a1cdf87e8b5d63d84a,Unknown,1,Unknown,Unknown,Unknown,Unknown,-38.2661166,144.5220013,Geelong Regional Libraries,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d84b,Unknown,1,Unknown,Unknown,Unknown,Unknown,-38.184512,146.2375699,Chargefox,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d84c,Unknown,1,Unknown,Unknown,Unknown,Unknown,-34.18882,142.162711,NRMA,CHAdeMO,Unknown,1,
66d7e0a1cdf87e8b5d63d84d,Unknown,22,Unknown,Unknown,Unknown,Unknown,-32.9291638,151.7720103,Chargefox,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d84e,Unknown,22,Unknown,Unknown,Unknown,Unknown,-33.8763052,151.1778386,Chargefox,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d84f,Unknown,7,Unknown,Unknown,Unknown,Unknown,-32.9028042,151.6906686,Chargepoint,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d850,Unknown,22,Unknown,Unknown,Unknown,Unknown,-33.9138057,151.2391178,Chargefox,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d851,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9053712,151.2129122,Chargefox,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d852,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.7644055,144.9222192,Tesla Supercharger,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d853,Unknown,1,Unknown,Unknown,Unknown,Unknown,-26.9182695,152.9964595,Evie Networks,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d854,Unknown,2,Unknown,Unknown,Unknown,Unknown,-27.4954744,153.0167803,Unknown,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d855,Unknown,3,Unknown,Unknown,Unknown,Unknown,-32.6539082,151.9625258,Chargefox,CHAdeMO,Unknown,0,
66d7e0a1cdf87e8b5d63d856,Unknown,2,Unknown,Unknown,Unknown,Unknown,-41.9293446,147.4945273,Evie Networks,CHAdeMO,Unknown,0,
66d7e0a1cdf87e8b5d63d857,Unknown,1,Unknown,Unknown,Unknown,Unknown,-27.4921779,153.0412292,Unknown,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d858,Unknown,1,Unknown,Unknown,Unknown,Unknown,-29.0106618,134.7543104,"Tesla, Inc.",Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d859,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.7189925,144.9614795,Chargefox,CHAdeMO,Unknown,0,
66d7e0a1cdf87e8b5d63d85a,Unknown,1,Unknown,Unknown,Unknown,Unknown,-36.0837898,146.9148011,NRMA,CHAdeMO,Unknown,1,
66d7e0a1cdf87e8b5d63d85b,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.5613256,143.8623024,Chargefox,CHAdeMO,Unknown,1,
66d7e0a1cdf87e8b5d63d85c,Unknown,1,Unknown,Unknown,Unknown,Unknown,-35.7099111,150.1774214,Evie Networks,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d85d,Unknown,4,Unknown,Unknown,Unknown,Unknown,-26.1881513,152.6612476,Tesla Supercharger,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d85e,Unknown,1,Unknown,Unknown,Unknown,Unknown,-32.7742468,151.2946203,NRMA,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d85f,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9306373,151.2464722,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d860,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.8244076,144.9244765,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d861,Unknown,1,Unknown,Unknown,Unknown,Unknown,-32.1997712,152.5199677,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d862,Unknown,2,Unknown,Unknown,Unknown,Unknown,-37.7719979,144.9789845,Unknown,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d863,Unknown,1,Unknown,Unknown,Unknown,Unknown,-34.6396148,143.5644882,NRMA,CHAdeMO,Unknown,1,
66d7e0a1cdf87e8b5d63d864,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.9208333,145.1400183,Unknown,Type 2 (Socket Only),Unknown,1,
66d7e0a1cdf87e8b5d63d865,Unknown,1,Unknown,Unknown,Unknown,Unknown,-35.2998964,149.190361,Unknown,Type 2 (Socket Only),Unknown,0,
66d7e0a1cdf87e8b5d63d866,Unknown,1,Unknown,Unknown,Unknown,Unknown,-35.279627,149.1283604,Evie Networks,CHAdeMO,Unknown,0,
66d7e0a1cdf87e8b5d63d867,Unknown,4,Unknown,Unknown,Unknown,Unknown,-35.2801903,149.1354521,Unknown,Type 2 (Socket Only),Unknown,0,
66d7e0a1cdf87e8b5d63d868,Unknown,1,Unknown,Unknown,Unknown,Unknown,-35.3224367,149.165535,Chargefox,CHAdeMO,Unknown,0,
66d7e0a1cdf87e8b5d63d869,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.8908025,151.2762714,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d86a,Unknown,1,Unknown,Unknown,Unknown,Unknown,-42.6817118,146.7164989,Mt Field Visitor Centre,Type 2 (Socket Only),Unknown,0,
66d7e0a1cdf87e8b5d63d86b,Unknown,1,Unknown,Unknown,Unknown,Unknown,-43.0312044,147.0474304,Huon Valley Council,Type 2 (Socket Only),Unknown,0,
66d7e0a1cdf87e8b5d63d86c,Unknown,1,Unknown,Unknown,Unknown,Unknown,-42.8816834,147.3354788,TasPorts,Type 2 (Socket Only),Unknown,0,
66d7e0a1cdf87e8b5d63d86d,Unknown,4,Unknown,Unknown,Unknown,Unknown,-27.4157668,153.077346,Evie Networks,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d86e,0.25 AU/kWh,1,Unknown,Unknown,Unknown,Unknown,-41.0498769,145.90733,Electric Highway Tasmania,"Type 2 (Socket Only), CHAdeMO",Unknown,0,
66d7e0a1cdf87e8b5d63d86f,Unknown,2,Unknown,Unknown,Unknown,Unknown,-23.3821063,150.5132751,Yurika,"Type 2 (Socket Only), CHAdeMO",Unknown,0,
66d7e0a1cdf87e8b5d63d870,Unknown,1,Unknown,Unknown,Unknown,Unknown,-23.3558309,150.5222122,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d871,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.7693688,150.7352534,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d872,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9791934,115.7649217,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d873,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.280911,149.0994869,"Tesla, Inc.",Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d874,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.3333919,149.0432132,"Tesla, Inc.",Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d875,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.6784969,145.0730497,Evie Networks,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d876,Unknown,1,Unknown,Unknown,Unknown,Unknown,-29.0572225,152.0189641,NRMA,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d877,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.7227909,144.5721618,Evie Networks,CHAdeMO,Unknown,1,
66d7e0a1cdf87e8b5d63d878,Unknown,2,Unknown,Unknown,Unknown,Unknown,-34.524747,138.9586197,NRMA,CHAdeMO,Unknown,0,
66d7e0a1cdf87e8b5d63d879,Unknown,4,Unknown,Unknown,Unknown,Unknown,-37.9279602,145.1431387,Unknown,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d87a,Unknown,1,Unknown,Unknown,Unknown,Unknown,-35.3549489,145.7250878,NRMA,CHAdeMO,Unknown,1,
66d7e0a1cdf87e8b5d63d87b,Unknown,1,Unknown,Unknown,Unknown,Unknown,-28.0293919,153.434591,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d87c,Unknown,1,Unknown,Unknown,Unknown,Unknown,-41.0035878,147.3947423,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d87d,Unknown,2,Unknown,Unknown,Unknown,Unknown,-38.757058,143.6683449,Unknown,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d87e,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.8810561,147.9849476,"Tesla, Inc.",Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d87f,Unknown,2,Unknown,Unknown,Unknown,Unknown,-38.4513659,145.2402838,EVolution,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d880,Unknown,1,Unknown,Unknown,Unknown,Unknown,-41.5824743,145.9366036,Tasmanian Parks & Wildlife,Type 2 (Socket Only),Unknown,0,
66d7e0a1cdf87e8b5d63d881,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.8292531,145.056178,Tesla Supercharger,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d882,Unknown,2,Unknown,Unknown,Unknown,Unknown,-24.327605,151.5605055,Yurika,"Type 2 (Socket Only), CHAdeMO",Unknown,0,
66d7e0a1cdf87e8b5d63d883,Unknown,2,Unknown,Unknown,Unknown,Unknown,-19.5755234,147.404019,Yurika,"Type 2 (Socket Only), CHAdeMO",Unknown,0,
66d7e0a1cdf87e8b5d63d884,Unknown,1,Unknown,Unknown,Unknown,Unknown,-19.2600757,146.8208282,ChargeStar,CHAdeMO,Unknown,0,
66d7e0a1cdf87e8b5d63d885,Unknown,1,Unknown,Unknown,Unknown,Unknown,-32.9599116,151.6240709,Chargefox,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d886,Unknown,2,Unknown,Unknown,Unknown,Unknown,-27.243335,153.0156633,Yurika,"Type 2 (Socket Only), CHAdeMO",Unknown,0,
66d7e0a1cdf87e8b5d63d887,Unknown,2,Unknown,Unknown,Unknown,Unknown,-27.6379161,153.1355179,Yurika,"Type 2 (Socket Only), CHAdeMO",Unknown,0,
66d7e0a1cdf87e8b5d63d888,Unknown,2,Unknown,Unknown,Unknown,Unknown,-27.6162053,152.7584677,Yurika,"Type 2 (Socket Only), CHAdeMO",Unknown,0,
66d7e0a1cdf87e8b5d63d889,Unknown,1,Unknown,Unknown,Unknown,Unknown,-35.7344119,143.9213354,Charging the Regions,CHAdeMO,Unknown,0,
66d7e0a1cdf87e8b5d63d88a,Unknown,1,Unknown,Unknown,Unknown,Unknown,-32.9033741,151.6676792,Tesla,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d88b,Unknown,1,Unknown,Unknown,Unknown,Unknown,-38.1805437,146.3477263,EnergyAustralia,CHAdeMO,Unknown,1,
66d7e0a1cdf87e8b5d63d88c,Unknown,1,Unknown,Unknown,Unknown,Unknown,-35.2745267,149.1333578,"Tesla, Inc.",Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d88d,Unknown,1,Unknown,Unknown,Unknown,Unknown,-42.1522093,145.3299069,"Tesla, Inc.",Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d88e,Unknown,1,Unknown,Unknown,Unknown,Unknown,-36.4459863,148.4516049,"Tesla, Inc.",Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d88f,Unknown,1,Unknown,Unknown,Unknown,Unknown,-36.4146819,148.6165569,"Tesla, Inc.",Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d890,Unknown,1,Unknown,Unknown,Unknown,Unknown,-35.3457734,149.0857708,Unknown,Type 1 (J1772),Unknown,1,
66d7e0a1cdf87e8b5d63d891,Unknown,1,Unknown,Unknown,Unknown,Unknown,-42.1348216,148.3020342,"Tesla, Inc.",Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d892,Unknown,1,Unknown,Unknown,Unknown,Unknown,-41.4403151,147.1290413,"Tesla, Inc.",Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d893,Unknown,7,Unknown,Unknown,Unknown,Unknown,-30.555484,151.6821565,Peterson's Armidale,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d894,Unknown,2,Unknown,Unknown,Unknown,Unknown,-30.5062581,151.6728399,"Tesla, Inc.",Type 2 (Socket Only),Unknown,0,
66d7e0a1cdf87e8b5d63d895,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.1048978,151.6482486,Porsche,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d896,Unknown,2,Unknown,Unknown,Unknown,Unknown,-38.1293011,144.3453057,Unknown,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d897,Unknown,2,Unknown,Unknown,Unknown,Unknown,-17.3736451,145.3844854,Tropical North Queensland Electric Vehicle Tourist Drive,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d898,Unknown,1,Unknown,Unknown,Unknown,Unknown,-34.937999,138.6437536,Chargefox,Type 2 (Socket Only),Unknown,0,
66d7e0a1cdf87e8b5d63d899,Unknown,2,Unknown,Unknown,Unknown,Unknown,-35.2941487,139.0244883,"Tesla, Inc.",Type 2 (Socket Only),Unknown,0,
66d7e0a1cdf87e8b5d63d89a,Unknown,1,Unknown,Unknown,Unknown,Unknown,-36.7405105,143.9001993,Charging the Regions,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d89b,Unknown,2,Unknown,Unknown,Unknown,Unknown,-35.1841062,149.1354639,Unknown,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d89c,Unknown,22,Unknown,Unknown,Unknown,Unknown,-37.9365224,145.1907152,Chargefox,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d89d,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.9528827,145.1800698,Chargefox,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d89e,Unknown,2,Unknown,Unknown,Unknown,Unknown,-38.3709259,144.8209256,"Tesla, Inc.",Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d89f,Unknown,1,Unknown,Unknown,Unknown,Unknown,-32.8021172,116.4755665,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d8a0,Unknown,1,Unknown,Unknown,Unknown,Unknown,-38.172938,146.2590159,Tesla Supercharger,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d8a1,Unknown,1,Unknown,Unknown,Unknown,Unknown,-36.5049165,148.3045413,"Tesla, Inc.",Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d8a2,Unknown,1,Unknown,Unknown,Unknown,Unknown,-35.0710089,142.3156162,Charging the Regions,CHAdeMO,Unknown,1,
66d7e0a1cdf87e8b5d63d8a3,Unknown,2,Unknown,Unknown,Unknown,Unknown,-35.3409423,143.5617026,Charging the Regions,CHAdeMO,Unknown,0,
66d7e0a1cdf87e8b5d63d8a4,Unknown,1,Unknown,Unknown,Unknown,Unknown,-36.8951652,149.9120037,"Tesla, Inc.",Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d8a5,Unknown,1,Unknown,Unknown,Unknown,Unknown,-36.1423702,141.9878017,Linga Network,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d8a6,Unknown,1,Unknown,Unknown,Unknown,Unknown,-23.2884084,150.5116862,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d8a7,Unknown,1,Unknown,Unknown,Unknown,Unknown,-38.2344038,145.05112,Tesla Supercharger,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d8a8,Unknown,4,Unknown,Unknown,Unknown,Unknown,-37.9271751,145.1435899,IKEA,Type 2 (Socket Only),Unknown,0,
66d7e0a1cdf87e8b5d63d8a9,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.8648195,151.2119085,Bell Resources,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d8aa,Unknown,1,Unknown,Unknown,Unknown,Unknown,-26.8857922,152.1029637,"Tesla, Inc.",Unknown,Unknown,1,
