latitude,longitude,charging_points,power_output,operational_score,accessibility_score,station_density,station_density_normalized,operator,connection_type,current_type,charging_capacity,station_score
-36.0283814,146.8959075,1,0.0,0.5,0.5,61.0,0.2,Unknown,Unknown,Unknown,0.0,0.29000000000000004
-26.4170901,152.9114294,2,0.0,0.5,0.5,29.0,0.09333333333333334,Yurika,"Type 2 (Socket Only), CHAdeMO",Unknown,0.0,0.26866666666666666
-37.8098361,144.9692983,1,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-37.8101221,144.970523,1,0.0,0.5,0.5,301.0,1.0,Secure Parking,Unknown,Unknown,0.0,0.45
-37.8055148,144.9633222,1,0.0,0.5,0.5,301.0,1.0,Arrow on Swanston,Unknown,Unknown,0.0,0.45
-37.8022448,144.9669687,1,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-37.8044709,144.9733535,2,0.0,0.5,0.5,301.0,1.0,Melbourne Museum,Unknown,Unknown,0.0,0.45
-37.8014314,144.9427005,1,0.0,0.5,0.5,301.0,1.0,Jet Charge,Unknown,Unknown,0.0,0.45
-37.812617,144.939222,1,0.0,0.5,0.5,301.0,1.0,The District Docklands,Unknown,Unknown,0.0,0.45
-37.8129804,144.9370084,1,0.0,0.5,0.5,301.0,1.0,The District Docklands,Unknown,Unknown,0.0,0.45
-37.8100036,144.9509974,1,0.0,0.5,0.5,301.0,1.0,Flagstaff City Inn,Unknown,Unknown,0.0,0.45
-37.8319526,144.9607646,1,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-37.8322063,144.9692208,1,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-38.2998125,145.1705033,1,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-30.9786335,150.2519137,1,0.0,0.5,0.5,5.0,0.013333333333333334,NRMA,Unknown,Unknown,0.0,0.25266666666666665
-38.2661166,144.5220013,1,0.0,0.5,0.5,301.0,1.0,Geelong Regional Libraries,Unknown,Unknown,0.0,0.45
-38.184512,146.2375699,1,0.0,0.5,0.5,301.0,1.0,Chargefox,Unknown,Unknown,0.0,0.45
-34.18882,142.162711,1,0.0,0.5,0.5,12.0,0.03666666666666667,NRMA,CHAdeMO,Unknown,0.0,0.25733333333333336
-32.9291638,151.7720103,22,0.0,0.5,0.5,39.0,0.12666666666666668,Chargefox,Unknown,Unknown,0.0,0.2753333333333333
-33.8763052,151.1778386,22,0.0,0.5,0.5,222.0,0.7366666666666667,Chargefox,Unknown,Unknown,0.0,0.3973333333333333
-32.9028042,151.6906686,7,0.0,0.5,0.5,39.0,0.12666666666666668,Chargepoint,Unknown,Unknown,0.0,0.2753333333333333
-33.9138057,151.2391178,22,0.0,0.5,0.5,222.0,0.7366666666666667,Chargefox,Unknown,Unknown,0.0,0.3973333333333333
-33.9053712,151.2129122,1,0.0,0.5,0.5,222.0,0.7366666666666667,Chargefox,Unknown,Unknown,0.0,0.3973333333333333
-37.7644055,144.9222192,1,0.0,0.5,0.5,301.0,1.0,Tesla Supercharger,Unknown,Unknown,0.0,0.45
-26.9182695,152.9964595,1,0.0,0.5,0.5,29.0,0.09333333333333334,Evie Networks,Unknown,Unknown,0.0,0.26866666666666666
-27.4954744,153.0167803,2,0.0,0.5,0.5,103.0,0.34,Unknown,Unknown,Unknown,0.0,0.318
-32.6539082,151.9625258,3,0.0,0.5,0.5,39.0,0.12666666666666668,Chargefox,CHAdeMO,Unknown,0.0,0.2753333333333333
-41.9293446,147.4945273,2,0.0,0.5,0.5,47.0,0.15333333333333332,Evie Networks,CHAdeMO,Unknown,0.0,0.2806666666666667
-27.4921779,153.0412292,1,0.0,0.5,0.5,103.0,0.34,Unknown,Unknown,Unknown,0.0,0.318
-29.0106618,134.7543104,1,0.0,0.5,0.5,2.0,0.0033333333333333335,"Tesla, Inc.",Unknown,Unknown,0.0,0.25066666666666665
