ID,Title,Latitude,Longitude,AccessComments,WheelchairAccess,Connectors,City,Wheelchair_Score,Connector_Score,Proximity_Score,Walkability_Score,PublicTransport_Score,Population_Score,n_Wheelchair_Score,n_Connector_Score,n_Proximity_Score,n_Walkability_Score,n_PublicTransport_Score,n_Population_Score,AIS_Score
191162,Coles Schofields,-33.706161447313946,150.87557080542024,"Located in the Coles underground car park - opening hours: Mon - Sat 6am - 12am | Sun 7am - 10pm - outside of these hours the chargers are not accessible. Mobile signal isnt great in this car park, I recommend having Evie's RFID, or if you move around the car park you can get enough signal to start the session.",,4,Schofields,1,4,0.5,0.5,0.5,0.5,1.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.3277777777777778
273935,The Mount Druitt Hub,-33.767499717192706,150.82239944831394,Charge point is located in black lamp post,,1,Mount Druitt,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777
273904,Leppington Village Shopping Centre,-33.961508128351525,150.80570305129015,,,1,Leppington,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
266501,Campbelltown Supercharger,-34.07151792013103,150.80730085250025,Located in the car park of Campbelltown Catholic Club,,1,Campbelltown,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777
299879,Chargefox Charging Station,-34.07085887727317,150.80665583075495,,,2,Campbelltown,0,2,0.5,0.5,1.0,0.5,0.0,0.4,0.0,0.0,1.0,0.16666666666666663,0.26111111111111107
191163,"Evie Caddens Corner, Kingswood. ",-33.76884540471722,150.73565759781445,,,3,Kinswoid,0,3,0.5,0.5,0.5,0.5,0.0,0.6000000000000001,0.0,0.0,0.0,0.16666666666666663,0.1277777777777778
274056,Ampol Foodary Penrith,-33.7430336465433,150.69296375875626,,,2,Penrith,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444
272693,Jamisontown,-33.770379031934034,150.67371849780716,,,2,Jamisontown,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444
190406,Supercheap auto,-33.76965243504467,150.67186991611658,,,1,Jamisontown‎ ,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
52844,Crowne Plaza Terrigal,-33.4484777280442,151.445479384747,"Inside hotel carpark, two spots on the left side just after the first left turn ",,1,Terrigal,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777
297042,AmpCharge Charging Station,-33.765456662016454,150.62149884005026,,,2,Glenbrook,0,2,0.5,0.5,1.0,0.5,0.0,0.4,0.0,0.0,1.0,0.16666666666666663,0.26111111111111107
266538,Blaxland Supercharger,-33.74525300296909,150.61025805036633,,,1,Blaxland,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
266767,BP Pulse,-33.36290641211102,151.44446174596283,,,2,Tumbi Umbi,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444
161843,Picton [NRMA],-34.16820562741403,150.61093049806357,,,2,Picton,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444
128371,Central Coast Supercharger [Tesla],-33.309014,151.421114,,,1,Tuggerah,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
131610,Innovation Campus - University of Wollongong,-34.40010718082921,150.8996891900606,Turn East off Innovation Way on the North side of the Sustainable Buildings Research Centre - Building 237,,3,North Wollongong,1,3,0.5,0.5,0.5,0.5,1.0,0.6000000000000001,0.0,0.0,0.0,0.16666666666666663,0.29444444444444445
273425,Fairy Meadow [bp pulse],-34.40299801963799,150.89157957672126,,,1,Fairy Meadow,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
131841,Wollongong Central - P1 Basement Car Park,-34.4233979669063,150.892280394333,Turn left after the boom gate.,,2,Wollongong ,1,2,0.5,0.5,0.5,0.5,1.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.26111111111111107
235461,Wollongong Central - Regent St Carpark,-34.423975432207065,150.8913817469645,,,4,Wollongong,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112
191177,Stewart Street Carpark [NRMA],-34.42839437417402,150.9002218527666,,,3,Wollongong,0,3,0.5,0.5,0.5,0.5,0.0,0.6000000000000001,0.0,0.0,0.0,0.16666666666666663,0.1277777777777778
279180,Ampol Foodary Pheasants Nest Southbound,-34.2834466714301,150.63939668827243,,,2,Pheasants Nest ,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444
279179,Ampol Foodary Pheasants Nest Northbound,-34.2829974272134,150.63679286992692,,,2,Pheasants Nest,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444
131564,Figtree Grove Shopping Centre ,-34.43743163189117,150.86340370780567,Enter via the Eastern traffic lights off The Avenue,,1,Figtree ,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777
171646,Wollongong Supercharger,-34.43797320339262,150.8633622012107,,,1,Figtree,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
266540,Evie Lawson,-33.72070368975226,150.4297109802278,,,4,Lawson,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112
131563,Jax EV @ Warrawong Plaza,-34.4868830425302,150.890772967401,Western wall of JAX Tyres on the rooftop car park ,,1,Warrawong,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777
170985,The Place @ Warrawong Plaza,-34.486377904198555,150.88795170004096,Access from South bound lane on King Street.,,1,Warrawong,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777
272708,ENGIE - Lake Haven Centre,-33.24078932377033,151.50325247968817,,,1,Lake Haven,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
272496,Evie Dapto Mall,-34.49497612676224,150.79547723050382,,,4,Dapto,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112
131881,Stockland Shellharbour Shopping Centre ( Shellharbour Square) - West,-34.563672909556324,150.83831953671825,Roof top car park ,,2,Shellharbour City Centre,1,2,0.5,0.5,0.5,0.5,1.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.26111111111111107
131895,Stockland,-34.5636660185915,150.838163461777,,,1,Shellharbour City Centre,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
190407,Scenic World Carpark,-33.728024559118296,150.300728600681,"Tesla 3 phase AC 22kW by the fire stairs near exit. Appear to be set to Legacy and should work with any Type 2 car.  
Wall outlets on corner near fire stairs on most levels of multi storey car park.",,1,Katoomba,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777
171647,Woolworths Shell Cove,-34.588308117930936,150.86592718102042,,,2,Shellharbour,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444
190408,Hydro Majestic Hotel,-33.67697329948779,150.281626751796,,,2,Medlow Bath,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444
