ID,Title,Latitude,Longitude,AccessComments,WheelchairAccess,Connectors,City,Wheelchair_Score,Connector_Score,Proximity_Score,Walkability_Score,PublicTransport_Score,Population_Score,n_Wheelchair_Score,n_Connector_Score,n_Proximity_Score,n_Walkability_Score,n_PublicTransport_Score,n_Population_Score,AIS_Score,Cluster
60564,Mittagong NSW Main Street,-34.4499721,150.451723,Recharger is at the rear of the building at the southern end of the car park,,1,Mittagong ,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777,-1
161844,Mittagong NRMA,-34.45002862260948,150.44244730477044,,,2,Mittagong,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
272675,Swansea,-33.0833,151.6333,,,4,,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112,-1
161832,Great North Trading Post,-32.990224952340206,151.1307728426591,"Ask cafe staff for access, try the burgers and coffee!",,1,Laguna,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777,-1
189033,Hungry Jacks,-37.58083462151804,144.72450043278604,,,1,Sunbury,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
191900,CTR Whittlesea,-37.51050054135484,145.11840794982265,,,2,Whittlesea,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
279191,Wallan,-37.413967109460415,144.9791065326649,,,2,Wallan,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
295989,Evie Mornington,-38.22449869065465,145.03964281641652,,,3,Mornington,0,3,0.5,0.5,0.5,0.5,0.0,0.6000000000000001,0.0,0.0,0.0,0.16666666666666663,0.1277777777777778,-1
259690,Mornington Super Charger,-38.23466432711377,145.05094693515247,,,1,,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
308599,RACV Healsville,-37.65071911937986,145.50301488024843,,,2,Healsville,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
308598,Evie Healsville,-37.65406544922198,145.51428135787194,,,2,Healsville,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
274328,North Bellarine Aquatic Centre,-38.188088367705056,144.55520001587047,,,4,Curlewis,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112,-1
271062,Victoria Street,-37.42305178823792,144.562626054862,,,2,Macedon,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
272573,50 Learmonth Street,-38.26770792670353,144.6589785355144,,,4,Queenscliff,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112,-1
308264,Evie Yarra Juncion,-37.78094746065134,145.61331093083584,,,2,Yarra Junction,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
210929,Kilmore Library,-37.294362,144.952084,,,2,Kilmore,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
210781,Hastings,-38.30823,145.191932,,,2,Hastings,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
210778,Kingston Village Square,-38.24661134219002,144.54005635897056, Pull in parking,,3,Ocean Grove,1,3,0.5,0.5,0.5,0.5,1.0,0.6000000000000001,0.0,0.0,0.0,0.16666666666666663,0.29444444444444445,-1
210852,High St Parking,-37.35582370879025,144.52881756976018,,,2,Woodend,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
210928,Broadford Library,-37.20295,145.048954,,,2,Broadford,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
307764,Trentham Visitor Information Centre,-37.38857348160439,144.32539419117688,,,2,Trentham,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
271014,Evie Flinders,-38.474526184383976,145.0186233435888,,,2,Flinders,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
308263,Evie Bannockburn,-38.04790103443605,144.17035966698813,,,2,Bannockburn,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
307763,Evie Cowes,-38.4507421042261,145.2404278198406,,,2,Cowes,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
210774,Kyneton,-37.246931,144.452169,,,2,Kyneton ,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
271022,Evie Meredith,-37.84437816290739,144.0768346824019,,,2,Meredith,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
274074,Yea Supercharger,-37.21006161015167,145.4261473877039,,,1,Yea,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
270910,Penguin Parade Car Park,-38.505470002342136,145.14849508723148,Available betwween sunrise and 3 hours after sunset,,2,Summerlands,1,2,0.5,0.5,0.5,0.5,1.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.26111111111111107,-1
210772,RACV Torquay Resort,-38.34015291155737,144.31105080946827,,,8,Jan Juc,0,5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.16666666666666663,0.19444444444444442,-1
273318,Newling Reserve,-38.2451409999477,144.17299786561424,Around left side of building,,1,,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777,-1
270904,Wine by Sam,-37.02797706541075,145.14294410402647,,,2,Seymour,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
210773,Daylesford Town Hall,-37.342963,144.142175,,,2,Daylesford,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
273194,Hepburn Springs Bathhouse,-37.31033013058219,144.14010887525797,,,2,Hepburn Springs,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
210770,Shell Coles Express Warrenheip,-37.564139,143.934273,,,2,Warrenheip ,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
296033,Evie Warrigul,-38.16759449972774,145.95340965722312,,,2,Warragul,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
271065,Evie Alexandra,-37.19177622193456,145.71117802098246,,,2,Alexandra,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
272541,Dindi Naturals,-37.10296645372912,145.61620856939197,,,1,Yarck,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
307759,Ampol Foodary,-38.24620744489461,143.98330610676584,,,2,Winchelsea,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
272640,Birkdale Fair,-27.4915472,153.2179852,,,4,Birkdale,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112,-1
169684,Orion Springfield Shopping Centre,-27.67692434640936,152.90360010448887,,,2,Springfield,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
193390,Springfield QESH,-27.68211786380263,152.8997425219154,,,3,Springfield Central,0,3,0.5,0.5,0.5,0.5,0.0,0.6000000000000001,0.0,0.0,0.0,0.16666666666666663,0.1277777777777778,-1
272672,Victoria Point,-27.5867871,153.283693717,,,4,Victoria Point,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112,-1
