Timestamp,Station_Name,Longitude,Latitude,Address,Distance_km,ETA_min,Suburb_Location_Lat,Suburb_Location_Lon
2025-04-18T16:17:59.735744,ChargeFox,144.962027,-37.771481,"1 David Street, Melbourne, VIC, 3056",0.71,4.15,-37.7664715,144.9613103
2025-04-18T16:18:01.730159,ChargeFox,145.044897,-37.719093,"Kingsbury Drive, Melbourne, VIC, 3083",2.49,5.67,-37.7200123,145.0271063
2025-04-18T16:18:04.413662,ChargeFox,145.044897,-37.719093,"Kingsbury Drive, Melbourne, VIC, 3083",0.58,3.53,-37.720574,145.047976
2025-04-18T16:18:05.644989,Evie,144.572248,-37.722813,"201 Exford Road, Weir Views, VIC, 3338",9.87,13.65,-37.7821653,144.5503709
2025-04-18T16:18:08.234098,ChargeFox,144.969698,-37.740691,"90 Bell Street, Melbourne, VIC, 3058",0.98,4.23,-37.7449752,144.9643314
2025-04-18T16:18:10.682326,ChargeFox,145.165797,-37.673698,"129-163 Main Hurstbridge Road, Melbourne, VIC, 3089",1.22,2.85,-37.6733272,145.1588075
2025-04-18T16:18:12.746304,ChargeFox,144.885528,-37.713652,"29-35 Louis Street, Airport West, VIC, 3042",2.79,6.58,-37.7000743,144.8908894
2025-04-18T16:18:15.013231,AmpCharge,145.073586,-37.659606,"377 Plenty Road, Melbourne, VIC, 3082",5.51,9.37,-37.6403391,145.084278
2025-04-18T16:18:16.954607,ChargeFox,145.1645,-37.87535,"227-235 Springvale Road, Glen Waverley, VIC, 3150",0.92,4.47,-37.8795908,145.1622405
2025-04-18T16:18:18.672055,AmpCharge,145.18242,-37.99514,"248 Cheltenham Road, Melbourne, VIC, 3173",2.59,5.98,-38.0053607,145.1674069
2025-04-18T16:18:20.969915,ChargeFox,144.662341,-37.901958,"22 Synnot Street, Melbourne, VIC, 3030",4.17,7.3,-37.8958126,144.6304628
2025-04-18T16:18:22.932732,bp pulse,144.993801,-37.647825,"1 Scanlon Drive, Melbourne, VIC, 3076",3.55,7.37,-37.6523847,145.0315487
2025-04-18T16:18:25.111173,Evie,145.003594,-37.906279,"47 Willansby Avenue, Melbourne, VIC, 3186",1.04,3.4,-37.9081962,144.9957991
2025-04-18T16:18:28.808511,ChargeFox,145.135069,-38.151687,"47-49 Moorooduc Hwy, Melbourne, VIC, 3199",5.88,9.2,-38.1353489,145.1666795
2025-04-18T16:18:30.993413,Exploren,145.469606,-37.660015,"313 Healesville Yarra Glen Road, Healesville, VIC, 3777",2.45,3.8,-37.6635261,145.4817549
2025-04-18T16:18:33.243738,Evie,144.922268,-37.676814,"1177-1183 Pascoe Vale Road, Melbourne, VIC, 3047",4.04,6.92,-37.6601922,144.9408062
2025-04-18T16:18:35.174217,ChargeFox,144.81576,-37.760585,"145 Furlong Road, Melbourne, VIC, 3021",1.39,2.88,-37.7639651,144.8287004
2025-04-18T16:18:47.064239,bp pulse,144.739608,-37.756332,"Western Highway, Caroline Springs Boulevard, Melbourne, VIC, 3023",3.4,6.37,-37.7326399,144.733868
2025-04-18T16:18:48.295634,Evie,144.572248,-37.722813,"201 Exford Road, Weir Views, VIC, 3338",10.73,12.9,-37.7852115,144.5605697
2025-04-18T16:18:49.897856,Evie,144.572248,-37.722813,"201 Exford Road, Weir Views, VIC, 3338",10.61,12.72,-37.787905,144.5592084
2025-04-18T16:18:51.652027,ChargeFox,144.959594,-37.815888,"501 Bourke Street, Melbourne, VIC, 3000",0.4,2.17,-37.8142454,144.9631732
2025-04-18T16:18:52.873835,Evie,144.572248,-37.722813,"201 Exford Road, Weir Views, VIC, 3338",11.17,16.4,-37.7853138,144.5406661
2025-04-18T16:18:58.015993,Evie,145.213897,-37.831918,"401 Canterbury Road, Melbourne, VIC, 3134",1.11,4.05,-37.8379885,145.2121845
2025-04-18T16:19:01.682777,ChargeFox,144.827103,-37.832834,"494 Grieve Parade, Melbourne, VIC, 3025",3.59,6.85,-37.8119107,144.8154073
2025-04-18T16:19:03.371215,ChargeFox,145.342013,-38.093164,"Matterhorn Dr, Melbourne, VIC, 3978",2.77,4.05,-38.1028681,145.3302814
2025-04-18T16:19:05.790203,AmpCharge,145.23639,-37.90804,"940 Stud Road, Melbourne, VIC, 3178",2.63,4.22,-37.9239267,145.2447672
