_id,cost,charging_points,pay_at_location,membership_required,access_key_required,is_operational,latitude,longitude,operator,connection_type,current_type,charging_points_flag,location.type,location.coordinates[0],location.coordinates[1]
674f97ff3dc8e5d2ac008491,Unknown,1,Unknown,Unknown,Unknown,Unknown,-34.2817965,150.6399463,AmpCharge,Unknown,Unknown,1,Point,150.6399463,-34.2817965
674f98013dc8e5d2ac008753,DC - $0.60 per kWh (at all times) AC - $0.35 per kWh (at all times),2,false,true,true,true,-34.2410079,116.1473017,Chargefox,CCS (Type 2),DC,0,Point,116.1473017,-34.2410079
674f98013dc8e5d2ac0087ea,Hourly rate,1,false,false,false,true,-34.22327307,118.21595,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),AC (Three-Phase),0,Point,118.21595,-34.22327307
674f97ff3dc8e5d2ac0084f5,Unknown,4,Unknown,Unknown,Unknown,Unknown,-34.2098649,142.1405924,Tesla Supercharger,Unknown,Unknown,0,Point,142.1405924,-34.2098649
674f98013dc8e5d2ac0087d9,Unknown,1,Unknown,Unknown,Unknown,true,-34.188998,142.162212,NRMA,CCS (Type 2),DC,0,Point,142.162212,-34.188998
674f97ff3dc8e5d2ac008380,Unknown,1,Unknown,Unknown,Unknown,Unknown,-34.18882,142.162711,NRMA,CHAdeMO,Unknown,1,Point,142.162711,-34.18882
674f97ff3dc8e5d2ac0084ba,Unknown,1,Unknown,Unknown,Unknown,Unknown,-34.1860685,138.1462203,Chargefox,Unknown,Unknown,1,Point,138.1462203,-34.1860685
674f97ff3dc8e5d2ac0085a9,"Evening peak 32c kWh (5:00pm to 10:00pm), Standard 25c kWh (all other times)",3,false,true,true,true,-34.1860518,139.9966128,Chargefox,Type 2 (Socket Only),AC (Single-Phase),0,Point,139.9966128,-34.1860518
674f97ff3dc8e5d2ac0086a5,50c per kWh energy consumed.,1,false,true,true,true,-34.18356799,142.1585658,Evie,CCS (Type 2),DC,0,Point,142.1585658,-34.18356799
674f97ff3dc8e5d2ac0085a8,"DC is Evening peak 68c kWh (5:00pm to 10:00pm), Standard 59c kWh (all other times), AC is Evening peak 32c kWh (5:00pm to 10:00pm), Standard 25c kWh (all other times)",7,false,true,true,true,-34.18231041,139.9863102,Chargefox,CCS (Type 2),DC,0,Point,139.9863102,-34.18231041
674f97ff3dc8e5d2ac0084c1,Unknown,1,Unknown,Unknown,Unknown,Unknown,-34.1817125,139.9870005,Chargefox,Unknown,Unknown,1,Point,139.9870005,-34.1817125
674f98013dc8e5d2ac0088d5,Currently free but will be fee at some point,1,Unknown,Unknown,Unknown,true,-34.16820563,150.6109305,NRMA,CCS (Type 2),DC,0,Point,150.6109305,-34.16820563
674f97ff3dc8e5d2ac0084d1,Unknown,1,Unknown,Unknown,Unknown,Unknown,-34.0720222,150.8051711,Evie Networks,CHAdeMO,Unknown,1,Point,150.8051711,-34.0720222
