make,model,variant,year,l_per_100km,fetch_source,fetch_query,gvg_search_hint,gvg_search_url,last_generated
BMW,X1,iX1 xDrive30,,,dynamic,BMW X1 iX1 xDrive30,"Search GVG for ""BMW X1 iX1 xDrive30""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=BMW+X1+iX1+xDrive30,2025-08-20T06:03:50Z
MG,MG4,51kWh EV RWD ,,,dynamic,MG MG4 51kWh EV RWD,"Search GVG for ""MG MG4 51kWh EV RWD""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=MG+MG4+51kWh+EV+RWD,2025-08-20T06:03:50Z
Volvo,C40,Recharge Twin,,,dynamic,Volvo C40 Recharge Twin,"Search GVG for ""Volvo C40 Recharge Twin""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Volvo+C40+Recharge+Twin,2025-08-20T06:03:50Z
Ford,Mach-E,Premium 4P AWD,,,dynamic,Ford Mach-E Premium 4P AWD,"Search GVG for ""Ford Mach-E Premium 4P AWD""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Ford+Mach-E+Premium+4P+AWD,2025-08-20T06:03:50Z
Mercedes-Benz,EQE SUV,EQE 300 SUV ,,,dynamic,Mercedes-Benz EQE SUV EQE 300 SUV,"Search GVG for ""Mercedes-Benz EQE SUV EQE 300 SUV""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Mercedes-Benz+EQE+SUV+EQE+300+SUV,2025-08-20T06:03:50Z
Mercedes-Benz,EQE SUV,EQE 350 4MATIC SUV ,,,dynamic,Mercedes-Benz EQE SUV EQE 350 4MATIC SUV,"Search GVG for ""Mercedes-Benz EQE SUV EQE 350 4MATIC SUV""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Mercedes-Benz+EQE+SUV+EQE+350+4MATIC+SUV,2025-08-20T06:03:50Z
Volvo,XC40,Recharge Twin,,,dynamic,Volvo XC40 Recharge Twin,"Search GVG for ""Volvo XC40 Recharge Twin""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Volvo+XC40+Recharge+Twin,2025-08-20T06:03:50Z
Kia,EV9,Air RWD,,,dynamic,Kia EV9 Air RWD,"Search GVG for ""Kia EV9 Air RWD""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Kia+EV9+Air+RWD,2025-08-20T06:03:50Z
Mercedes-Benz,EQE SUV,EQE 500 4MATIC SUV,,,dynamic,Mercedes-Benz EQE SUV EQE 500 4MATIC SUV,"Search GVG for ""Mercedes-Benz EQE SUV EQE 500 4MATIC SUV""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Mercedes-Benz+EQE+SUV+EQE+500+4MATIC+SUV,2025-08-20T06:03:50Z
Ford,Mach-E,Premium LFP AWD,,,dynamic,Ford Mach-E Premium LFP AWD,"Search GVG for ""Ford Mach-E Premium LFP AWD""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Ford+Mach-E+Premium+LFP+AWD,2025-08-20T06:03:50Z
BMW,7 Series,i7 M70 xDrive,,,dynamic,BMW 7 Series i7 M70 xDrive,"Search GVG for ""BMW 7 Series i7 M70 xDrive""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=BMW+7+Series+i7+M70+xDrive,2025-08-20T06:03:50Z
Mercedes-Benz,EQS SUV,EQS 450 4MATIC SUV,,,dynamic,Mercedes-Benz EQS SUV EQS 450 4MATIC SUV,"Search GVG for ""Mercedes-Benz EQS SUV EQS 450 4MATIC SUV""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Mercedes-Benz+EQS+SUV+EQS+450+4MATIC+SUV,2025-08-20T06:03:50Z
Rolls-Royce,Spectre,Coupe,,,dynamic,Rolls-Royce Spectre Coupe,"Search GVG for ""Rolls-Royce Spectre Coupe""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Rolls-Royce+Spectre+Coupe,2025-08-20T06:03:50Z
Kia,EV6,GT,,,dynamic,Kia EV6 GT,"Search GVG for ""Kia EV6 GT""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Kia+EV6+GT,2025-08-20T06:03:50Z
Rolls-Royce,Spectre Black Badge,Coupe,,,dynamic,Rolls-Royce Spectre Black Badge Coupe,"Search GVG for ""Rolls-Royce Spectre Black Badge Coupe""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Rolls-Royce+Spectre+Black+Badge+Coupe,2025-08-20T06:03:50Z
Ford,Mach-E,GT 4P AWD,,,dynamic,Ford Mach-E GT 4P AWD,"Search GVG for ""Ford Mach-E GT 4P AWD""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Ford+Mach-E+GT+4P+AWD,2025-08-20T06:03:50Z
Mercedes-Benz,EQE,53 AMG 4MATIC+,,,dynamic,Mercedes-Benz EQE 53 AMG 4MATIC+,"Search GVG for ""Mercedes-Benz EQE 53 AMG 4MATIC+""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Mercedes-Benz+EQE+53+AMG+4MATIC+,2025-08-20T06:03:50Z
Mercedes-Benz,EQE Class,EQE53 AMG 4MATIC+,,,dynamic,Mercedes-Benz EQE Class EQE53 AMG 4MATIC+,"Search GVG for ""Mercedes-Benz EQE Class EQE53 AMG 4MATIC+""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Mercedes-Benz+EQE+Class+EQE53+AMG+4MATIC+,2025-08-20T06:03:50Z
Peugeot,Partner ,ePARTNER PRO LONG,,,dynamic,Peugeot Partner  ePARTNER PRO LONG,"Search GVG for ""Peugeot Partner  ePARTNER PRO LONG""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Peugeot+Partner++ePARTNER+PRO+LONG,2025-08-20T06:03:50Z
Mercedes-Benz,EQE SUV,AMG EQE 53 4MATIC+ SUV,,,dynamic,Mercedes-Benz EQE SUV AMG EQE 53 4MATIC+ SUV,"Search GVG for ""Mercedes-Benz EQE SUV AMG EQE 53 4MATIC+ SUV""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Mercedes-Benz+EQE+SUV+AMG+EQE+53+4MATIC++SUV,2025-08-20T06:03:50Z
Kia,EV9,"Earth AWD 19"",0""",,,dynamic,"Kia EV9 Earth AWD 19"",0""","Search GVG for ""Kia EV9 Earth AWD 19"",0""""","https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Kia+EV9+Earth+AWD+19"",0""",2025-08-20T06:03:50Z
Mercedes-Benz,EQS,500 4MATIC,,,dynamic,Mercedes-Benz EQS 500 4MATIC,"Search GVG for ""Mercedes-Benz EQS 500 4MATIC""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Mercedes-Benz+EQS+500+4MATIC,2025-08-20T06:03:50Z
Kia,EV9,GT-Line AWD,,,dynamic,Kia EV9 GT-Line AWD,"Search GVG for ""Kia EV9 GT-Line AWD""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Kia+EV9+GT-Line+AWD,2025-08-20T06:03:50Z
Kia,EV9,"Earth AWD 20"",0""",,,dynamic,"Kia EV9 Earth AWD 20"",0""","Search GVG for ""Kia EV9 Earth AWD 20"",0""""","https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Kia+EV9+Earth+AWD+20"",0""",2025-08-20T06:03:50Z
Audi,Q8,Q8 e-tron quattro,,,dynamic,Audi Q8 Q8 e-tron quattro,"Search GVG for ""Audi Q8 Q8 e-tron quattro""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Audi+Q8+Q8+e-tron+quattro,2025-08-20T06:03:50Z
Audi,Q8,Q8 e-tron quattro Sportback,,,dynamic,Audi Q8 Q8 e-tron quattro Sportback,"Search GVG for ""Audi Q8 Q8 e-tron quattro Sportback""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Audi+Q8+Q8+e-tron+quattro+Sportback,2025-08-20T06:03:50Z
