Charger_Name,Address,Suburb,State,Postal_Code,Power_kW,Usage_Cost,Number_of_Points,Connection_Types,latitude,longitude
Albury Waste Management Centre,565 Mudge St,Hamilton Valley,New South Wales,2641,,,1.0,"2, 33",,
Wuality Resort Siesta,422 Wagga Road,Lavington,New South Wales,2641,,,4.0,"25, 25, 25, 25",-37.603329,144.9253134
Evie Lakes Entrance,2 Marine Pde,Lakes Entrance,VIC,3909,,,1.0,"33, 2",,
Lakes Entrance RSL,221 The Esplanade,Lakes Entrance,Victoria,3909,22.0,,1.0,25,,
RACV - Horsham,126 Baillie St,Horsham,Victoria,3400,,,4.0,"33, 33, 2, 2",-38.102184,145.2949057
Horsham Supercharger,126 Wilson St,Horsham,,3400,250.0,,3.0,33,-38.102184,145.2949057
NRMA Jerilderie,Powell Street,Jerilderie,New South Wales,2716,,,1.0,"33, 2",-38.0097571,145.326648
Evie Warracknabeal,18 - 20 Woolcock Street,Warracknabeal,VIC,3393,,,1.0,"33, 2",-37.7853138,144.5406661
Evie Portland,Henty Street,Portland,VIC,nan,,,2.0,"33, 2",-37.9359053,145.2051222
Lochiel Street,Lochiel Street,Dimboola,Victoria,3414,22.0,,1.0,25,-37.6804576,144.9123982
CTR Swan Hill CV002,135 Curlewis Street,Swan Hill,Victoria,3585,,,2.0,"33, 2",,
Orbost Chargefox,Wolseley Street,Orbost,Victoria,nan,,,1.0,"33, 2",-37.8379885,145.2121845
Tesla Supercharger Holbrook,Swift Street,Holbrook,New South Wales,2644,250.0,,1.0,33,-37.7702694,144.9361781
Holbrook [NRMA],Submarine Park,Holbrook,NSW,nan,,,1.0,"33, 2",-37.7702694,144.9361781
CTR Sea Lake,111 Best Street,Sea Lake,Victoria,3533,,,2.0,"2, 33",,
Evie Dartmoor,73 Greenham St,Dartmoor,VIC,3304,,,1.0,"33, 2",-37.705345,144.6794568
Anzac Ave Parking,12 Anzac Ave,Edenhope,VIC ,3318,,,1.0,"33, 2",-37.8054372,145.3280915
Nelson St Parking/Charging,111 Nelson St,Nhill,Victoria,3418,22.0,,2.0,25,-37.6730847,144.9282577
Snowy River Ave Car Park,3 Snowy River Ave,Jindabyne,NSW,2627,,,2.0,"33, 2",-37.6403391,145.084278
