Suburb,Population,suburb_key,Dwellings,Income,Vehicles_per_Dwelling,Station_Count,Public_Chargers,Total_Points,latitude,longitude,Charger_to_Pop_Ratio,Stations_to_Pop_Ratio
Coburg (West),14835,coburg west,5711.0,2186.0,1.5,0,0,0.0,,,0.0,0.0
Collingwood,11145,collingwood,5648.0,2130.0,0.9,0,0,0.0,,,0.0,0.0
Craigieburn (Central),8207,craigieburn central,2886.0,1523.0,2.0,0,0,0.0,,,0.0,0.0
Craigieburn (North),12882,craigieburn north,3831.0,1958.0,2.1,0,0,0.0,,,0.0,0.0
Craigieburn (North West),11198,craigieburn north west,2981.0,1876.0,1.8,0,0,0.0,,,0.0,0.0
Craigieburn (South),24086,craigieburn south,6697.0,1835.0,2.1,0,0,0.0,,,0.0,0.0
Craigieburn (West),14760,craigieburn west,4251.0,1752.0,1.8,0,0,0.0,,,0.0,0.0
Cranbourne,22544,cranbourne,42108.0,1920.0,2.0,1,1,1.0,-38.0997308,145.2807256,4.435770049680625e-05,4.435770049680625e-05
Cranbourne East (North),25149,cranbourne east north,7364.0,1931.0,2.0,0,0,0.0,,,0.0,0.0
Cranbourne East (South),15112,cranbourne east south,4111.0,1958.0,1.9,0,0,0.0,,,0.0,0.0
Cranbourne North (East),13678,cranbourne north east,3749.0,2184.0,2.1,0,0,0.0,,,0.0,0.0
Cranbourne North (West),12329,cranbourne north west,4078.0,1686.0,2.1,0,0,0.0,,,0.0,0.0
Cranbourne South,24578,cranbourne south,5947.0,2228.0,2.3,0,0,0.0,,,0.0,0.0
Cranbourne West,24902,cranbourne west,7069.0,1903.0,2.0,1,1,1.0,-38.102241,145.2517182,4.015741707493374e-05,4.015741707493374e-05
Croydon (East),17181,croydon east,7192.0,1566.0,1.7,0,0,0.0,,,0.0,0.0
Croydon Hills - Warranwood,18391,croydon hills warranwood,6451.0,2377.0,2.2,0,0,0.0,,,0.0,0.0
Croydon South,5140,croydon south,1937.0,1888.0,2.0,0,0,0.0,,,0.0,0.0
Croydon (West),14828,croydon west,5970.0,1695.0,1.8,0,0,0.0,,,0.0,0.0
Dandenong North,23300,dandenong north,8333.0,1436.0,1.9,1,1,2.0,-37.9558319,145.2143234,4.291845493562232e-05,4.291845493562232e-05
Dandenong North,23300,dandenong north,8921.0,1208.0,1.5,1,1,2.0,-37.9558319,145.2143234,4.291845493562232e-05,4.291845493562232e-05
Dandenong (North),23067,dandenong north,8333.0,1436.0,1.9,1,1,2.0,-37.9558319,145.2143234,4.3351974682446785e-05,4.3351974682446785e-05
Dandenong (North),23067,dandenong north,8921.0,1208.0,1.5,1,1,2.0,-37.9558319,145.2143234,4.3351974682446785e-05,4.3351974682446785e-05
Dandenong (South),10032,dandenong south,3331.0,1288.0,1.7,0,0,0.0,,,0.0,0.0
Deer Park,18447,deer park,6590.0,1459.0,1.8,1,1,1.0,-37.7686602,144.7713077,5.420935653493793e-05,5.420935653493793e-05
Delahey,8008,delahey,2921.0,1486.0,2.0,0,0,0.0,,,0.0,0.0
Derrimut,8913,derrimut,2477.0,2271.0,2.2,1,1,1.0,-37.7987978,144.776051,0.00011219566924716706,0.00011219566924716706
Diggers Rest,6967,diggers rest,2023.0,2016.0,1.9,0,0,0.0,,,0.0,0.0
Dingley Village,10754,dingley village,4009.0,1981.0,2.1,0,0,0.0,,,0.0,0.0
Docklands,18567,docklands,10826.0,1956.0,0.8,0,0,0.0,,,0.0,0.0
Doncaster,27904,doncaster,11685.0,1595.0,1.6,0,0,0.0,,,0.0,0.0
Doncaster East (North),16352,doncaster east north,5974.0,1934.0,2.0,0,0,0.0,,,0.0,0.0
Doncaster East (South),16710,doncaster east south,6366.0,1656.0,1.7,0,0,0.0,,,0.0,0.0
Donvale - Park Orchards,16778,donvale park orchards,5912.0,2284.0,2.2,0,0,0.0,,,0.0,0.0
Doreen (North),17231,doreen north,5474.0,2173.0,2.1,0,0,0.0,,,0.0,0.0
Doreen (South),11810,doreen south,3687.0,2120.0,2.0,0,0,0.0,,,0.0,0.0
Doveton,12792,doveton,4657.0,1262.0,1.7,0,0,0.0,,,0.0,0.0
Dromana,13785,dromana,8900.0,1398.0,1.9,0,0,0.0,,,0.0,0.0
East Melbourne,5222,east melbourne,3458.0,2345.0,1.2,0,0,0.0,,,0.0,0.0
Edithvale - Aspendale,14151,edithvale aspendale,5582.0,2223.0,1.8,0,0,0.0,,,0.0,0.0
Elsternwick,12765,elsternwick,5784.0,2171.0,1.5,0,0,0.0,,,0.0,0.0
Eltham,23554,eltham,22611.0,2302.0,2.1,1,1,4.0,-37.713736,145.147673,4.245563386261357e-05,4.245563386261357e-05
Elwood,15961,elwood,8881.0,2093.0,1.3,0,0,0.0,,,0.0,0.0
Emerald - Cockatoo,18958,emerald cockatoo,6751.0,2176.0,2.5,0,0,0.0,,,0.0,0.0
Endeavour Hills (North),12150,endeavour hills north,4219.0,1823.0,2.2,0,0,0.0,,,0.0,0.0
Endeavour Hills (South),13594,endeavour hills south,4747.0,1733.0,2.1,0,0,0.0,,,0.0,0.0
Epping (East),13492,epping east,4687.0,1675.0,2.0,0,0,0.0,,,0.0,0.0
Epping (South),8413,epping south,3172.0,1443.0,1.7,0,0,0.0,,,0.0,0.0
Epping (West),12905,epping west,16160.0,1867.0,1.3,0,0,0.0,,,0.0,0.0
Essendon Airport,14,essendon airport,6041.0,1934.5,1.8,0,0,0.0,,,0.0,0.0
Essendon (East),12946,essendon east,6272.0,2055.0,1.5,0,0,0.0,,,0.0,0.0
Essendon (West) - Aberfeldie,17156,essendon west aberfeldie,16160.0,1867.0,1.3,0,0,0.0,,,0.0,0.0
Fawkner,14960,fawkner,5297.0,1436.0,1.6,1,1,1.0,-37.7146535,144.9605402,6.684491978609626e-05,6.684491978609626e-05
Ferntree Gully (North),14530,ferntree gully north,6011.0,1606.0,1.8,0,0,0.0,,,0.0,0.0
Ferntree Gully (South) - Upper Ferntree Gully,15600,ferntree gully south upper ferntree gully,16160.0,1867.0,1.3,0,0,0.0,,,0.0,0.0
Fitzroy,11984,fitzroy,552.0,1528.0,1.0,0,0,0.0,,,0.0,0.0
