suburb_key,latitude,longitude
heathcote,-37.7326399,144.733868
heidelberg,-37.7524788,145.0701284
hepburn springs,-37.7481414,144.739508
heyfield,-37.8237397,144.7132186
highton,-37.8163364,145.0687942
holbrook,-37.7702694,144.9361781
horsham,-38.102184,145.2949057
inglewood,-37.7924237,144.5498933
jerilderie,-38.0097571,145.326648
jindabyne,-37.6403391,145.084278
keilor downs,-37.7205762,144.8047614
kerang,-37.7200123,145.0271063
keysborough,-38.0053607,145.1674069
kilmore,-37.6750485,144.9242188
kilsyth south,-37.8315054,145.3110008
kyneton,-37.718862,145.0231115
lavington,-37.603329,144.9253134
leongatha,-38.1199326,145.3182716
lilydale,-37.7571582,145.3458656
lorne,-37.6734151,145.0272333
lynbrook,-38.0558639,145.2561128
macedon,-37.7726251,145.1131159
maffra,-37.6601922,144.9408062
malvern,-37.8576088,145.0350666
malvern east,-37.876835,145.0658739
marong,-37.793821,144.5506713
maryborough,-37.850401,144.5882783
melbourne,-37.8142454,144.9631732
meredith,-37.7657176,145.1589446
mickleham,-37.5344793,144.9120372
moe,-37.6132253,145.0980154
moonee ponds,-37.765935,144.9192614
moordialloc,-38.0102322,145.0929673
mooroopna,-37.7852115,144.5605697
mornington,-38.227699,145.0609375
nan,-37.8688729,145.2126338
newbridge,-37.9715559,145.124582
nhill,-37.6730847,144.9282577
oak park,-37.7180181,144.9215041
oakleigh south,-37.9248257,145.0921745
ocean grove,-38.170954,145.0972517
omeo,-37.8800365,144.6170498
orbost,-37.8379885,145.2121845
ovens,-37.8119107,144.8154073
point cook,-37.9064862,144.7533059
porepunkah,-37.5979507,145.0753657
port melbourne,-37.8333613,144.9219203
portland,-37.9359053,145.2051222
queenscliff,-38.3363033,144.7453366
richmond,-37.80745,144.9907213
ringwood,-37.8158726,145.2291113
rowville,-37.9239267,145.2447672
roxburgh park,-37.6381563,144.9353302
rye,-38.3821684,144.8099264
sale,-37.87076,145.65249
sandown,-37.9503548,145.1665966
sandringham,-37.9502592,145.0043868
sebastopol,-37.8709314,145.0193037
seymour,-38.0021533,145.0974829
shepparton,-37.7884948,144.5582739
south melbourne,-37.83344,144.9570533
southbank,-37.8253618,144.9640203
st arnaud,-37.792199,144.5486025
st kilda,-37.8638261,144.981637
stawell,-38.1087492,145.2895959
sunbury,-37.5791363,144.7279832
sunshine west,-37.7983442,144.8110919
sydenham,-37.6997223,144.7653295
tarneit,-37.8321522,144.69462
tatura,-38.1379689,145.1628252
trentham,-37.7000743,144.8908894
wallan,-37.5040691,145.1090152
wangaratta,-37.787905,144.5592084
warracknabeal,-37.7853138,144.5406661
warragul,-37.6694522,144.9350241
wedderburn,-37.7917062,144.5494853
weir views,-37.7323715,144.5708942
werribee,-37.907984,144.6416748
whittlesea,-37.5121301,145.1177321
wodonga,-37.6755673,144.9898056
woodend,-37.7934621,144.5595902
wycheproof,-37.5432106,145.0085889
yarck,-37.5772947,144.7161349
yarra glen,-37.6573475,145.3743964
yarra junction,-37.7821693,145.6150255
yarram,-38.1353489,145.1666795
yarrawonga,-37.9133914,145.1301259
yea,-37.4927455,145.1572676
