suburb,latitude,longitude
Queenscliff,-38.3363033,144.7453366
Porepunkah,-37.5979507,145.0753657
Cranbourne West,-38.102241,145.2517182
Dunkeld,-37.766817,144.8245105
Yarck,-37.5772947,144.7161349
Tatura,-38.1379689,145.1628252
Portland,-37.9359053,145.2051222
Dartmoor,-37.705345,144.6794568
Brighton East,-37.9171728,145.0163663
Geelong West,-37.8054508,144.879879
Wodonga,-37.6755673,144.9898056
Curlewis,-37.8148997,145.1062282
Sandringham,-37.9502592,145.0043868
Harpley,-37.9110402,144.6113082
Berwick,-38.0398297,145.3451089
Kyneton,-37.718862,145.0231115
Eltham,-37.713736,145.147673
Edenhope,-37.8054372,145.3280915
Carrum Downs,-38.1003312,145.1788657
Abbotsford,-37.8045508,144.9988542
