Name,Status,Latitude,Longitude,Address,PowerKW,ConnectionType
Research Way - N1 Carpark,Operational,-37.90730011409977,145.13207788768955,Research Way,22.0,Type 2 (Tethered Connector) 
Ampol Derrimut,Operational,-37.80519464533884,144.75198926317552,354a Robinsons Rd,180.0,CCS (Type 2)
Jolt Black Rock,Operational,-37.97570246970103,145.01742302760965,Balcolme Road,50.0,CCS (Type 2)
BP Northpoint,Operational,-37.64768,144.99461,1 Scanlon Drive,150.0,CCS (Type 2)
Eltham Leisure Centre,Operational,-37.72302764419204,145.14217983897862,40 Brougham Street,7.0,Type 2 (Socket Only)
Engie - The Glen,Operational,-37.87707026526765,145.16444504069057,235 Springvale Rd,100.0,CCS (Type 2)
BP pulse Diamond Creek,Operational,-37.680105,145.123078,274 Diamond Creek Road,75.0,CHAdeMO
BP Pulse,Operational,-37.7557555131601,144.7410636793341,Ballarat Road,150.0,CCS (Type 2)
Shell Coles Express Taylors Lakes,Operational,-37.69674197545634,144.78205236033568,410 Melton Highway,350.0,CCS (Type 2)
Watergardens Shopping Centre,Operational,-37.69870942833684,144.77527685160192,399 Melton Highway,22.0,Type 2 (Socket Only)
Point Cook Town Centre,Operational,-37.88439995231257,144.73403564973228,Dunnings Road,7.0,Type 2 (Tethered Connector) 
Red Rooster Vermont,Operational,-37.831965,145.213612,,50.0,CCS (Type 2)
Greenvale Woolworths,Operational,-37.616202335824184,144.91476338954578,200 James Mirams Drive,22.0,Type 2 (Socket Only)
Ampcharge Sandown,Operational,-37.94161999001956,145.16671110078272,Princes Highway,180.0,CCS (Type 2)
Bunnings Tarneit,Operational,-37.83430858506595,144.69884313714417,83 Leakes Rd,22.0,Type 2 (Socket Only)
EastLand Shopping Centre,Operational,-37.81312694411209,145.22883198929685,Maroondah Highway,22.0,Type 2 (Tethered Connector) 
diamond creek community bank stadium,Operational,-37.673614374174896,145.16604356699168,Main Hurstbridge Road,22.0,Type 2 (Socket Only)
Bay Trail,Operational,-38.00841347461177,145.0848841496986,Bay Trail,50.0,CCS (Type 2)
Bembit Bagrook Community Centre,Operational,-37.82495081827982,144.6818834275545,61 Polly Parade,50.0,CCS (Type 2)
Scorseby Engie,Operational,-37.91344215822404,145.21852997218298,,100.0,CCS (Type 2)
Jolt Bayswster,Operational,-37.84108696617519,145.2666187431746,Station Street,25.0,CHAdeMO
Stud Park Shopping Centre,Operational,-37.92131128415721,145.23754907301503,cnr Fulham Road & Stud Road,50.0,CCS (Type 2)
Civic Centre,Operational,-37.897374392712145,144.67054059560462,45 Princes Highway,50.0,CCS (Type 2)
Ampcharge Werribee,Operational,-37.899759968148494,144.6650849021937,Cherry Street,180.0,CCS (Type 2)
Devon Street Car Park,Operational,-37.79675756180921,145.27982712620957,4 - 16 Devon Street,7.0,Type 2 (Socket Only)
