Charger ID,Charger Name,Address,Suburb,State,Postal Code,Power (kW),Usage Cost,Number of Points,Connection Types,latitude,longitude,Normalized Name,reliability_score
MEL052,Bayside Council,76 Royal Ave,sandringham,VIC,3191,"75, 75, 50, 50, 22, 22, 22",0.30c/kWh,1,"33, 33, 33, 2, 25, 25, 25",-37.9502592,145.0043868,bayside council,68.57142857
MEL053,Jolt Cheltenham,Bay Road,cheltenham,VIC,,"50, 50",,1,"33, 2",-37.9670081,145.0546951,jolt cheltenham,65.71428571
MEL054,Uni Hill Town Centre,19 Graduate Drive,bundoora,Victoria,3082,"50, 50, 50, 50",$0.40 / Kwh,2,"33, 2, 33, 2",-37.6982468,145.0596757,uni hill town centre,65.71428571
MEL055,Greensborough Plaza,25 Main St,greensborough,Victoria,3088,"22, 22",Free,4,"1036, 25",-37.7037383,145.1079105,greensborough plaza,62.51428571
MEL056,Watermarc Carpark (LG),Greensborough Walk,,Victoria,3088,11,0,3,25,-37.8688729,145.2126338,watermarc carpark (lg),61.25714286
MEL057,Forest Hill Chase Shopping Centre,Pacific Way,forest hill,Victoria,3131,22,Free,2,25,-37.8362738,145.1690911,forest hill chase shopping centre,62.51428571
MEL058,Brimbank Shopping Centre,28-72 Neale Road,deer park,Victoria,3023,22,Free,1,25,-37.7686602,144.7713077,brimbank shopping centre,62.51428571
MEL059,Southland Medical Centre,50 Chesterville rd,cheltenham,Victoria,3192,,,1,,-37.9670081,145.0546951,southland medical centre,60
MEL060,Research Way - N1 Carpark,Research Way,,Victoria,3800,"22, 50, 50",Free,2,"1036, 33, 2",-37.8688729,145.2126338,research way - n1 carpark,62.51428571
MEL061,Ampol Derrimut,354a Robinsons Rd,derrimut,Vic,3026,"180, 100",$0.60/kWh for pay-as-you-go charging.,1,"33, 2",-37.7987978,144.776051,ampol derrimut,80.57142857
MEL062,Jolt Black Rock,Balcolme Road,black rock,VIC,,"50, 50",,1,"33, 2",-37.9706564,145.0212822,jolt black rock,65.71428571
MEL063,BP Northpoint,1 Scanlon Drive,epping,Victoria,3076,150,,8,33,-37.6523847,145.0315487,bp northpoint,77.14285714
MEL064,Eltham Leisure Centre,40 Brougham Street,eltham,Victoria,3095,"7, 7",Free,4,"25, 25",-37.713736,145.147673,eltham leisure centre,60.8
MEL065,Engie - The Glen,235 Springvale Rd,glen waverley,Vic,3150,"100, 100",AUD 0.45 per kWh,1,"33, 2",-37.8795908,145.1622405,engie - the glen,71.42857143
MEL066,BP pulse Diamond Creek,274 Diamond Creek Road,diamond creek,Victoria,3090,"75, 75",55c/kWh,2,"2, 33",-37.6733272,145.1588075,bp pulse diamond creek,68.57142857
MEL067,BP pulse Diamond Creek,274 Diamond Creek Road,diamond creek,Victoria,3090,"75, 75",55c/kWh,2,"2, 33",-37.6733272,145.1588075,bp pulse diamond creek,68.57142857
MEL068,BP Pulse,Ballarat Road,caroline springs,VIC,,150,,8,33,-37.7340623,144.7370017,bp pulse,77.14285714
MEL069,Shell Coles Express Taylors Lakes,410 Melton Highway,taylor lakes,Victoria,3038,"350, 350",$AU 0.60/kWh,2,"33, 2",,,shell coles express taylors lakes,100
MEL070,Watergardens Shopping Centre,399 Melton Highway,sydenham,Victoria,3037,22,,3,25,-37.6997223,144.7653295,watergardens shopping centre,62.51428571
MEL071,Point Cook Town Centre,Dunnings Road,point cook,Victoria,3030,7,Free,1,1036,-37.9064862,144.7533059,point cook town centre,60.8
MEL072,Red Rooster Vermont,,ringwood,Victoria,3134,"50, 50, 50, 50",Payment Required $0.40 per kWh parking overstay charges may apply.,4,"33, 2, 33, 2",-37.8158726,145.2291113,red rooster vermont,65.71428571
MEL073,Greenvale Woolworths,200 James Mirams Drive,roxburgh park,Victoria,3064,22,,2,25,-37.6381563,144.9353302,greenvale woolworths,62.51428571
MEL074,Ampcharge Sandown,Princes Highway,sandown,VIC,,180,,2,33,-37.9503548,145.1665966,ampcharge sandown,80.57142857
MEL075,Bunnings Tarneit,83 Leakes Rd,tarneit,,3029,22,Free,2,25,-37.8321522,144.69462,bunnings tarneit,62.51428571
MEL076,EastLand Shopping Centre,Maroondah Highway,melbourne,Victoria,3134,22,,4,1036,-37.8142454,144.9631732,eastland shopping centre,62.51428571
MEL077,diamond creek community bank stadium,Main Hurstbridge Road,diamond creek,Victoria,3089,22,currently free,1,25,-37.6733272,145.1588075,diamond creek community bank stadium,62.51428571
MEL078,diamond creek community bank stadium,Main Hurstbridge Road,diamond creek,Victoria,3089,22,currently free,1,25,-37.6733272,145.1588075,diamond creek community bank stadium,62.51428571
MEL079,Bay Trail,Bay Trail,moordialloc,Victoria,3195,"50, 50",,1,"33, 2",-38.0102322,145.0929673,bay trail,65.71428571
MEL080,Bembit Bagrook Community Centre,61 Polly Parade,tarneit,Victoria,3029,"50, 50",Free,1,"33, 2",-37.8321522,144.69462,bembit bagrook community centre,65.71428571
MEL081,Scorseby Engie,,,Victoria,3179,"100, 100",AUD 0.55 per kWh,2,"33, 2",-37.8688729,145.2126338,scorseby engie,71.42857143
MEL082,Jolt Bayswster,Station Street,,Victoria,3153,"25, 25","First 7kWh free, then $0.40 per kWh thereafter. $5/hr idle time",1,"2, 33",-37.8688729,145.2126338,jolt bayswster,62.85714286
MEL083,Stud Park Shopping Centre,cnr Fulham Road & Stud Road,rowville,Victoria,3178,"50, 50, 50, 50",$0.40 per kWh. Parking overstay charges may apply,2,"33, 2, 33, 2",-37.9239267,145.2447672,stud park shopping centre,65.71428571
MEL084,Civic Centre,45 Princes Highway,werribee,Victoria,3030,"50, 50, 50",Free,4,"33, 33, 2",-37.907984,144.6416748,civic centre,65.71428571
MEL085,Ampcharge Werribee,Cherry Street,werribee,VIC,,180,,1,33,-37.907984,144.6416748,ampcharge werribee,80.57142857
MEL086,Devon Street Car Park,4 - 16 Devon Street,croydon,Victoria,3136,"7, 7",Free,4,"25, 25",-37.7955004,145.2801507,devon street car park,60.8
MEL087,Ampcharge Cheltenham,Cheltenham Road,keysborough,VIC,,180,,2,33,-38.0053607,145.1674069,ampcharge cheltenham,80.57142857
MEL088,Strata Equity – Hunter Werribee,22 Synnot Street,werribee,Victoria,3030,"22, 22, 22",Free,3,"25, 25, 25",-37.907984,144.6416748,strata equity – hunter werribee,62.51428571
