name,address,latitude,longitude,score,geometry
ChargeFox,"3 Ramsey Blvd, Inverloch, VIC, 3996",-38.634815,145.729005,1.0312796831,POINT (145.729005 -38.634815)
Tesla,"17 Potters Hill Road, San Remo, VIC, 3925",-38.522529,145.392082,1.031083703,POINT (145.392082 -38.522529)
Exploren,"27 Chickerell Street, Morwell, VIC, 3840",-38.231907,146.435179,1.0304558277,POINT (146.435179 -38.231907)
Evie,"34 King Street, Hastings, VIC, 3915",-38.308363,145.191942,1.0299907923,POINT (145.191942 -38.308363)
Tesla,"3 Balfour Place, Churchill, VIC, 3842",-38.3155,146.419642,1.0286456347,POINT (146.419642 -38.3155)
ChargeFox,"50 Northways Road, Churchill, VIC, 3842",-38.310754,146.424084,1.0283811092,POINT (146.424084 -38.310754)
ChargeFox,"895 Phillip Island Road, Newhaven, VIC, 3925",-38.515037,145.347945,1.0281640291,POINT (145.347945 -38.515037)
ChargeFox,"70 Cape Paterson Inverloch Road, Inverloch, VIC, 3996",-38.649023,145.685937,1.0280913115,POINT (145.685937 -38.649023)
ChargeFox,"550 Princes Highway, Melbourne, VIC, 3174",-37.95286,145.180072,1.0280205011,POINT (145.180072 -37.95286)
Tesla,"100 Churchill Road, Newhaven, VIC, 3925",-38.510633,145.335305,1.0275915861,POINT (145.335305 -38.510633)
ChargeFox,"5 Airfield Road, Traralgon, VIC, 3844",-38.217103,146.474765,1.0260454416,POINT (146.474765 -38.217103)
Exploren,"784-796 Springvale Road, Melbourne, VIC, 3195",-38.000709,145.142349,1.0259690285,POINT (145.142349 -38.000709)
AmpCharge,"754-768 Princes Highway, Melbourne, VIC, 3171",-37.941245,145.166789,1.0259716511,POINT (145.166789 -37.941245)
Tesla,"466 Cheltenham Road, Melbourne, VIC, 3173",-37.99243,145.144711,1.0259203911,POINT (145.144711 -37.99243)
Tesla,"109-115 Grey Street, Traralgon, VIC, 3844",-38.192741,146.526831,1.0559853315,POINT (146.526831 -38.192741)
Evie,"49 Breed Street, Traralgon, VIC, 3844",-38.195586,146.532908,1.0542477369,POINT (146.532908 -38.195586)
Tesla,"192 Franklin Street, Traralgon, VIC, 3844",-38.193233,146.538677,1.0538277626,POINT (146.538677 -38.193233)
ChargeFox,"28 Grey Street, Traralgon, VIC, 3844",-38.194489,146.539331,1.0534204245,POINT (146.539331 -38.194489)
ChargeFox,"2 Marshalls Road, Traralgon, VIC, 3844",-38.17943,146.561382,1.0530254841,POINT (146.561382 -38.17943)
Evie,"9-11 Princes St, Traralgon, VIC, 3844",-38.196922,146.541709,1.0524536371,POINT (146.541709 -38.196922)
EVUp,"73 Argyle Street, Traralgon, VIC, 3844",-38.193466,146.547529,1.0522727966,POINT (146.547529 -38.193466)
Evie,"70 Foster Street, Sale, VIC, 3850",-38.112146,147.063524,1.0238813162,POINT (147.063524 -38.112146)
Tesla,"90 Macalister Street, Sale, VIC, 3850",-38.109794,147.067922,1.0238587856,POINT (147.067922 -38.109794)
ChargeFox,"14 Station Road, Foster, VIC, 3960",-38.653448,146.20079,1.0472238064,POINT (146.20079 -38.653448)
