"ModelReleaseYear","Make","ModelReleaseVersion","Model","Variant","EngineDisplacement","EngineConfiguration","EngineInduction","FwdGearsNo","TransmissionTypeDescription","SideDoorNo","SeatingCapacity","BodyStyle","DrivingWheelsNo","FuelType","CO2EmissionsCombined","CO2EmissionsUrban","CO2EmissionsExtraUrban","FuelConsumptionCombined","FuelConsumptionUrban","FuelConsumptionExtraUrban","EnergyConsumptionWhkm","ElectricRangeKm","AirPollutionStandard","StationaryNoiseData","TestSpeed","IsCurrentModel","ModelEndYear","FuelLifeCycleCO2","AnnualTailpipeCO2","AnnualFuelCost"
"2014","Honda","","Jazz","VTiL","1.5","4cyl","Normal","1","CVT","4","5","Hatch","2","Petrol 91RON","135","167","117","5.8","7.2","5","","","Euro 5","73.00","3750","Yes","0","142","1.89","1332"
"2017","Honda","","City","VTi","1.5","4cyl","Normal","5","Manual","4","5","Sedan","2","Petrol 91RON","135","175","112","5.9","7.7","4.9","","","Euro 5","75","3750","Yes","0","144","1.89","1355"
"2019","Suzuki","","Vitara","","1.6","4cyl","Normal","5","Manual","4","5","SUV","2","Petrol 91RON","136","165","120","5.8","7.1","5.1","","","Euro 5","78","3750","Yes","0","142","1.9","1332"
"2022","Toyota","","Corolla Cross","2.0L Petrol","2","4cyl","Normal","1","CVT","4","5","Hatch","2","Petrol 91RON","136","169","116","6","7.4","5.1","","","Euro 5","81","3750","Yes","0","147","1.9","1378"
"2016","MG","","MG3","1.5 MT","1.5","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","136","173","114","5.8","7.5","4.9","","","Euro 5","78","3750","Yes","0","142","1.9","1332"
"2021","Toyota","","RAV4","GX/GXL/CRUISER","2","4cyl","Normal","1","CVT","4","5","SUV","2","Petrol 91RON","137","162","123","6","7.1","5.4","","","Euro 5","73","3750","Yes","0","147","1.92","1378"
"2013","Ford","WZ","Fiesta","Ambiente","1.5","4cyl","Normal","6","Auto","4","5","Sedan","2","Petrol 91RON","137","181","111","5.8","7.7","4.7","","","Euro 5","73.00","3750","Yes","0","142","1.92","1332"
"2013","Ford","WZ","Fiesta","Trend","1.5","4cyl","Normal","6","Auto","4","5","Sedan","2","Petrol 91RON","137","181","111","5.8","7.7","4.7","","","Euro 5","73.00","3750","Yes","0","142","1.92","1332"
"2025","Nissan","J12","Qashqai","ST, ST-L - ICE","1.3","4cyl","Turbo","1","CVT","4","5","Wagon","2","Petrol 91RON","138","169","119","6.1","7.5","5.3","","","Euro 6","74","3750","Yes","0","149","1.93","1401"
"2022","Nissan","J12","Qashqai","ICE","1.3","4cyl","Turbo","1","CVT","4","5","Wagon","2","Petrol 91RON","138","169","119","6.1","7.5","5.3","","","Euro 5","75","3750","Yes","0","149","1.93","1401"
"2020","Kia","2021","Stonic","S","1.4","4cyl","Normal","6","Manual","4","5","Wagon","2","Petrol 91RON","139","171","120","6","7.4","5.2","","","Euro 5","79","4500","Yes","0","147","1.95","1378"
"2020","Kia","2021","Stonic","Sport","1.4","4cyl","Normal","6","Manual","4","5","Wagon","2","Petrol 91RON","139","171","120","6","7.4","5.2","","","Euro 5","79","4500","Yes","0","147","1.95","1378"
"2024","MG","","MG3","1.5L CVT FWD Petrol","1.5","4cyl","Normal","8","CVT","4","5","Hatch","2","Petrol 91RON","139","183","114","6","7.8","4.9","","","Euro 5","68","2500","Yes","0","147","1.95","1378"
"2013","Ford","WZ","Fiesta","Trend","1.5","4cyl","Normal","5","Manual","4","5","Sedan","2","Petrol 91RON","139","192","108","5.8","8.1","4.5","","","Euro 5","73.00","3750","Yes","0","142","1.95","1332"
"2013","Ford","WZ","Fiesta","Ambiente","1.5","4cyl","Normal","5","Manual","4","5","Sedan","2","Petrol 91RON","139","192","108","5.8","8.1","4.5","","","Euro 5","73.00","3750","Yes","0","142","1.95","1332"
"2023","Hyundai","2024","i30","2.0 MPI","2","4cyl","Normal","1","CVT","4","5","Sedan","2","Petrol 91RON","139","194","107","6.1","8.5","4.7","","","Euro 5","83","3750","Yes","0","149","1.95","1401"
"2023","Kia","","Picanto","Sport AT","1.2","4cyl","Normal","4","Auto","4","5","Hatch","2","Petrol 91RON","140","179","118","6","7.7","5.1","","","Euro 5","74","3750","Yes","0","147","1.96","1378"
"2023","Kia","","Picanto","GT-Line AT","1.2","4cyl","Normal","4","Auto","4","5","Hatch","2","Petrol 91RON","140","179","118","6","7.7","5.1","","","Euro 5","74","3750","Yes","0","147","1.96","1378"
"2016","Honda","","Civic","VTi-L","1.5","4cyl","Turbo","1","CVT","4","5","Sedan","2","Petrol 91RON","140","190","112","6","8.1","4.8","","","Euro 5","72","3750","Yes","0","147","1.96","1378"
"2016","Honda","","Civic","RS","1.5","4cyl","Turbo","1","CVT","4","5","Sedan","2","Petrol 91RON","140","190","112","6","8.1","4.8","","","Euro 5","72","3750","Yes","0","147","1.96","1378"
"2016","Honda","","Civic","VTi-LX","1.5","4cyl","Turbo","1","CVT","4","5","Sedan","2","Petrol 91RON","140","190","112","6","8.1","4.8","","","Euro 5","72","3750","Yes","0","147","1.96","1378"
"2024","Honda","","HR-V","Vi X (Petrol)","1.5","4cyl","Normal","1","CVT","4","4","SUV","2","Petrol 91RON","142","175","123","6.2","7.7","5.4","","","Euro 5","75","3750","Yes","0","151","1.99","1424"
"2024","Honda","","HR-V","Vi X ","1.5","4cyl","Normal","1","CVT","4","4","Wagon","2","Petrol 91RON","142","175","123","6.2","7.7","5.4","","","Euro 5","75","3750","Yes","0","151","1.99","1424"
"2019","Suzuki","","Vitara","","1.6","4cyl","Normal","6","Auto","4","5","SUV","2","Petrol 91RON","142","182","119","6.2","7.9","5.2","","","Euro 5","77","3750","Yes","0","151","1.99","1424"
"2020","Kia","2021","Rio","S","1.4","4cyl","Normal","6","Auto","4","5","Hatch","2","Petrol 91RON","143","185","120","6","7.8","4.9","","","Euro 5","81","4500","Yes","0","147","2","1378"
"2020","Kia","2021","Rio","Sport","1.4","4cyl","Normal","6","Auto","4","5","Hatch","2","Petrol 91RON","143","185","120","6","7.8","4.9","","","Euro 5","81","4500","Yes","0","147","2","1378"
"2019","Mazda","","3","Sedan","2","4cyl","Normal","6","Auto","4","5","Sedan","2","Petrol 91RON","144","180","123","6.1","7.6","5.2","","","Euro 5","79","3750","Yes","0","149","2.02","1401"
"2014","Honda","","Jazz","VTi","1.5","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","144","181","123","6.2","7.8","5.3","","","Euro 5","74.00","3750","Yes","0","151","2.02","1424"
"2019","Mazda","","3","Sedan","2.5","4cyl","Normal","6","Manual","4","5","Sedan","2","Petrol 91RON","144","189","117","6.2","8.2","5","","","Euro 5","81","3750","Yes","0","151","2.02","1424"
"2015","Ford","WZ","Fiesta","ST","1.6","4cyl","Turbo","6","Manual","2","5","Sedan","2","Petrol 91RON","145","193","117","6.2","8.3","5","","","Euro 5","84.00","3750","Yes","0","151","2.03","1424"
"2015","Mazda","","CX-3","","2.0","4cyl","Normal","6","Auto","4","5","Wagon","2","Petrol 91RON","146","181","126","6.1","7.6","5.2","","","Euro 5","81.00","3750","Yes","0","149","2.04","1401"
"2019","Mazda","","3","Hatch","2","4cyl","Normal","6","Auto","4","5","Hatch","2","Petrol 91RON","146","182","125","6.2","7.8","5.3","","","Euro 5","81","3750","Yes","0","151","2.04","1424"
"2016","Ford","ZG","Escape","Ambiente, Trend, Titanium","1.5","4cyl","Turbo","6","Manual","4","5","SUV","2","Petrol 91RON","146","182","125","6.3","7.9","5.4","","","Euro 5","72","3750","Yes","0","154","2.04","1446"
"2019","Mazda","","3","Hatch","2.5","4cyl","Normal","6","Manual","4","5","Hatch","2","Petrol 91RON","146","192","119","6.3","8.3","5.1","","","Euro 5","82","3750","Yes","0","154","2.04","1446"
"2015","Ford","LZ","Focus","Trend","1.5","4cyl","Turbo","6","Auto","4","5","Hatch","2","Petrol 91RON","146","202","113","6.2","8.7","4.8","","","Euro 5","77.00","3750","Yes","0","151","2.04","1424"
"2015","Ford","LZ","Focus","Sport","1.5","4cyl","Turbo","6","Auto","4","5","Hatch","2","Petrol 91RON","146","202","113","6.2","8.7","4.8","","","Euro 5","77.00","3750","Yes","0","151","2.04","1424"
"2015","Ford","LZ","Focus","Trend","1.5","4cyl","Turbo","6","Auto","4","5","Sedan","2","Petrol 91RON","146","202","113","6.2","8.7","4.8","","","Euro 5","77.00","3750","Yes","0","151","2.04","1424"
"2017","Ford","BL","Ecosport","Ambiente","1.5","3cyl","Normal","5","Manual","4","5","SUV","2","Petrol 91RON","147","194","119","6.4","8.5","5.2","","","Euro 5","77","3750","Yes","0","156","2.06","1469"
"2025","Renault","2025","Duster","","1.3","4cyl","Turbo","7","Auto","4","5","SUV","2","Petrol 91RON","147","198","118","6.5","8.8","5.2","","","Euro 5","72","3563","Yes","0","159","2.06","1492"
"2021","Honda","","Civic","1.5L ","1.5","4cyl","Turbo","1","CVT","4","5","Hatch","2","Petrol 91RON","148","185","126","6.3","8","5.4","","","Euro 5","71","3750","Yes","0","154","2.07","1446"
"2016","Honda","","Civic","VTi","1.8","4cyl","Normal","1","CVT","4","5","Sedan","2","Petrol 91RON","148","202","117","6.4","8.7","5","","","Euro 5","75","3750","Yes","0","156","2.07","1469"
"2016","Honda","","Civic","VTi-S","1.8","4cyl","Normal","1","CVT","4","5","Sedan","2","Petrol 91RON","148","202","117","6.4","8.7","5","","","Euro 5","75","3750","Yes","0","156","2.07","1469"
"2019","Mazda","","3","Sedan","2","4cyl","Normal","6","Manual","4","5","Sedan","2","Petrol 91RON","149","190","125","6.3","8.1","5.3","","","Euro 5","79","3750","Yes","0","154","2.09","1446"
"2023","Hyundai","","Kona","2.0 MPI (18inch)","2","4cyl","Normal","1","CVT","4","5","SUV","2","Petrol 91RON","149","193","149","6.6","8.6","5.5","","","Euro 5","77","3750","Yes","0","161","2.09","1515"
"2020","Honda","","Accord","VTi-LX Petrol","1.5","4cyl","Turbo","1","CVT","4","5","Sedan","2","Petrol 91RON","149","196","121","6.5","8.6","5.3","","","Euro 5","71","3750","Yes","0","159","2.09","1492"
"2021","Mazda","","MX-30","M-Hybrid","2","4cyl","Normal","6","Auto","4","5","SUV","2","Petrol 91RON","150","178","134","6.4","7.6","5.7","","","Euro 5","75","3750","Yes","0","156","2.1","1469"
"2015","Ford","LZ","Focus","Titanium","1.5","4cyl","Turbo","6","Auto","4","5","Hatch","2","Petrol 91RON","150","208","116","6.4","8.9","4.9","","","Euro 5","77","3750","Yes","0","156","2.1","1469"
"2015","Ford","LZ","Focus","Titanium","1.5","4cyl","Turbo","6","Auto","4","5","Sedan","2","Petrol 91RON","150","208","116","6.4","8.9","4.9","","","Euro 5","77.00","3750","Yes","0","156","2.1","1469"
"2024","Hyundai","2025","Tucson","1.6 T-GDI","1.6","4cyl","Turbo","7","Auto","4","5","SUV","2","Petrol 91RON","151","182","134","6.7","8","5.9","","","Euro 5","77","3750","Yes","0","164","2.11","1538"
"2015","Mazda","","CX-3","","2.0","4cyl","Normal","6","Manual","4","5","Wagon","2","Petrol 91RON","151","190","128","6.3","7.9","5.4","","","Euro 5","81.00","3750","Yes","0","154","2.11","1446"
"2019","Mazda","","3","Hatch","2","4cyl","Normal","6","Manual","4","5","Hatch","2","Petrol 91RON","151","193","127","6.4","8.2","5.4","","","Euro 5","81","3750","Yes","0","156","2.11","1469"
"2020","Mazda","","CX-30","FWD","2","4cyl","Normal","6","Auto","4","5","SUV","2","Petrol 91RON","152","188","131","6.5","8","5.6","","","Euro 5","77","3750","Yes","0","159","2.13","1492"
"2016","Subaru","","Impreza","i","2","4cyl","Normal","1","CVT","4","5","Hatch","4","Petrol 91RON","152","192","129","6.6","8.4","5.6","","","Euro 6","78","3750","No","2025","161","2.13","1515"
"2016","Subaru","","Impreza","i-L ES","2","4cyl","Normal","1","CVT","4","5","Sedan","4","Petrol 91RON","152","192","129","6.6","8.4","5.6","","","Euro 6","78","3750","No","2025","161","2.13","1515"
"2016","Subaru","","Impreza","i-L ES","2","4cyl","Normal","1","CVT","4","5","Sedan","4","Petrol 91RON","152","192","129","6.6","8.4","5.6","","","Euro 6","78","3750","No","2025","161","2.13","1515"
"2016","Subaru","","Impreza","i","2","4cyl","Normal","1","CVT","4","5","Sedan","4","Petrol 91RON","152","192","129","6.6","8.4","5.6","","","Euro 6","78","3750","No","2025","161","2.13","1515"
"2016","Subaru","","Impreza","i-L ES","2","4cyl","Normal","1","CVT","4","5","Hatch","4","Petrol 91RON","152","192","129","6.6","8.4","5.6","","","Euro 6","78","3750","No","2025","161","2.13","1515"
"2016","Subaru","","Impreza","i-L ES","2","4cyl","Normal","1","CVT","4","5","Hatch","4","Petrol 91RON","152","192","129","6.6","8.4","5.6","","","Euro 6","78","3750","No","2025","161","2.13","1515"
"2019","Mazda","","3","Sedan","2.5","4cyl","Normal","6","Auto","4","5","Sedan","2","Petrol 91RON","152","198","125","6.5","8.5","5.3","","","Euro 5","81","3750","Yes","0","159","2.13","1492"
"2020","Mazda","","CX-30","AWD","2","4cyl","Normal","6","Auto","4","5","SUV","4","Petrol 91RON","153","188","133","6.6","8.1","5.7","","","Euro 5","76","3750","Yes","0","161","2.14","1515"
"2017","Ford","BL","Ecosport","Trend, Titanium","1","3cyl","Turbo","6","Auto","4","5","SUV","2","Petrol 91RON","153","201","129","6.7","8.7","5.6","","","Euro 5","74","3750","Yes","0","164","2.14","1538"
"2020","Mazda","","CX-30","FWD","2.5","4cyl","Normal","6","Auto","4","5","SUV","2","Petrol 91RON","154","197","129","6.6","8.5","5.5","","","Euro 5","78","3750","Yes","0","161","2.16","1515"
"2023","Hyundai","","Kona","2.0 MPI (19inch)","2","4cyl","Normal","1","CVT","4","5","SUV","2","Petrol 91RON","154","199","129","6.6","8.6","5.5","","","Euro 5","77","3750","Yes","0","161","2.16","1515"
"2013","Ford","BK","Ecosport","Trend","1.5","4cyl","Normal","6","Auto","4","5","Wagon","2","Petrol 91RON","154","201","127","6.5","8.4","5.4","","","Euro 5","78.00","3750","Yes","0","159","2.16","1492"
"2013","Ford","BK","Ecosport","Ambiente","1.5","4cyl","Normal","6","Auto","4","5","Wagon","2","Petrol 91RON","154","201","127","6.5","8.4","5.4","","","Euro 5","78.00","3750","Yes","0","159","2.16","1492"
"2013","Ford","BK","Ecosport","Titanium","1.5","4cyl","Normal","6","Auto","4","5","Wagon","2","Petrol 91RON","154","201","127","6.5","8.4","5.4","","","Euro 5","78.00","3750","Yes","0","159","2.16","1492"
"2019","Mazda","","3","Hatch","2.5","4cyl","Normal","6","Auto","4","5","Hatch","2","Petrol 91RON","154","201","127","6.6","8.6","5.4","","","Euro 5","82","3750","Yes","0","161","2.16","1515"
"2013","Ford","BK","Ecosport","Ambiente","1.5","4cyl","Normal","5","Manual","4","5","Wagon","2","Petrol 91RON","154","205","124","6.5","8.6","5.2","","","Euro 5","78.00","3750","Yes","0","159","2.16","1492"
"2019","Toyota","","RAV4","GX","2","4cyl","Normal","6","Manual","4","5","SUV","2","Petrol 91RON","155","196","131","6.8","8.6","5.7","","","Euro 5","74","3750","Yes","0","166","2.17","1561"
"2015","Honda","","HR-V","VTi","1.8","4cyl","Normal","1","CVT","4","5","Wagon","2","Petrol 91RON","155","198","129","6.6","8.5","5.6","","","Euro 5","75.00","3750","Yes","0","161","2.17","1515"
"2020","Kia","2021","Stonic","S","1.4","4cyl","Normal","6","Auto","4","5","Wagon","2","Petrol 91RON","155","199","130","6.7","8.6","5.6","","","Euro 5","81","4500","Yes","0","164","2.17","1538"
"2020","Kia","2021","Stonic","Sport","1.4","4cyl","Normal","6","Auto","4","5","Wagon","2","Petrol 91RON","155","199","130","6.7","8.6","5.6","","","Euro 5","81","4500","Yes","0","164","2.17","1538"
"2023","Hyundai","2024","i30","1.6 T-GDI (Goodyear 18inch)","1.6","4cyl","Turbo","7","Auto","4","5","Sedan","2","Petrol 91RON","155","200","128","6.6","8.6","5.5","","","Euro 5","86","3750","Yes","0","161","2.17","1515"
"2023","MG","","MG5","1.5 CVT","1.5","4cyl","N/A","1","CVT","4","5","Sedan","2","Petrol 91RON","155","208","124","6.6","8.9","5.3","","","Euro 5","74","3750","Yes","0","161","2.17","1515"
"2017","MG","","ZS","1.0T 6AT FWD","1","3cyl","Turbo","6","Auto","4","5","SUV","2","Petrol 91RON","157","196","134","6.7","8.4","5.7","","","Euro 5","69","2850","Yes","0","164","2.2","1538"
"2024","MG","","ZS","1.5L CVT","1.5","4cyl","Normal","8","CVT","4","5","SUV","2","Petrol 91RON","157","199","134","6.7","8.5","5.7","","","Euro 5","64","3000","Yes","0","164","2.2","1538"
"2020","Mazda","","CX-30","AWD","2.5","4cyl","Normal","6","Auto","4","5","SUV","2","Petrol 91RON","157","200","133","6.8","8.7","5.7","","","Euro 5","77","3750","Yes","0","166","2.2","1561"
"2021","Hyundai","","i20N","1.6 T-GDI","1.6","4cyl","Turbo","6","Manual","4","5","Hatch","2","Petrol 91RON","157","202","131","6.9","8.9","5.7","","","Euro 5","104","3750","Yes","0","169","2.2","1584"
"2022","Kia","2022","Seltos","GT-Line FWD","2","4cyl","Normal","1","CVT","4","5","SUV","2","Petrol 91RON","157","205","130","6.9","8.8","5.6","","","Euro 5","78","3750","Yes","0","169","2.2","1584"
"2022","Kia","2022","Seltos","S","2","4cyl","Normal","1","CVT","4","5","SUV","2","Petrol 91RON","157","205","130","6.9","8.8","5.6","","","Euro 5","78","3750","Yes","0","169","2.2","1584"
