ID,AddressInfo.Title,AddressInfo.Town,AddressInfo.StateOrProvince,AddressInfo.Latitude,AddressInfo.Longitude,UsageCost,NumberOfPoints,DateLastStatusUpdate,Source
306096,Sandfire (WA EV Network),Sandfire,WA,-19.768818135351367,121.09160068026648,"$0.60 per kWh for fast DC, $0.35 per kWh for slow AC",2,2025-01-29 15:33:00+00:00,Public
306095,WA EV Network - Whim Creek,Whim Creek,WA,-20.838466287478184,117.83409361484922,"$0.60 per kWh fast DC, $0.35 per kWh slow AC.",2,2024-11-15 15:56:00+00:00,Public
306072,Ampol Foodary North Yunderup,North Yunderup,WA,-32.5671631849554,115.79829772601357,$0.60 per kWh,1,2024-11-14 15:49:00+00:00,Public
306018,Redgrave Park,Coolamon,NSW,-34.81320838371845,147.20146957248267,$0.25 each 30 mins plus $0.28/kWh,1,2024-12-08 01:54:00+00:00,Public
306017,Ganmain Craft Cottage,,New South Wales,-34.79340665268592,147.03869475917048,$0.50 per hour plus $0.28/kWh,2,2024-12-08 01:54:00+00:00,Public
306016,Middy's Wagga East,,New South Wales,-35.123640112987474,147.3992802491099,$0.35/kWh,1,2024-12-08 01:54:00+00:00,Public
306015,Griffith City Volkswagen,,New South Wales,-34.30220873271793,146.0827951103297,$0.40/kWh,1,2024-12-08 01:54:00+00:00,Public
306014,Owen Toyota,,New South Wales,-34.299877486665665,146.0781598113113,$0.40/kWh,2,2024-11-14 09:54:00+00:00,Public
306013,Griffith Leagues Club Southside,Griffith,NSW,-34.29247666125356,146.05114295544826,up to $0.92/kWh,6,2024-12-08 01:54:00+00:00,Public
305980,NRMA Ararat,Ararat,Victoria,-37.28516365724295,142.92645264670017,66c / 60c for members,4,2024-11-12 01:29:00+00:00,Public
305979,NRMA Marong,Marong,Victoria,-36.73546633080104,144.13398199267476,66c / 60c for members,4,2024-11-12 01:24:00+00:00,Public
305978,NRMA Wycheproof,Wycheproof,Victoria,-36.07623961780974,143.22518416666645,66c / 60c for members,4,2024-11-12 01:19:00+00:00,Public
305977,NRMA Ouyen,Ouyen,Victoria,-35.071599703997784,142.31988019027813,66c / 60c for NRMA Members,4,2024-11-12 01:14:00+00:00,Public
305975,Armadale City,Armadale,Western Australia,-32.150681222892466,116.01697710197169,Unknown,2,2024-12-04 05:15:00+00:00,Public
305540,Autobahn Armadale,"Armadale, ",WA,-32.14798632595281,115.98536350907739,$0.55kWh,2,2024-10-20 06:05:00+00:00,Public
304459,RAA Charge Brickworks,Torrensville,SA,-34.9131230518513,138.56301692754607,"DC is Evening peak 68c kWh (5:00pm to 10:00pm), Standard 59c kWh (all other times), AC is Evening peak 32c kWh (5:00pm to 10:00pm), Standard 25c kWh (all other times)",3,2024-10-14 08:09:00+00:00,Public
304358,NRMA Mandurah,Mandurah,WA,-32.50979875144507,115.73981288369129,$0.65 per kWh ,2,2024-09-24 10:58:00+00:00,Public
