Postcode,State,Fuel Type, 31-Jan-2021 , 31-Jan-2022 , 31-Jan-2023 , 31-Jan-2024 , 31-Jan-2025 
880,NT,BEV,0,0,0,3,3
880,NT,Hybrid/PHEV,7,12,15,16,36
880,NT,ICE,2463,2515,2588,2509,2524
885,NT,ICE,622,635,662,676,685
886,NT,BEV,0,0,0,3,3
886,NT,Hybrid/PHEV,0,0,3,3,6
886,NT,ICE,713,653,534,607,624
2000,NSW,BEV,76,159,272,930,1571
2000,NSW,Hybrid/PHEV,979,1218,1571,1931,2715
2000,NSW,ICE,18203,17924,18017,18390,17882
2007,NSW,BEV,5,14,24,40,49
2007,NSW,Hybrid/PHEV,65,81,100,110,148
2007,NSW,ICE,2289,2561,2577,2296,2160
2008,NSW,BEV,9,20,34,60,88
2008,NSW,Hybrid/PHEV,69,80,87,100,129
2008,NSW,ICE,2795,2837,2891,2661,2463
2009,NSW,BEV,22,42,85,159,194
2009,NSW,Hybrid/PHEV,346,377,332,377,470
2009,NSW,ICE,5742,5873,5877,5632,5356
2010,NSW,BEV,37,80,152,312,323
2010,NSW,Hybrid/PHEV,180,236,374,379,484
2010,NSW,ICE,9941,10023,10086,9810,9460
2011,NSW,BEV,49,70,106,160,287
2011,NSW,Hybrid/PHEV,318,512,967,1081,448
2011,NSW,ICE,9157,8730,8448,8232,7634
2015,NSW,BEV,84,101,153,287,545
2015,NSW,Hybrid/PHEV,298,357,487,564,910
2015,NSW,ICE,8935,9228,9862,9863,9594
2016,NSW,BEV,10,20,32,71,120
2016,NSW,Hybrid/PHEV,80,102,132,170,245
2016,NSW,ICE,5176,5159,5120,5044,4927
2017,NSW,BEV,68,77,143,262,456
2017,NSW,Hybrid/PHEV,336,376,464,585,802
2017,NSW,ICE,11962,12356,12485,11918,10996
2018,NSW,BEV,13,28,63,135,206
2018,NSW,Hybrid/PHEV,199,259,339,386,484
2018,NSW,ICE,9304,9634,9712,9491,9097
2019,NSW,BEV,15,14,36,95,153
2019,NSW,Hybrid/PHEV,149,192,257,323,501
2019,NSW,ICE,10412,10512,10700,10956,10928
2020,NSW,BEV,12,65,312,923,1145
2020,NSW,Hybrid/PHEV,956,1426,2404,2484,3796
2020,NSW,ICE,20478,22183,26954,27174,26643
2021,NSW,BEV,39,64,114,178,243
2021,NSW,Hybrid/PHEV,160,200,234,272,335
2021,NSW,ICE,7682,7554,7409,7380,7111
2022,NSW,BEV,33,44,79,141,213
2022,NSW,Hybrid/PHEV,124,146,194,234,309
2022,NSW,ICE,6443,6552,6591,6544,6398
2023,NSW,BEV,57,95,148,229,323
2023,NSW,Hybrid/PHEV,155,202,216,275,349
2023,NSW,ICE,5976,5808,5738,5755,5662
2024,NSW,BEV,39,59,89,148,210
2024,NSW,Hybrid/PHEV,112,138,157,194,267
2024,NSW,ICE,5851,5785,5677,5637,5568
2025,NSW,BEV,38,54,81,135,169
2025,NSW,Hybrid/PHEV,88,100,112,127,163
2025,NSW,ICE,4013,3965,3840,3785,3719
2026,NSW,BEV,57,116,207,361,509
2026,NSW,Hybrid/PHEV,262,296,361,428,593
2026,NSW,ICE,15941,15772,15598,15630,15201
2027,NSW,BEV,33,59,92,136,181
2027,NSW,Hybrid/PHEV,139,150,173,189,222
2027,NSW,ICE,4787,4678,4525,4498,4400
2028,NSW,BEV,17,30,51,84,101
2028,NSW,Hybrid/PHEV,70,84,101,123,172
2028,NSW,ICE,2965,2935,2895,2807,2756
2029,NSW,BEV,37,55,83,151,209
2029,NSW,Hybrid/PHEV,146,171,194,232,274
2029,NSW,ICE,5646,5649,5629,5633,5518
2030,NSW,BEV,112,179,253,369,495
2030,NSW,Hybrid/PHEV,217,266,313,385,461
2030,NSW,ICE,9273,8963,8891,8812,8537
2031,NSW,BEV,42,85,151,291,426
2031,NSW,Hybrid/PHEV,297,384,461,591,829
2031,NSW,ICE,16530,16568,16424,16266,16097
2032,NSW,BEV,7,19,34,82,115
2032,NSW,Hybrid/PHEV,127,148,186,242,300
2032,NSW,ICE,6100,6471,6549,6443,6094
2033,NSW,BEV,14,22,36,81,117
2033,NSW,Hybrid/PHEV,117,145,168,196,268
2033,NSW,ICE,4953,5054,5059,5026,4832
2034,NSW,BEV,38,67,106,206,275
2034,NSW,Hybrid/PHEV,179,207,251,321,446
2034,NSW,ICE,10697,10612,10416,10489,10162
2035,NSW,BEV,36,59,125,268,364
2035,NSW,Hybrid/PHEV,353,456,560,682,899
2035,NSW,ICE,18821,18700,18682,18824,18729
2036,NSW,BEV,27,45,109,225,333
2036,NSW,Hybrid/PHEV,292,371,452,576,790
2036,NSW,ICE,18858,19308,19574,19781,19839
2037,NSW,BEV,25,41,69,147,190
2037,NSW,Hybrid/PHEV,178,226,257,315,549
2037,NSW,ICE,7187,7324,7363,7261,7064
2038,NSW,BEV,13,23,43,103,156
2038,NSW,Hybrid/PHEV,125,145,163,191,255
2038,NSW,ICE,4854,4863,4769,4781,4732
2039,NSW,BEV,5,18,48,93,150
2039,NSW,Hybrid/PHEV,113,123,150,203,266
2039,NSW,ICE,5292,5251,5170,5422,5432
2040,NSW,BEV,16,37,89,186,378
2040,NSW,Hybrid/PHEV,180,349,361,433,611
2040,NSW,ICE,12875,12691,12603,12615,12682
2041,NSW,BEV,22,59,107,197,277
2041,NSW,Hybrid/PHEV,190,256,295,358,496
2041,NSW,ICE,8616,8490,8403,8298,8117
2042,NSW,BEV,9,20,43,103,183
2042,NSW,Hybrid/PHEV,120,153,203,239,323
2042,NSW,ICE,7345,7499,7254,7351,7184
2043,NSW,BEV,8,16,33,62,97
2043,NSW,Hybrid/PHEV,60,83,115,149,196
2043,NSW,ICE,3674,3837,3928,3943,3787
2044,NSW,BEV,6,11,29,55,125
2044,NSW,Hybrid/PHEV,448,462,545,659,684
2044,NSW,ICE,4872,5028,5110,5236,5106
2045,NSW,BEV,11,22,336,674,889
2045,NSW,Hybrid/PHEV,93,211,320,511,816
2045,NSW,ICE,4347,4360,4284,4364,4341
2046,NSW,BEV,27,55,111,263,390
2046,NSW,Hybrid/PHEV,297,385,476,604,844
2046,NSW,ICE,17921,17447,17401,17632,17290
2047,NSW,BEV,20,35,80,147,195
2047,NSW,Hybrid/PHEV,118,159,188,252,337
2047,NSW,ICE,7272,7156,7116,7111,6951
2048,NSW,BEV,7,17,36,59,78
2048,NSW,Hybrid/PHEV,49,65,101,119,172
2048,NSW,ICE,3728,3729,3695,3724,3687
2049,NSW,BEV,3,15,46,86,130
2049,NSW,Hybrid/PHEV,126,187,222,272,369
2049,NSW,ICE,6021,5812,6016,6130,6028
2050,NSW,BEV,8,12,28,60,105
2050,NSW,Hybrid/PHEV,161,239,302,403,458
2050,NSW,ICE,3894,4021,3878,3750,3486
2060,NSW,BEV,38,81,160,270,379
2060,NSW,Hybrid/PHEV,321,376,509,664,827
2060,NSW,ICE,9983,9827,9792,9801,9305
2061,NSW,BEV,12,23,44,72,92
2061,NSW,Hybrid/PHEV,82,98,116,121,171
2061,NSW,ICE,3084,3116,3078,3055,2999
2062,NSW,BEV,11,25,55,109,136
2062,NSW,Hybrid/PHEV,70,89,123,146,214
2062,NSW,ICE,4041,4042,3934,3892,3821
2063,NSW,BEV,29,51,77,152,207
2063,NSW,Hybrid/PHEV,95,116,142,157,212
2063,NSW,ICE,3932,3899,3825,3736,3635
2064,NSW,BEV,20,37,67,187,320
2064,NSW,Hybrid/PHEV,151,251,281,429,433
2064,NSW,ICE,7824,9170,7647,7349,7154
2065,NSW,BEV,73,132,227,472,745
2065,NSW,Hybrid/PHEV,478,628,790,1045,1400
2065,NSW,ICE,18770,18715,18265,18188,17497
2066,NSW,BEV,74,136,259,520,774
2066,NSW,Hybrid/PHEV,471,533,602,760,1036
2066,NSW,ICE,19672,19598,19713,19710,19362
2067,NSW,BEV,40,129,241,448,638
2067,NSW,Hybrid/PHEV,443,561,762,928,1279
2067,NSW,ICE,14356,14440,14690,14652,13951
2068,NSW,BEV,42,88,159,331,481
2068,NSW,Hybrid/PHEV,192,236,260,345,514
2068,NSW,ICE,10181,10062,9797,9658,9681
2069,NSW,BEV,37,76,144,297,439
2069,NSW,Hybrid/PHEV,260,323,318,387,539
2069,NSW,ICE,8973,8923,8597,8535,8355
2070,NSW,BEV,37,69,145,305,439
2070,NSW,Hybrid/PHEV,229,279,326,434,587
2070,NSW,ICE,8491,8445,8364,8325,8237
2071,NSW,BEV,49,77,147,290,410
2071,NSW,Hybrid/PHEV,231,268,324,417,545
2071,NSW,ICE,8311,8133,7955,7837,7600
2072,NSW,BEV,16,31,63,146,215
2072,NSW,Hybrid/PHEV,147,187,230,291,408
2072,NSW,ICE,5095,5131,5119,5036,4906
2073,NSW,BEV,55,87,173,372,556
2073,NSW,Hybrid/PHEV,533,396,449,528,692
2073,NSW,ICE,11951,11478,11293,11251,10862
2074,NSW,BEV,51,99,194,402,570
2074,NSW,Hybrid/PHEV,318,374,448,558,794
2074,NSW,ICE,14773,14573,14429,14336,14053
2075,NSW,BEV,49,102,211,414,604
2075,NSW,Hybrid/PHEV,300,334,408,532,751
2075,NSW,ICE,13868,13742,13480,13478,13043
2076,NSW,BEV,42,72,171,347,531
2076,NSW,Hybrid/PHEV,331,371,459,590,820
2076,NSW,ICE,15256,15058,14872,14802,14508
2077,NSW,BEV,24,54,112,254,427
2077,NSW,Hybrid/PHEV,392,505,678,862,1324
2077,NSW,ICE,23075,22922,22982,23171,22806
2079,NSW,BEV,3,10,28,52,92
2079,NSW,Hybrid/PHEV,55,80,110,157,276
2079,NSW,ICE,5088,5022,5030,5083,5084
2080,NSW,BEV,3,6,10,23,32
2080,NSW,Hybrid/PHEV,17,30,40,49,68
2080,NSW,ICE,1730,1727,1705,1741,1591
2081,NSW,BEV,4,5,15,40,61
2081,NSW,Hybrid/PHEV,39,52,75,111,161
2081,NSW,ICE,3566,3543,3553,3537,3497
2082,NSW,BEV,0,5,17,33,54
2082,NSW,Hybrid/PHEV,33,46,53,75,134
2082,NSW,ICE,3631,3616,3669,3667,3626
2083,NSW,BEV,3,3,6,16,13
2083,NSW,Hybrid/PHEV,11,14,16,23,29
2083,NSW,ICE,1223,1228,1192,1209,1175
2084,NSW,BEV,17,27,36,59,82
2084,NSW,Hybrid/PHEV,47,55,65,81,119
2084,NSW,ICE,3243,3291,3317,3324,3272
2085,NSW,BEV,19,33,63,113,168
2085,NSW,Hybrid/PHEV,115,144,174,220,324
2085,NSW,ICE,8495,8392,8343,8359,8293
2086,NSW,BEV,20,36,64,138,207
2086,NSW,Hybrid/PHEV,118,164,201,247,386
2086,NSW,ICE,9423,9431,9358,9530,9577
2087,NSW,BEV,10,23,57,147,213
2087,NSW,Hybrid/PHEV,114,146,185,252,345
2087,NSW,ICE,8342,8300,8215,8240,8143
2088,NSW,BEV,96,169,307,557,766
2088,NSW,Hybrid/PHEV,363,452,561,676,873
2088,NSW,ICE,17942,17725,17346,17184,16850
2089,NSW,BEV,20,35,64,116,164
2089,NSW,Hybrid/PHEV,110,143,163,194,290
2089,NSW,ICE,6417,6325,6274,6108,6082
2090,NSW,BEV,30,55,93,171,243
2090,NSW,Hybrid/PHEV,146,168,198,264,349
2090,NSW,ICE,7444,7401,7390,7416,7275
2092,NSW,BEV,21,36,64,126,202
2092,NSW,Hybrid/PHEV,59,71,86,116,177
2092,NSW,ICE,4634,4578,4499,4436,4456
2093,NSW,BEV,44,77,153,284,439
2093,NSW,Hybrid/PHEV,236,257,310,406,602
2093,NSW,ICE,14144,14070,14045,14160,14039
2094,NSW,BEV,16,27,46,74,128
2094,NSW,Hybrid/PHEV,45,59,89,105,143
2094,NSW,ICE,3473,3533,3476,3482,3415
2095,NSW,BEV,42,68,112,182,263
2095,NSW,Hybrid/PHEV,123,171,203,248,351
2095,NSW,ICE,9077,9116,9032,8819,8697
2096,NSW,BEV,27,49,81,151,217
2096,NSW,Hybrid/PHEV,89,126,167,223,330
2096,NSW,ICE,9224,9262,9045,9015,8950
2097,NSW,BEV,15,32,58,114,175
2097,NSW,Hybrid/PHEV,73,108,148,206,337
2097,NSW,ICE,10482,10402,10302,10337,10166
2099,NSW,BEV,32,60,114,263,402
2099,NSW,Hybrid/PHEV,365,502,665,861,1212
2099,NSW,ICE,26323,26279,26179,26171,26170
2100,NSW,BEV,27,46,114,263,358
2100,NSW,Hybrid/PHEV,198,258,339,491,720
2100,NSW,ICE,17277,16973,17030,17272,16849
2101,NSW,BEV,32,46,73,148,215
2101,NSW,Hybrid/PHEV,109,143,177,264,413
2101,NSW,ICE,13565,13467,13600,13721,13617
2102,NSW,BEV,3,15,28,71,105
2102,NSW,Hybrid/PHEV,52,69,97,138,207
2102,NSW,ICE,6057,6012,6092,6165,6138
2103,NSW,BEV,11,36,62,121,152
2103,NSW,Hybrid/PHEV,99,119,152,202,307
2103,NSW,ICE,8265,8467,8391,8180,8037
2104,NSW,BEV,14,22,42,62,91
2104,NSW,Hybrid/PHEV,42,49,55,73,100
2104,NSW,ICE,2900,2871,2853,2838,2804
2105,NSW,BEV,4,10,24,41,54
2105,NSW,Hybrid/PHEV,23,27,39,38,51
2105,NSW,ICE,1493,1484,1473,1438,1425
2106,NSW,BEV,13,32,49,99,146
2106,NSW,Hybrid/PHEV,89,122,134,167,239
2106,NSW,ICE,7198,7115,7000,7013,7049
2107,NSW,BEV,35,59,118,215,295
2107,NSW,Hybrid/PHEV,121,178,211,261,405
2107,NSW,ICE,11579,11336,11224,11180,11087
2108,NSW,BEV,7,18,26,42,60
2108,NSW,Hybrid/PHEV,18,29,30,44,52
2108,NSW,ICE,1468,1481,1436,1411,1401
2110,NSW,BEV,36,68,127,212,284
2110,NSW,Hybrid/PHEV,110,139,167,193,272
2110,NSW,ICE,6290,6224,6087,6077,5955
2111,NSW,BEV,21,38,86,169,258
2111,NSW,Hybrid/PHEV,205,257,321,449,658
2111,NSW,ICE,10388,10500,10468,10413,10328
2112,NSW,BEV,37,75,161,358,539
2112,NSW,Hybrid/PHEV,454,584,720,917,1288
2112,NSW,ICE,21500,21650,21899,21886,21337
2113,NSW,BEV,54,180,420,836,1149
2113,NSW,Hybrid/PHEV,491,674,1019,1400,2200
2113,NSW,ICE,18701,19311,19081,19362,19214
2114,NSW,BEV,14,25,71,203,306
2114,NSW,Hybrid/PHEV,311,388,456,621,889
2114,NSW,ICE,13619,13834,13959,14252,14271
2115,NSW,BEV,8,18,52,100,155
2115,NSW,Hybrid/PHEV,135,168,211,310,438
2115,NSW,ICE,7317,7285,7373,7369,7359
2116,NSW,BEV,7,13,26,75,186
2116,NSW,Hybrid/PHEV,209,321,359,494,786
2116,NSW,ICE,7431,7365,7359,7490,8038
2117,NSW,BEV,7,29,80,217,314
2117,NSW,Hybrid/PHEV,277,347,415,567,795
2117,NSW,ICE,12928,12736,12702,12748,12616
2118,NSW,BEV,24,39,123,272,414
2118,NSW,Hybrid/PHEV,515,608,721,895,1213
2118,NSW,ICE,15813,15725,15777,15754,15677
2119,NSW,BEV,32,56,105,203,291
2119,NSW,Hybrid/PHEV,173,203,269,331,470
2119,NSW,ICE,7487,7441,7339,7283,7103
2120,NSW,BEV,25,45,96,261,410
2120,NSW,Hybrid/PHEV,242,313,409,530,783
2120,NSW,ICE,13999,13785,13698,13573,13511
2121,NSW,BEV,38,57,160,373,543
2121,NSW,Hybrid/PHEV,455,569,704,920,1326
2121,NSW,ICE,17794,17782,17923,17825,17341
2122,NSW,BEV,18,34,114,305,466
2122,NSW,Hybrid/PHEV,411,474,584,743,1116
2122,NSW,ICE,16898,16875,16862,16892,16395
2125,NSW,BEV,15,37,108,256,391
2125,NSW,Hybrid/PHEV,259,302,365,467,617
2125,NSW,ICE,11439,11206,11006,10911,10636
2126,NSW,BEV,14,51,113,268,405
2126,NSW,Hybrid/PHEV,287,345,409,513,738
2126,NSW,ICE,11581,11519,11317,11209,10857
2127,NSW,BEV,14,48,125,257,370
2127,NSW,Hybrid/PHEV,467,594,760,953,1230
2127,NSW,ICE,13197,13607,13797,13787,13496
2128,NSW,BEV,5,11,14,37,56
2128,NSW,Hybrid/PHEV,104,164,202,260,420
2128,NSW,ICE,4536,4703,4853,4860,4634
2130,NSW,BEV,12,19,33,52,68
2130,NSW,Hybrid/PHEV,72,96,112,129,179
2130,NSW,ICE,3588,3529,3581,3549,3489
2131,NSW,BEV,8,17,38,78,132
2131,NSW,Hybrid/PHEV,246,306,378,466,644
2131,NSW,ICE,10220,10104,10098,10125,10021
2132,NSW,BEV,3,7,24,75,118
2132,NSW,Hybrid/PHEV,119,151,185,238,321
2132,NSW,ICE,5997,5969,5953,5931,5873
2133,NSW,BEV,3,7,15,46,63
2133,NSW,Hybrid/PHEV,108,131,163,228,309
2133,NSW,ICE,6435,6384,6372,6515,6479
2134,NSW,BEV,26,28,52,130,192
2134,NSW,Hybrid/PHEV,250,299,382,469,621
2134,NSW,ICE,7645,8048,8025,7824,7400
2135,NSW,BEV,34,74,143,266,356
2135,NSW,Hybrid/PHEV,349,419,538,651,832
2135,NSW,ICE,13807,13763,12950,12823,12510
2136,NSW,BEV,5,9,23,63,84
2136,NSW,Hybrid/PHEV,102,145,180,233,369
2136,NSW,ICE,5238,5262,5381,5506,5679
2137,NSW,BEV,40,77,146,289,394
2137,NSW,Hybrid/PHEV,358,429,541,668,928
2137,NSW,ICE,18139,18159,18148,18068,17536
2138,NSW,BEV,21,41,112,233,321
2138,NSW,Hybrid/PHEV,321,392,470,554,745
2138,NSW,ICE,9783,9946,10143,9882,9623
2140,NSW,BEV,23,26,71,227,313
2140,NSW,Hybrid/PHEV,349,444,668,924,1148
2140,NSW,ICE,11181,11621,12040,12124,12376
2141,NSW,BEV,17,39,94,216,345
2141,NSW,Hybrid/PHEV,461,593,809,1094,1673
2141,NSW,ICE,18392,18894,19458,19750,19945
2142,NSW,BEV,5,24,67,163,192
2142,NSW,Hybrid/PHEV,313,483,619,811,1096
2142,NSW,ICE,16902,17014,17300,18462,17469
2143,NSW,BEV,0,9,34,73,87
2143,NSW,Hybrid/PHEV,210,290,352,414,507
2143,NSW,ICE,6359,6233,6369,6478,6398
2144,NSW,BEV,18,84,117,151,205
2144,NSW,Hybrid/PHEV,640,807,1014,1357,2081
2144,NSW,ICE,21435,21547,21661,22047,21959
2145,NSW,BEV,28,62,161,361,596
2145,NSW,Hybrid/PHEV,849,1108,1401,1841,2623
2145,NSW,ICE,48721,48709,48968,49553,49375
2146,NSW,BEV,9,18,38,89,129
2146,NSW,Hybrid/PHEV,140,194,233,358,560
2146,NSW,ICE,11006,10829,10737,10913,10888
2147,NSW,BEV,13,26,51,140,251
2147,NSW,Hybrid/PHEV,259,355,447,611,945
2147,NSW,ICE,26161,26529,26532,26384,26556
2148,NSW,BEV,18,43,91,234,347
2148,NSW,Hybrid/PHEV,737,951,1276,1740,2458
2148,NSW,ICE,43417,43099,43239,44128,44442
2150,NSW,BEV,26,46,107,252,335
2150,NSW,Hybrid/PHEV,889,1126,1496,1776,2181
2150,NSW,ICE,21496,21334,21370,19848,17517
2151,NSW,BEV,13,22,52,144,208
2151,NSW,Hybrid/PHEV,278,319,402,549,789
2151,NSW,ICE,13439,13309,13317,13358,13221
2152,NSW,BEV,5,11,32,83,120
2152,NSW,Hybrid/PHEV,123,197,299,366,478
2152,NSW,ICE,7214,7058,6975,7123,7073
2153,NSW,BEV,49,128,335,816,1176
2153,NSW,Hybrid/PHEV,774,958,1202,1585,2221
2153,NSW,ICE,41605,41435,41758,42550,41777
2154,NSW,BEV,44,89,249,581,859
2154,NSW,Hybrid/PHEV,564,682,865,1060,1582
2154,NSW,ICE,28611,28222,27911,28249,27534
2155,NSW,BEV,46,126,415,1005,1586
2155,NSW,Hybrid/PHEV,728,936,1213,1672,2691
2155,NSW,ICE,43134,44483,45784,46739,46683
2156,NSW,BEV,28,44,79,151,204
2156,NSW,Hybrid/PHEV,120,147,190,252,360
2156,NSW,ICE,10986,11006,10960,10991,10958
2157,NSW,BEV,4,10,15,32,45
2157,NSW,Hybrid/PHEV,34,44,55,72,98
2157,NSW,ICE,3308,3368,3414,3491,3477
2158,NSW,BEV,11,28,48,104,158
2158,NSW,Hybrid/PHEV,84,110,131,184,263
2158,NSW,ICE,7138,7158,7149,7243,7164
2159,NSW,BEV,0,10,18,42,62
2159,NSW,Hybrid/PHEV,40,48,64,91,134
2159,NSW,ICE,4244,4254,4232,4262,4277
2160,NSW,BEV,6,12,43,100,144
2160,NSW,Hybrid/PHEV,449,551,688,898,1339
2160,NSW,ICE,21778,21397,21669,22147,22409
2161,NSW,BEV,7,12,31,72,90
2161,NSW,Hybrid/PHEV,322,384,528,715,1170
2161,NSW,ICE,20178,19928,20531,21282,21640
2162,NSW,BEV,3,6,14,41,68
2162,NSW,Hybrid/PHEV,188,243,309,441,608
2162,NSW,ICE,11357,11255,11434,11865,11975
2163,NSW,BEV,0,0,6,28,42
2163,NSW,Hybrid/PHEV,170,221,299,356,430
2163,NSW,ICE,6083,6004,6085,6257,6326
2164,NSW,BEV,9,11,25,88,131
2164,NSW,Hybrid/PHEV,256,356,441,588,885
2164,NSW,ICE,20667,20631,20704,21392,21298
2165,NSW,BEV,6,12,22,73,109
2165,NSW,Hybrid/PHEV,309,408,564,728,1123
2165,NSW,ICE,24245,24059,24477,25244,25478
2166,NSW,BEV,8,21,74,187,265
2166,NSW,Hybrid/PHEV,500,636,749,1014,1558
2166,NSW,ICE,30626,30304,30257,31140,31294
2167,NSW,BEV,3,13,24,71,100
2167,NSW,Hybrid/PHEV,110,141,155,219,335
2167,NSW,ICE,5556,5508,5595,5626,5533
2168,NSW,BEV,4,9,25,65,107
2168,NSW,Hybrid/PHEV,232,302,396,521,887
2168,NSW,ICE,25541,25432,25754,25866,25842
2170,NSW,BEV,24,58,162,435,636
2170,NSW,Hybrid/PHEV,1207,1543,1954,2574,3819
2170,NSW,ICE,71631,74828,76512,78262,78643
2171,NSW,BEV,6,28,74,172,287
2171,NSW,Hybrid/PHEV,330,434,534,738,1096
2171,NSW,ICE,25828,25659,25897,26089,25922
2172,NSW,BEV,3,0,12,25,34
2172,NSW,Hybrid/PHEV,28,33,46,53,69
2172,NSW,ICE,1662,1658,1674,1701,1726
2173,NSW,BEV,8,13,27,74,107
2173,NSW,Hybrid/PHEV,102,142,176,240,363
2173,NSW,ICE,8430,8260,8287,8257,8353
2174,NSW,BEV,5,14,50,131,203
2174,NSW,Hybrid/PHEV,149,200,235,350,534
2174,NSW,ICE,5324,5913,6661,7215,7475
2175,NSW,BEV,0,0,3,4,11
2175,NSW,Hybrid/PHEV,10,8,17,37,55
2175,NSW,ICE,1420,1454,1572,1675,1740
2176,NSW,BEV,10,26,65,163,204
2176,NSW,Hybrid/PHEV,347,449,573,785,1183
2176,NSW,ICE,31237,30976,31190,31572,31527
2177,NSW,BEV,0,4,24,42,75
2177,NSW,Hybrid/PHEV,115,160,195,298,471
2177,NSW,ICE,10219,10040,10151,10245,10157
2178,NSW,BEV,3,3,4,14,21
2178,NSW,Hybrid/PHEV,22,38,49,76,131
2178,NSW,ICE,2912,2935,3015,3116,3172
2179,NSW,BEV,4,11,44,151,269
2179,NSW,Hybrid/PHEV,106,179,306,566,1043
2179,NSW,ICE,7658,9285,11094,13499,15706
2190,NSW,BEV,17,33,46,85,140
2190,NSW,Hybrid/PHEV,559,669,877,1199,1715
2190,NSW,ICE,19043,18920,18826,18813,18628
2191,NSW,BEV,0,3,5,16,30
2191,NSW,Hybrid/PHEV,50,69,85,97,144
2191,NSW,ICE,3821,3768,3792,3879,3671
2192,NSW,BEV,4,3,11,33,42
2192,NSW,Hybrid/PHEV,265,301,379,450,579
2192,NSW,ICE,8183,7983,7946,8104,8212
2193,NSW,BEV,17,25,54,101,191
2193,NSW,Hybrid/PHEV,187,210,265,344,451
2193,NSW,ICE,9859,9621,9578,9766,9678
