Charger Name,Suburb,State_clean,Postal_clean,Power_clean,Usage_Cost_clean,Number_of_Points_clean,Connection_Types_count,latitude,longitude
Bay Trail,moordialloc,VIC,3195.0,50.0,,1,2,-38.0102322,145.0929673
Bembit Bagrook Community Centre,tarneit,VIC,3029.0,50.0,,1,2,-37.8321522,144.69462
Scorseby Engie,,VIC,3179.0,100.0,0.55,2,2,-37.8688729,145.2126338
Jolt Bayswster,,VIC,3153.0,25.0,7.0,1,2,-37.8688729,145.2126338
Stud Park Shopping Centre,rowville,VIC,3178.0,50.0,0.4,2,4,-37.9239267,145.2447672
Civic Centre,werribee,VIC,3030.0,50.0,,4,3,-37.907984,144.6416748
Ampcharge Werribee,werribee,VIC,,180.0,,1,1,-37.907984,144.6416748
Devon Street Car Park,croydon,VIC,3136.0,7.0,,4,2,-37.7955004,145.2801507
Ampcharge Cheltenham,keysborough,VIC,,180.0,,2,1,-38.0053607,145.1674069
Strata Equity – Hunter Werribee,werribee,VIC,3030.0,22.0,,3,3,-37.907984,144.6416748
Club Trillium,mickleham,VIC,3064.0,,,1,1,-37.5344793,144.9120372
bp pulse Dandenong North,dandenong north,VIC,3802.0,75.0,55.0,2,1,-37.9558319,145.2143234
Heatherton Road,dandenong,VIC,3175.0,350.0,0.6,2,2,-37.98749,145.2147923
Ampol Kilsyth,kilsyth south,VIC,3153.0,150.0,0.69,1,2,-37.8315054,145.3110008
Evie Chelsea,chelsea,VIC,3196.0,50.0,0.4,1,4,-38.0497386,145.121407
Evie Chirnside Park,chirnside park,VIC,,50.0,,1,2,-37.9047634,144.6530424
bp pulse Merrifield,mickleham,VIC,3064.0,75.0,55.0,4,2,-37.5344793,144.9120372
Marnong Estate,mickleham,VIC,3064.0,22.0,,4,1,-37.5344793,144.9120372
Lollypop Creek Community Centre,harpley,VIC,,50.0,,2,1,-37.9110402,144.6113082
Hungry Jacks,sunbury,VIC,3429.0,11.0,0.25,2,1,-37.5791363,144.7279832
Cobblebank Village,,VIC,3338.0,22.0,,1,2,-37.8688729,145.2126338
Cobblebank Stadium,cobblebank,VIC,3338.0,25.0,,3,3,-37.7125512,144.6040773
Yarra Valley Nissan,lilydale,VIC,3140.0,11.0,0.31,2,1,-37.7571582,145.3458656
McDonald’s Melton South,weir views,VIC,3338.0,50.0,0.4,2,4,-37.7323715,144.5708942
Local Village Carrum Downs,carrum downs,VIC,3201.0,50.0,0.45,2,4,-38.1003312,145.1788657
CTR Whittlesea,whittlesea,VIC,3757.0,50.0,0.4,1,2,-37.5121301,145.1177321
City of Casey,city of casey,VIC,3805.0,7.0,,2,1,-38.0266156,145.3045626
Lynbrook Village,lynbrook,VIC,3975.0,50.0,0.4,2,4,-38.0558639,145.2561128
ENGIE - Bayside Centre,frankston,VIC,3199.0,50.0,0.45,1,1,-38.150925,145.142239
Yarra Ranges Council,yarra glen,VIC,3775.0,50.0,0.4,1,2,-37.6573475,145.3743964
Engie Monash University,melbourne,VIC,3199.0,120.0,,3,2,-37.8142454,144.9631732
Evie Cranbourne Homemaker Centre,cranbourne,VIC,3977.0,50.0,,1,2,-38.0997308,145.2807256
St Huberts Winery,coldstream,VIC,3770.0,11.0,0.31,6,1,-37.7291014,145.378424
BP Pulse Cranbourne,cranbourne west,VIC,3977.0,75.0,0.55,1,2,-38.102241,145.2517182
Jolt Berwick Springs Hotel,berwick,VIC,,50.0,,1,2,-38.0398297,145.3451089
Engie Cranbourne Park,,VIC,3977.0,120.0,,3,2,-37.8688729,145.2126338
Wallan,wallan,VIC,3756.0,50.0,,1,2,-37.5040691,145.1090152
ClydeStone Square,clyde north,VIC,3978.0,50.0,0.4,1,2,-38.1028681,145.3302814
Evie Mornington,mornington,VIC,3931.0,50.0,,2,3,-38.227699,145.0609375
Mornington Super Charger,,VIC,3931.0,250.0,,6,1,-37.8688729,145.2126338
RACV Healsville,healsville,VIC,,50.0,,7,2,-37.6635261,145.4817549
Evie Healsville,healsville,VIC,,50.0,,1,2,-37.6635261,145.4817549
North Bellarine Aquatic Centre,curlewis,VIC,3222.0,50.0,0.45,2,4,-37.8148997,145.1062282
Victoria Street,macedon,VIC,3440.0,50.0,0.45,1,2,-37.7726251,145.1131159
50 Learmonth Street,queenscliff,VIC,3225.0,50.0,0.45,2,4,-38.3363033,144.7453366
Evie Yarra Juncion,yarra junction,VIC,,50.0,,1,2,-37.7821693,145.6150255
Kilmore Library,kilmore,VIC,3764.0,25.0,0.4,1,2,-37.6750485,144.9242188
Geelong Supercharger,corio,VIC,3214.0,250.0,0.78,6,1,-37.9623312,145.1346687
Hastings,hastings,VIC,3915.0,50.0,0.45,1,2,-38.3056058,145.1859934
Kingston Village Square,ocean grove,VIC,3226.0,50.0,0.25,3,3,-38.170954,145.0972517
Sorrento ,,VIC,3943.0,50.0,0.4,2,4,-37.8688729,145.2126338
Rosebud RSL,,VIC,3940.0,50.0,,2,3,-37.8688729,145.2126338
bp pulse Rye,rye,VIC,3941.0,75.0,55.0,2,1,-38.3821684,144.8099264
High St Parking,woodend,VIC,3442.0,50.0,0.4,2,2,-37.7934621,144.5595902
Geelong West Veledrome,geelong west,VIC,,22.0,,2,1,-37.8054508,144.879879
Bru4U Geelong ,geelong,VIC,3220.0,22.0,,1,1,-37.8396934,145.008539
Broadford Library,broadford,VIC,3658.0,25.0,0.4,1,2,-37.6362329,145.0265708
RACV Solar Grovedale,grovedale,VIC,3216.0,22.0,0.25,1,1,-37.8171289,145.0949242
Blue Tongue Industries,grovedale,VIC,3216.0,22.0,0.3,1,1,-37.8171289,145.0949242
Evie Barabool Heights Plaza,highton,VIC,,50.0,,4,2,-37.8163364,145.0687942
Armstrong Creek East Community Hub,armstrong creek,VIC,3217.0,22.0,,6,3,-37.6289691,145.8640385
Armstrong Creek Shopping Centre,armstrong creek,VIC,3216.0,7.0,,2,1,-37.6289691,145.8640385
Deakin University Waurn Ponds,,VIC,3216.0,22.0,,4,2,-37.8688729,145.2126338
Trentham Visitor Information Centre,trentham,VIC,,50.0,,2,2,-37.7000743,144.8908894
Evie Flinders,flinders,VIC,3929.0,50.0,0.45,1,2,-38.473312,145.0187057
Evie Bannockburn,bannockburn,VIC,,50.0,,1,2,-37.732231,145.1014989
Evie Cowes,cowes,VIC,,50.0,,4,2,-37.7092585,144.7872516
Kyneton,kyneton,VIC,3444.0,50.0,0.4,1,2,-37.718862,145.0231115
Evie Meredith,meredith,VIC,3333.0,50.0,0.45,1,2,-37.7657176,145.1589446
Yea Supercharger,yea,VIC,3717.0,135.0,0.78,4,1,-37.4927455,145.1572676
