_id,cluster
6880d7a7411f5786f7911984,2
6880d7a7411f5786f7911985,0
6880d7a7411f5786f7911986,1
6880d7a7411f5786f7911987,3
6880d7a7411f5786f7911988,1
6880d7a7411f5786f7911989,3
6880d7a7411f5786f791198a,3
6880d7a7411f5786f791198b,3
6880d7a7411f5786f791198c,3
6880d7a7411f5786f791198d,3
6880d7a7411f5786f791198e,3
6880d7a7411f5786f791198f,3
6880d7a7411f5786f7911990,1
6880d7a7411f5786f7911991,1
6880d7a7411f5786f7911992,3
6880d7a7411f5786f7911993,3
6880d7a7411f5786f7911994,3
6880d7a7411f5786f7911995,0
6880d7a7411f5786f7911996,3
6880d7a7411f5786f7911997,3
6880d7a7411f5786f7911998,3
6880d7a7411f5786f7911999,3
6880d7a7411f5786f791199a,0
6880d7a7411f5786f791199b,3
6880d7a7411f5786f791199c,3
6880d7a7411f5786f791199d,3
6880d7a7411f5786f791199e,3
6880d7a7411f5786f791199f,3
6880d7a7411f5786f79119a0,1
6880d7a7411f5786f79119a1,3
6880d7a7411f5786f79119a2,3
6880d7a7411f5786f79119a3,3
6880d7a7411f5786f79119a4,3
6880d7a7411f5786f79119a5,3
6880d7a7411f5786f79119a6,3
6880d7a7411f5786f79119a7,1
6880d7a7411f5786f79119a8,2
6880d7a7411f5786f79119a9,3
6880d7a7411f5786f79119aa,1
6880d7a7411f5786f79119ab,1
6880d7a7411f5786f79119ac,3
6880d7a7411f5786f79119ad,3
6880d7a7411f5786f79119ae,3
6880d7a7411f5786f79119af,3
6880d7a7411f5786f79119b0,3
6880d7a7411f5786f79119b1,3
6880d7a7411f5786f79119b2,3
6880d7a7411f5786f79119b3,1
6880d7a7411f5786f79119b4,3
6880d7a7411f5786f79119b5,1
6880d7a7411f5786f79119b6,3
6880d7a7411f5786f79119b7,1
6880d7a7411f5786f79119b8,3
6880d7a7411f5786f79119b9,1
6880d7a7411f5786f79119ba,3
6880d7a7411f5786f79119bb,1
6880d7a7411f5786f79119bc,3
6880d7a7411f5786f79119bd,1
6880d7a7411f5786f79119be,3
6880d7a7411f5786f79119bf,3
6880d7a7411f5786f79119c0,3
