timestamp,region,intensity_gco2_per_kwh
2025-08-24 19:20:00+00:00,vic,828.977608664472
2025-08-24 19:25:00+00:00,vic,817.8543894223737
2025-08-24 19:30:00+00:00,vic,822.9497226537108
2025-08-24 19:35:00+00:00,vic,825.0875782477232
2025-08-24 19:40:00+00:00,vic,833.9250389952329
2025-08-24 19:45:00+00:00,vic,847.2029790242077
2025-08-24 19:50:00+00:00,vic,848.3014397552447
2025-08-24 19:55:00+00:00,vic,847.2551938936346
2025-08-24 20:00:00+00:00,vic,846.9638131788489
2025-08-24 20:05:00+00:00,vic,847.273451883969
2025-08-24 20:10:00+00:00,vic,834.7914350138041
2025-08-24 20:15:00+00:00,vic,818.9340191538906
2025-08-24 20:20:00+00:00,vic,812.2046619024178
2025-08-24 20:25:00+00:00,vic,774.4847174457512
2025-08-24 20:30:00+00:00,vic,760.5602060633445
2025-08-24 20:35:00+00:00,vic,762.7998535366436
2025-08-24 20:40:00+00:00,vic,743.2512725032823
2025-08-24 20:45:00+00:00,vic,724.4715403178436
2025-08-24 20:50:00+00:00,vic,715.6626285407592
2025-08-24 20:55:00+00:00,vic,710.2087944473559
2025-08-24 21:00:00+00:00,vic,713.3630743311518
2025-08-24 21:05:00+00:00,vic,738.2650739600252
2025-08-24 21:10:00+00:00,vic,709.6370934000065
2025-08-24 21:15:00+00:00,vic,707.09336647517
2025-08-24 21:20:00+00:00,vic,701.2447587815464
2025-08-24 21:25:00+00:00,vic,694.8591073271199
2025-08-24 21:30:00+00:00,vic,718.8872071508961
2025-08-24 21:35:00+00:00,vic,739.7377259402825
2025-08-24 21:40:00+00:00,vic,739.6136556075814
2025-08-24 21:45:00+00:00,vic,737.8082241111542
2025-08-24 21:50:00+00:00,vic,749.2211649544569
2025-08-24 21:55:00+00:00,vic,732.8260241327033
2025-08-24 22:00:00+00:00,vic,731.393218862213
2025-08-24 22:05:00+00:00,vic,730.8571319475799
2025-08-24 22:10:00+00:00,vic,703.9477921237255
2025-08-24 22:15:00+00:00,vic,726.5434536873904
2025-08-24 22:20:00+00:00,vic,713.6814661716078
2025-08-24 22:25:00+00:00,vic,721.7063872971434
2025-08-24 22:30:00+00:00,vic,718.6280906878377
2025-08-24 22:35:00+00:00,vic,723.8813212013343
2025-08-24 22:40:00+00:00,vic,728.0787044728465
2025-08-24 22:45:00+00:00,vic,735.4053519178052
2025-08-24 22:50:00+00:00,vic,731.220954562469
2025-08-24 22:55:00+00:00,vic,751.2124030335116
2025-08-24 23:00:00+00:00,vic,761.2130689148598
2025-08-24 23:05:00+00:00,vic,770.3607707533017
2025-08-24 23:10:00+00:00,vic,775.2579540240499
2025-08-24 23:15:00+00:00,vic,761.0233902178179
2025-08-24 23:20:00+00:00,vic,750.5309156387278
2025-08-24 23:25:00+00:00,vic,736.5836276618569
2025-08-24 23:30:00+00:00,vic,733.2517787387707
2025-08-24 23:35:00+00:00,vic,732.841176606104
2025-08-24 23:40:00+00:00,vic,736.043745551758
2025-08-24 23:45:00+00:00,vic,739.5759911504314
2025-08-24 23:50:00+00:00,vic,753.0057430121067
2025-08-24 23:55:00+00:00,vic,744.9128284440703
2025-08-25 00:00:00+00:00,vic,746.2149064776866
2025-08-25 00:05:00+00:00,vic,764.6510875046275
2025-08-25 00:10:00+00:00,vic,769.5957659023526
2025-08-25 00:15:00+00:00,vic,764.8016834227312
2025-08-25 00:20:00+00:00,vic,749.5767279176453
2025-08-25 00:25:00+00:00,vic,734.383624796458
2025-08-25 00:30:00+00:00,vic,734.1971150025333
2025-08-25 00:35:00+00:00,vic,704.6209883843717
2025-08-25 00:40:00+00:00,vic,696.7376127788899
2025-08-25 00:45:00+00:00,vic,693.3481521991132
2025-08-25 00:50:00+00:00,vic,691.8533125537306
2025-08-25 00:55:00+00:00,vic,681.9416325439673
2025-08-25 01:00:00+00:00,vic,713.4163307738693
2025-08-25 01:05:00+00:00,vic,709.2692922299273
2025-08-25 01:10:00+00:00,vic,696.5293469011901
2025-08-25 01:15:00+00:00,vic,655.9850169115616
2025-08-25 01:20:00+00:00,vic,655.8654800154543
2025-08-25 01:25:00+00:00,vic,640.720882204388
2025-08-25 01:30:00+00:00,vic,645.8808654350017
2025-08-25 01:35:00+00:00,vic,666.1655774475249
2025-08-25 01:40:00+00:00,vic,637.6943887643351
2025-08-25 01:45:00+00:00,vic,640.5886066546657
2025-08-25 01:50:00+00:00,vic,625.793395500161
2025-08-25 01:55:00+00:00,vic,629.1028541849158
2025-08-25 02:00:00+00:00,vic,672.9542065960238
2025-08-25 02:05:00+00:00,vic,662.6266676541935
2025-08-25 02:10:00+00:00,vic,644.9799208436589
2025-08-25 02:15:00+00:00,vic,647.532343728061
2025-08-25 02:20:00+00:00,vic,672.3792905865045
2025-08-25 02:25:00+00:00,vic,687.6550571335835
2025-08-25 02:30:00+00:00,vic,700.4974394215017
2025-08-25 02:35:00+00:00,vic,694.8188299758018
2025-08-25 02:40:00+00:00,vic,656.0708284733068
2025-08-25 02:45:00+00:00,vic,674.6462439905897
2025-08-25 02:50:00+00:00,vic,660.2401795438977
2025-08-25 02:55:00+00:00,vic,674.8244161839801
2025-08-25 03:00:00+00:00,vic,630.4897241997519
2025-08-25 03:05:00+00:00,vic,630.1454331138366
2025-08-25 03:10:00+00:00,vic,643.213776516616
2025-08-25 03:15:00+00:00,vic,654.0667289019458
2025-08-25 03:20:00+00:00,vic,650.7661805482124
2025-08-25 03:25:00+00:00,vic,619.3974420605878
2025-08-25 03:30:00+00:00,vic,639.7405827314
2025-08-25 03:35:00+00:00,vic,641.5102665993917
2025-08-25 03:40:00+00:00,vic,626.2474831554593
2025-08-25 03:45:00+00:00,vic,638.6049266521726
2025-08-25 03:50:00+00:00,vic,638.6106266041194
2025-08-25 03:55:00+00:00,vic,632.664645385879
2025-08-25 04:00:00+00:00,vic,645.812852019102
2025-08-25 04:05:00+00:00,vic,678.867570904155
2025-08-25 04:10:00+00:00,vic,644.219551614467
2025-08-25 04:15:00+00:00,vic,632.9120670788097
2025-08-25 04:20:00+00:00,vic,641.1079242793537
2025-08-25 04:25:00+00:00,vic,638.0200714678008
2025-08-25 04:30:00+00:00,vic,644.3446270931391
2025-08-25 04:35:00+00:00,vic,649.3828428662661
2025-08-25 04:40:00+00:00,vic,657.3014873855104
2025-08-25 04:45:00+00:00,vic,656.8936962511693
2025-08-25 04:50:00+00:00,vic,665.2819250253925
2025-08-25 04:55:00+00:00,vic,677.9402009627698
2025-08-25 05:00:00+00:00,vic,647.1919450403695
2025-08-25 05:05:00+00:00,vic,632.9203224396522
2025-08-25 05:10:00+00:00,vic,689.0281066616484
2025-08-25 05:15:00+00:00,vic,636.6041378064924
2025-08-25 05:20:00+00:00,vic,622.8031679003499
2025-08-25 05:25:00+00:00,vic,600.9753975266835
2025-08-25 05:30:00+00:00,vic,605.0534769701287
2025-08-25 05:35:00+00:00,vic,569.5444776361684
2025-08-25 05:40:00+00:00,vic,590.4377792904825
2025-08-25 05:45:00+00:00,vic,598.7018096519832
2025-08-25 05:50:00+00:00,vic,605.1451854915771
2025-08-25 05:55:00+00:00,vic,604.4643095843251
2025-08-25 06:00:00+00:00,vic,630.8116820486337
2025-08-25 06:05:00+00:00,vic,634.603763087775
2025-08-25 06:10:00+00:00,vic,659.0224841734863
2025-08-25 06:15:00+00:00,vic,668.5775964625709
2025-08-25 06:20:00+00:00,vic,708.2369822243234
2025-08-25 06:25:00+00:00,vic,709.5016533424827
2025-08-25 06:30:00+00:00,vic,714.3799533458284
2025-08-25 06:35:00+00:00,vic,728.4552506257821
2025-08-25 06:40:00+00:00,vic,751.2444136198426
2025-08-25 06:45:00+00:00,vic,735.1691830259635
2025-08-25 06:50:00+00:00,vic,744.7079248114292
2025-08-25 06:55:00+00:00,vic,736.2502243097325
2025-08-25 07:00:00+00:00,vic,755.6231897564485
2025-08-25 07:05:00+00:00,vic,744.1564897608615
2025-08-25 07:10:00+00:00,vic,754.5267787998183
2025-08-25 07:15:00+00:00,vic,749.7090167184996
2025-08-25 07:20:00+00:00,vic,750.3681230987644
2025-08-25 07:25:00+00:00,vic,738.4555729935577
2025-08-25 07:30:00+00:00,vic,739.5698295798693
2025-08-25 07:35:00+00:00,vic,744.2585282715254
2025-08-25 07:40:00+00:00,vic,719.4504723233306
2025-08-25 07:45:00+00:00,vic,718.5483633225808
2025-08-25 07:50:00+00:00,vic,705.4294412595021
2025-08-25 07:55:00+00:00,vic,697.7189096947282
2025-08-25 08:00:00+00:00,vic,702.3428655076143
2025-08-25 08:05:00+00:00,vic,690.9132793151866
2025-08-25 08:10:00+00:00,vic,693.2729204803887
2025-08-25 08:15:00+00:00,vic,709.5209152824452
2025-08-25 08:20:00+00:00,vic,675.1069856421958
2025-08-25 08:25:00+00:00,vic,673.7243668531402
2025-08-25 08:30:00+00:00,vic,662.7248340868174
2025-08-25 08:35:00+00:00,vic,660.5045908650828
2025-08-25 08:40:00+00:00,vic,672.6646603875604
2025-08-25 08:45:00+00:00,vic,664.9207985068861
2025-08-25 08:50:00+00:00,vic,668.9194215845606
2025-08-25 08:55:00+00:00,vic,676.4799813585128
2025-08-25 09:00:00+00:00,vic,665.7715452421841
2025-08-25 09:05:00+00:00,vic,669.1663127026042
2025-08-25 09:10:00+00:00,vic,671.0950194133574
2025-08-25 09:15:00+00:00,vic,678.3591650896393
2025-08-25 09:20:00+00:00,vic,670.3963329899007
2025-08-25 09:25:00+00:00,vic,672.836665429529
2025-08-25 09:30:00+00:00,vic,690.0317566873955
2025-08-25 09:35:00+00:00,vic,695.7806750817158
2025-08-25 09:40:00+00:00,vic,706.8098002992508
2025-08-25 09:45:00+00:00,vic,719.3247224027244
2025-08-25 09:50:00+00:00,vic,709.5536223894235
2025-08-25 09:55:00+00:00,vic,716.3363374767871
2025-08-25 10:00:00+00:00,vic,708.823001636533
2025-08-25 10:05:00+00:00,vic,703.9124158939032
2025-08-25 10:10:00+00:00,vic,697.5168518522925
2025-08-25 10:15:00+00:00,vic,687.2986151186143
2025-08-25 10:20:00+00:00,vic,689.8012460461255
2025-08-25 10:25:00+00:00,vic,687.3503937826661
2025-08-25 10:30:00+00:00,vic,688.2038213277043
2025-08-25 10:35:00+00:00,vic,692.3378257617042
2025-08-25 10:40:00+00:00,vic,679.0349522046837
2025-08-25 10:45:00+00:00,vic,671.8835619390154
2025-08-25 10:50:00+00:00,vic,671.5684570431224
2025-08-25 10:55:00+00:00,vic,672.3879811325021
2025-08-25 11:00:00+00:00,vic,671.427968215929
2025-08-25 11:05:00+00:00,vic,671.0740115960799
2025-08-25 11:10:00+00:00,vic,670.1842230565912
2025-08-25 11:15:00+00:00,vic,667.9354044636663
2025-08-25 11:20:00+00:00,vic,664.8277407778246
2025-08-25 11:25:00+00:00,vic,658.832675295158
2025-08-25 11:30:00+00:00,vic,651.7938557701196
2025-08-25 11:35:00+00:00,vic,652.0033032369538
2025-08-25 11:40:00+00:00,vic,654.6515883192031
2025-08-25 11:45:00+00:00,vic,651.1862330883064
2025-08-25 11:50:00+00:00,vic,640.0557588930897
2025-08-25 11:55:00+00:00,vic,634.4089630383055
2025-08-25 12:00:00+00:00,vic,632.8830133926019
2025-08-25 12:05:00+00:00,vic,627.9490872076717
2025-08-25 12:10:00+00:00,vic,622.1460535967026
2025-08-25 12:15:00+00:00,vic,620.3877897520806
2025-08-25 12:20:00+00:00,vic,620.8654550962552
2025-08-25 12:25:00+00:00,vic,610.4178855546033
2025-08-25 12:30:00+00:00,vic,607.2783511138799
2025-08-25 12:35:00+00:00,vic,601.2293770830421
2025-08-25 12:40:00+00:00,vic,591.8747897764332
2025-08-25 12:45:00+00:00,vic,583.2470567009575
2025-08-25 12:50:00+00:00,vic,583.3542031309448
2025-08-25 12:55:00+00:00,vic,580.5082870404817
2025-08-25 13:00:00+00:00,vic,572.9738755730704
2025-08-25 13:05:00+00:00,vic,567.0658388848381
2025-08-25 13:10:00+00:00,vic,566.6501263041865
2025-08-25 13:15:00+00:00,vic,569.5456383858784
2025-08-25 13:20:00+00:00,vic,581.499212580596
2025-08-25 13:25:00+00:00,vic,586.278181354927
2025-08-25 13:30:00+00:00,vic,580.9295494071742
2025-08-25 13:35:00+00:00,vic,573.7068030742662
2025-08-25 13:40:00+00:00,vic,570.5921009449194
2025-08-25 13:45:00+00:00,vic,562.0861269144791
2025-08-25 13:50:00+00:00,vic,548.9854216767042
2025-08-25 13:55:00+00:00,vic,550.223707485479
2025-08-25 14:00:00+00:00,vic,549.800695397868
2025-08-25 14:05:00+00:00,vic,548.9081746197572
2025-08-25 14:10:00+00:00,vic,536.1400983338432
2025-08-25 14:15:00+00:00,vic,529.6542736674655
2025-08-25 14:20:00+00:00,vic,529.349625919923
2025-08-25 14:25:00+00:00,vic,526.2533335024992
2025-08-25 14:30:00+00:00,vic,526.0389561726373
2025-08-25 14:35:00+00:00,vic,519.9200765649039
2025-08-25 14:40:00+00:00,vic,526.5540277543911
2025-08-25 14:45:00+00:00,vic,535.5659935618288
2025-08-25 14:50:00+00:00,vic,538.2617800515934
2025-08-25 14:55:00+00:00,vic,520.3082635001531
2025-08-25 15:00:00+00:00,vic,518.1704496406558
2025-08-25 15:05:00+00:00,vic,512.3122042731544
2025-08-25 15:10:00+00:00,vic,511.209493871036
2025-08-25 15:15:00+00:00,vic,506.3091749638814
2025-08-25 15:20:00+00:00,vic,511.3216034486431
2025-08-25 15:25:00+00:00,vic,512.1498759283136
2025-08-25 15:30:00+00:00,vic,509.61042466231265
2025-08-25 15:35:00+00:00,vic,500.7684425063197
