Charger Name,Address,Suburb,State,Postal Code,Power (kW),Usage Cost,Number of Points,Connection Types,latitude,longitude
Port of Sale,Canal Road,sale,VIC,3850,"50, 50",$0.40,2.0,"2, 33",-37.87076,145.65249
Mansi on Raymond,476 Raymond Street,sale,Victoria,3850,22,$0.40/kWh,1.0,25,-37.87076,145.65249
Queen Street,Queen Street,nan,Victoria,3377,22,,1.0,1036,-37.8688729,145.2126338
CTR Echuca [Evie],438 High Street,echuca,Victoria,3564,"50, 50, 25, 25",$0.40,1.0,"2, 33, 33, 2",-37.7821653,144.5503709
Elizabeth Park,62 High St,ararat,Victoria,3397,22.8,0,2.0,25,-38.0625563,145.5506248
Evie Ararat,Western Highway,ararat,Victoria,3377,"50, 50",,1.0,"33, 2",-38.0625563,145.5506248
NRMA Ararat,Taylor Street,ararat,Victoria,3377,"150, 150",66c / 60c for members,4.0,"33, 2",-38.0625563,145.5506248
Glenrowan South [bp pulse],Hume Freeway,glenrowan,Victoria,3675,"75, 75",55c/kWh,2.0,"2, 33",,
Glenrowan North [bp pulse],Hume Freeway,glenrowan,Victoria,3675,"75, 75, 75",$0.55/kWh,4.0,"33, 33, 2",,
CTR Wedderburn CV008,67 High St,wedderburn,Victoria,3518,"50, 50","0.40/kWh + While parked, not charging: 4.00/hr after 60 mins",2.0,"33, 2",-37.7917062,144.5494853
Evie St Arnaud,Golden Street,st arnaud,Vic,,"50, 50",,2.0,"33, 2",-37.792199,144.5486025
Evie Wangaratta,2 - 6 Docker St,wangaratta,Victoria,3676,"50, 50",$0.45 per kWh,1.0,"33, 2",-37.787905,144.5592084
Ovens Supercharger,4994 Great Alpine RD,ovens,,,120,AUD 0.42/kWh;other tariffs for older cars,4.0,33,-37.8119107,144.8154073
Evie Stawell,Skene Street,stawell,Victoria,3380,"50, 50",,1.0,"33, 2",-38.1087492,145.2895959
Tesla Superchargers Stawell,Church Street,stawell,Victoria,3380,250,$0.66/kWh,12.0,33,-38.1087492,145.2895959
Feathertop Winery,6619 Great Alpine Road,porepunkah,Victoria,,22,Free,2.0,1036,-37.5979507,145.0753657
Evie - Bright,24 Wills St,bright,Vic,3741,"50, 50",$0.45 per kWh,1.0,"33, 2",-37.6245646,145.0136597
Evie Yarrawonga,6 - 12 Hovell Street,yarrawonga,VIC,3730,"50, 50",$0.45 per kWh. Parking overstay charges may apply,1.0,"33, 2",-37.9133914,145.1301259
The Sebel Silverwoods Yarrawong,40 Silverwoods Blvd,yarrawonga,Victoria,3730,"50, 50",$0.30 per kWh (at all times),1.0,"33, 2",-37.9133914,145.1301259
Warnambool Supercharger,21-23 Gateway Road,warnambool,Victoria,3280,250,$0.78/kWh,3.0,33,,
Warnambool Tourist Information Centre,91 Merri Street,warnambool,Victoria,2380,"50, 50",payment may be required,1.0,"2, 33",,
Callaghan Motors,1165 Raglan Parade,warnambool,Victoria,3280,22,$0.50 per kWh,2.0,25,,
Evie Dunkeld,83 Wills St,dunkeld,Victoria,3294,"50, 50",$0.45 per kWh,1.0,"33, 2",-37.766817,144.8245105
Gippsland Solar,35 Payne Street,bairnsdale,Vic,,22,$0.25 per kWh,1.0,25,,
Evie Cohuna,King George St,cohuna,VIC,3568,"50, 50",$0.40 per kWh,1.0,"33, 2",-37.7062908,144.8039161
Bairnsdale Chargefox,Nicholson Street Carpark,bairnsdale,Vic,,"50, 50",AUD 0.40 per kWh,1.0,"33, 2",,
Bairnsdale,9 Francis Street,bairnsdale,Victoria,3875,"50, 50",$0.45 per kWh. Parking overstay charges may apply,1.0,"33, 2",,
Coles Bairnsdale,35 Nicholson St,bairnsdale,Victoria,3875,250,0.70c/kwh,3.0,33,,
Bairnsdale Coles,35 Nicholson Street,bairnsdale,Victoria,3875,250,$0.70 per kWh,3.0,33,,
Yackandandah Community Development Company,16 Windham Street,yackandandah,Vic,3749,"50, 50",AUD 0.54 per kWh (3pm-10am) AUD 0.37 per kWh (10am - 3pm),2.0,"33, 2",,
Omeo - Tongio Road,Tongio Road,omeo,Vic,3898,"50, 50",AUD 0.40 per kWh,2.0,"33, 2",-37.8800365,144.6170498
Wycheproof,Fairview Street,wycheproof,Victoria,3527,"50, 50",$0.40 per kWh. Parking overstay charges may apply,2.0,"33, 2",-37.5432106,145.0085889
NRMA Wycheproof,361 Broadway,wycheproof,Victoria,3527,"150, 150",66c / 60c for members,4.0,"33, 2",-37.5432106,145.0085889
Chargefox - Barnawartha North,Murray Valley Hwy,barnawartha north,Vic,3690,"50, 50, 100, 350, 350, 350, 50, 50",AUD 0.65/kWh,4.0,"2, 33, 2, 33, 33, 2, 33, 2",,
Evie Kerang,1 -3 Albert St,kerang,VIC,3579,"50, 50",$0.40 per kWh. Idle fee $4 per hour,1.0,"33, 2",-37.7200123,145.0271063
Foodworks Baranduda,34 Verbena Street,baranduda,Victoria,3691,11,$0.23/kWh,4.0,1036,,
Deni RSL,72 End St,deniliquin,NSW,2710,22,FREE,8.0,25,,
Wodonga Supercharger,5-13 Havelock Street,wodonga,,3690,120,AUD 0.42/kWh;other tariffs for older cars,6.0,33,-37.6755673,144.9898056
Evie Hamilton,Scoresby Street,hamilton,VIC,,"50, 50",,2.0,"33, 2",-37.8758579,145.1284529
Tesla Supercharger Albury,Stanley Street,albury,New South Wales,2640,250,$0.69/kWh,12.0,33,-37.5442344,145.0076408
Albury Waste Management Centre,565 Mudge St,hamilton valley,New South Wales,2641,"50, 50",$0.15 per kWh (at all times) on the Chargefox network,1.0,"2, 33",,
Wuality Resort Siesta,422 Wagga Road,lavington,New South Wales,2641,"7, 7, 7, 7",Free,4.0,"25, 25, 25, 25",-37.603329,144.9253134
Evie Lakes Entrance,2 Marine Pde,lakes entrance,VIC,3909,"50, 50",$0.45 per kWh. Parking overstay charges may apply,1.0,"33, 2",,
Lakes Entrance RSL,221 The Esplanade,lakes entrance,Victoria,3909,22,30c/kWh,1.0,25,,
RACV - Horsham,126 Baillie St,horsham,Victoria,3400,"350, 50, 350, 50",,4.0,"33, 33, 2, 2",-38.102184,145.2949057
Horsham Supercharger,126 Wilson St,horsham,,3400,250,AUD 0.42/kWh;other tariffs for older cars,3.0,33,-38.102184,145.2949057
NRMA Jerilderie,Powell Street,jerilderie,New South Wales,2716,"50, 50",FREE,1.0,"33, 2",-38.0097571,145.326648
Evie Warracknabeal,18 - 20 Woolcock Street,warracknabeal,VIC,3393,"50, 50",$0.45 per kWh,1.0,"33, 2",-37.7853138,144.5406661
Evie Portland,Henty Street,portland,VIC,,"50, 50",,2.0,"33, 2",-37.9359053,145.2051222
Lochiel Street,Lochiel Street,dimboola,Victoria,3414,22,,1.0,25,-37.6804576,144.9123982
CTR Swan Hill CV002,135 Curlewis Street,swan hill,Victoria,3585,"50, 50",Payment Required $0.40 per kWh parking overstay charges may apply.,2.0,"33, 2",,
Orbost Chargefox,Wolseley Street,orbost,Victoria,,"50, 50",AUD 0.40 per kWh,1.0,"33, 2",-37.8379885,145.2121845
Tesla Supercharger Holbrook,Swift Street,holbrook,New South Wales,2644,250,$0.69 / kWh,1.0,33,-37.7702694,144.9361781
Holbrook [NRMA],Submarine Park,holbrook,NSW,,"50, 50",,1.0,"33, 2",-37.7702694,144.9361781
CTR Sea Lake,111 Best Street,sea lake,Victoria,3533,"50, 50",Payment Required $0.40 per kWh parking overstay charges may apply.,2.0,"2, 33",,
Evie Dartmoor,73 Greenham St,dartmoor,VIC,3304,"50, 50",$0.45 per kWh,1.0,"33, 2",-37.705345,144.6794568
Anzac Ave Parking,12 Anzac Ave,edenhope,VIC ,3318,"50, 50",Payment Required $0.40/kWh,1.0,"33, 2",-37.8054372,145.3280915
Nelson St Parking/Charging,111 Nelson St,nhill,Victoria,3418,22,Free,2.0,25,-37.6730847,144.9282577
Snowy River Ave Car Park,3 Snowy River Ave,jindabyne,NSW,2627,"50, 50",Chargers free of charge for now but will require you to be a member in the future or you will need to pay per charge.,2.0,"33, 2",-37.6403391,145.084278
