station_code,station_name,latitude,longitude,elevation_m,date,precipitation_mm,temp_avg_c,temp_max_c,temp_min_c
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-29,0.0,16.8,20.5,14.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-30,0.0,16.3,21.0,14.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-31,0.0,15.8,21.4,13.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-01,0.4,15.1,19.5,12.0
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-02,0.0,15.2,17.4,12.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-03,3.0,15.1,17.3,13.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-04,0.4,13.4,18.1,13.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-05,0.4,15.7,20.0,7.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-06,0.0,15.1,20.5,11.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-07,0.0,16.2,23.2,10.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-08,0.0,18.8,23.8,11.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-09,0.0,19.2,25.4,14.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-10,0.0,20.2,26.5,14.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-11,1.8,13.3,18.3,13.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-12,0.0,14.1,18.2,9.0
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-13,0.0,14.2,20.7,10.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-14,0.0,19.1,24.8,7.9
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-15,0.0,18.8,26.3,13.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-16,0.0,21.0,28.3,12.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-17,0.0,21.1,27.9,14.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-18,14.4,15.1,17.2,14.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-19,16.0,11.5,14.7,14.0
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-20,8.8,13.6,18.8,7.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-21,0.6,12.6,16.3,9.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-22,0.0,11.2,16.8,4.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-23,0.0,13.0,17.9,6.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-24,0.0,11.7,17.8,6.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-25,0.0,14.8,23.0,7.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-26,0.0,16.9,22.1,7.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-27,0.0,17.7,22.3,12.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-28,0.0,17.9,20.9,15.0
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-29,0.0,15.9,19.8,16.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-04-30,22.4,13.1,17.2,9.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-01,0.0,14.9,19.5,9.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-02,0.0,15.2,21.4,11.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-03,0.0,14.6,20.3,10.0
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-04,0.0,9.8,15.1,10.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-05,0.8,8.6,14.0,4.9
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-06,0.0,10.8,14.7,3.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-07,1.8,11.6,16.1,8.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-08,0.2,11.2,14.7,7.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-09,0.0,10.1,16.5,5.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-10,0.0,12.6,18.9,4.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-11,0.0,14.3,17.9,8.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-12,0.0,14.8,19.3,11.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-13,0.6,16.3,17.8,12.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-14,0.0,15.1,18.1,13.9
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-15,1.6,15.3,20.9,11.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-16,0.6,10.9,16.8,9.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-17,1.4,11.6,15.7,6.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-18,0.0,9.9,15.3,8.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-19,0.6,11.6,14.3,6.0
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-20,0.0,8.7,13.9,9.9
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-21,0.0,10.2,15.7,2.9
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-22,0.0,8.7,13.6,6.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-23,0.0,10.4,18.0,5.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-24,0.0,12.3,19.5,4.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-25,0.0,13.9,18.7,5.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-26,0.0,12.9,14.8,10.0
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-27,3.2,11.0,16.5,10.9
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-28,0.0,9.6,14.8,5.9
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-29,0.0,9.6,15.6,5.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-30,0.0,8.2,10.0,4.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-05-31,6.4,6.9,10.4,5.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-01,4.4,7.8,11.4,4.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-02,3.2,7.8,12.2,3.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-03,0.0,8.9,12.1,3.0
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-04,0.0,11.4,14.8,6.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-05,0.2,9.1,13.8,9.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-06,0.8,8.0,13.2,6.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-07,2.2,8.1,11.8,3.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-08,0.2,9.4,12.0,6.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-09,0.2,10.3,13.3,7.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-10,0.2,9.9,14.4,7.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-11,1.0,10.3,12.3,7.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-12,0.2,9.7,12.6,8.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-13,2.8,8.8,12.9,7.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-06-14,0.0,10.1,12.9,5.1
